packetType	timestamp_s	timestamp_ms	lineCutterNumber	state	timestamp	pressure	altitude	deltaAltitude	temperature	accelNorm	battery	cutSense1	cutSense2	currentSense	photoresistor
1	2225444	0	5	0	8301	101990	1.0717025995254517	0.16539210081100464	2439.80078125	0.9986145496368408	3.9202346801757812	0	0	470	0
1	2226399	0	5	0	9051	101989	1.15440034866333	-0.08269867300987244	2443.534423828125	0.9956746697425842	3.899120330810547	0	1	471	0
1	2227245	0	5	0	10001	101987	1.3197976350784302	-0.041349828243255615	2446.1240234375	0.9919627904891968	3.913196563720703	0	0	473	0
1	2230106	0	5	0	12801	102006	-0.2513710856437683	-0.6615368723869324	2453.21240234375	0.9735996127128601	3.906158447265625	1	0	471	1
1	2230215	0	1	0	8794	101930	-25.409421920776367	-14.883024215698242	2343.761962890625	1.0364384651184082	3.9272727966308594	0	0	467	816
1	2230962	0	5	0	13751	102008	-0.4167434871196747	-0.8269211053848267	2455.657958984375	0.9952836632728577	3.913196563720703	1	0	473	0
1	2230962	0	1	0	9594	101905	-23.33932876586914	-12.146092414855957	2346.513671875	1.1062829494476318	3.9343109130859375	0	0	465	801
1	2231817	0	5	0	14651	102011	-0.6647971272468567	-0.04134195297956467	2460.340087890625	0.9946381449699402	3.906158447265625	0	1	472	0
1	2231817	0	1	0	10344	101896	-22.593996047973633	1.2007203102111816	2350.355712890625	1.0158902406692505	3.9272727966308594	0	0	465	805
1	2232564	0	1	0	11144	101925	-24.99543571472168	0.12419665604829788	2353.743408203125	1.003833293914795	3.9343109130859375	0	0	467	772
1	2232674	0	5	0	15501	102010	-0.5821132659912109	0.12402486801147461	2462.8837890625	0.9967895746231079	3.913196563720703	2	1	471	0
1	2233313	0	1	0	11944	101914	-24.084609985351562	-0.24842390418052673	2356.9365234375	1.0006067752838135	3.9272727966308594	0	0	465	804
1	2233635	0	5	0	16351	102008	-0.4167434871196747	0.0	2463.374267578125	0.9969030618667603	3.906158447265625	2	0	471	1
1	2234166	0	1	0	12694	101894	-22.42835807800293	0.9523332715034485	2359.0263671875	0.9960818886756897	3.9272727966308594	0	0	466	817
1	2234486	0	5	0	17251	102005	-0.16868388652801514	0.3307395577430725	2464.3876953125	0.9938573241233826	3.906158447265625	0	2	468	1
1	2234913	0	1	0	13494	101837	-17.70659637451172	3.0233917236328125	2359.98681640625	1.0015347003936768	3.9343109130859375	0	0	466	844
