timestampMs,pressurePa,tempK,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,imuTemp,battV,altitudeM,velocityMS,accelerationMSS,unfiltAlt,flightState,drogueCont,drogueFired,mainCont,mainFired,tiltMagnitudeDeg,angularVelRadS_x,angularVelRadS_y,angularVelRadS_z,quaternion_a,quaternion_b,quaternion_c,quaternion_d
145115,101733.515625,282.34,0.474051,-9.840168,-0.158017,-0.004256,0.014899,-0.004256,280.01,4.02,-0.42,-0.21,0.02,-33.250129,0,0,0,0,0,,,,,,,,
150115,101741.062500,282.38,0.502782,-9.835380,-0.186747,-0.005321,0.013834,-0.003192,280.06,4.01,0.05,0.20,0.02,-33.863368,0,0,0,0,0,,,,,,,,
155115,101748.609375,282.41,0.464475,-9.835380,-0.172382,-0.004256,0.014899,-0.004256,280.09,4.03,-0.39,-0.15,0.02,-34.476573,0,0,0,0,0,,,,,,,,
160115,101756.171875,282.44,0.464475,-9.835380,-0.057460,-0.006385,0.009578,-0.003192,280.07,4.03,-0.26,-0.29,0.02,-35.091011,0,0,0,0,0,,,,,,,,
165115,101745.156250,282.47,0.330399,-9.844957,-0.349553,-0.009578,-0.001064,-0.007449,280.15,4.01,0.42,0.42,0.02,-34.196002,0,0,0,0,0,,,,,,,,
170115,101752.718750,282.51,0.497993,-9.830592,-0.205901,-0.003192,0.014899,-0.004256,280.20,4.03,-0.03,-0.10,0.02,-34.810459,0,0,0,0,0,,,,,,,,
175115,101760.265625,282.54,0.497993,-9.830592,-0.191536,-0.003192,0.013834,-0.004256,280.18,4.03,-0.48,-0.73,0.03,-35.423606,0,0,0,0,0,,,,,,,,
180115,101730.703125,282.57,0.512359,-9.830592,-0.167594,-0.005321,0.013834,-0.004256,280.29,4.01,0.71,0.67,0.02,-33.021579,0,0,0,0,0,,,,,,,,
185115,101753.031250,282.59,0.493205,-9.844957,-0.181959,-0.005321,0.012770,-0.003192,280.26,4.03,-0.19,-0.31,0.02,-34.835845,0,0,0,0,0,,,,,,,,
190115,101742.031250,282.62,0.478840,-9.830592,-0.177170,-0.004256,0.014899,-0.003192,280.29,4.03,-0.13,-0.26,0.03,-33.942085,0,0,0,0,0,,,,,,,,
195115,101727.234375,282.64,0.497993,-9.816226,-0.172382,-0.005321,0.013834,-0.003192,280.32,4.01,0.49,0.46,0.02,-32.739700,0,0,0,0,0,,,,,,,,
200115,101738.546875,282.68,0.497993,-9.840168,-0.172382,-0.005321,0.013834,-0.003192,280.42,4.03,0.42,0.26,0.02,-33.658958,0,0,0,0,0,,,,,,,,
205115,101723.750000,282.70,0.430956,-9.835380,-0.172382,-0.005321,0.013834,-0.004256,280.36,4.03,0.77,0.33,0.02,-32.456542,0,0,0,0,0,,,,,,,,
210115,101727.546875,282.72,0.478840,-9.835380,-0.177170,-0.005321,0.012770,-0.004256,280.39,4.01,0.79,0.59,0.02,-32.765094,0,0,0,0,0,,,,,,,,
215115,101735.093750,282.75,0.488417,-9.830592,-0.177170,-0.004256,0.013834,-0.002128,280.44,4.03,0.47,0.21,0.02,-33.378364,0,0,0,0,0,,,,,,,,
220115,101742.625000,282.78,0.483628,-9.830592,-0.177170,-0.005321,0.014899,-0.003192,280.47,4.03,0.12,-0.30,0.02,-33.990329,0,0,0,0,0,,,,,,,,
225115,101746.406250,282.80,0.483628,-9.835380,-0.172382,-0.005321,0.014899,-0.005321,280.47,4.01,-0.11,-0.36,0.03,-34.297569,0,0,0,0,0,,,,,,,,
230115,101750.171875,282.81,0.507570,-9.840168,-0.186747,-0.005321,0.013834,-0.003192,280.48,4.03,0.32,0.03,0.02,-34.603527,0,0,0,0,0,,,,,,,,
235115,101753.953125,282.83,0.483628,-9.830592,-0.177170,-0.005321,0.013834,-0.003192,280.56,4.05,-0.49,-0.89,0.03,-34.910747,0,0,0,0,0,,,,,,,,
240115,101720.578125,282.85,0.493205,-9.835380,-0.172382,-0.004256,0.014899,-0.004256,280.56,4.01,1.05,0.73,0.02,-32.198772,0,0,0,0,0,,,,,,,,
245115,101724.343750,282.86,0.493205,-9.830592,-0.177170,-0.004256,0.014899,-0.003192,280.56,4.03,0.82,0.25,0.02,-32.504795,0,0,0,0,0,,,,,,,,
250115,101728.109375,282.88,0.474051,-9.825803,-0.181959,-0.004256,0.014899,-0.003192,280.57,4.03,0.50,-0.06,0.02,-32.810806,0,0,0,0,0,,,,,,,,
255115,101735.687500,282.91,0.502782,-9.840168,-0.181959,-0.004256,0.013834,-0.004256,280.60,4.01,0.62,0.09,0.02,-33.426612,0,0,0,0,0,,,,,,,,
260115,101735.687500,282.91,0.488417,-9.844957,-0.167594,-0.004256,0.013834,-0.002128,280.60,4.03,0.46,-0.05,0.02,-33.426612,0,0,0,0,0,,,,,,,,
265115,101720.875000,282.93,0.488417,-9.835380,-0.167594,-0.004256,0.013834,-0.004256,280.59,4.03,1.02,0.43,0.02,-32.222896,0,0,0,0,0,,,,,,,,
270115,101728.390625,282.96,0.493205,-9.830592,-0.186747,-0.004256,0.013834,-0.002128,280.66,4.01,0.80,0.16,0.03,-32.833660,0,0,0,0,0,,,,,,,,
275115,101746.968750,282.96,0.483628,-9.835380,-0.181959,-0.005321,0.014899,-0.003192,280.66,4.03,0.45,-0.09,0.02,-34.343273,0,0,0,0,0,,,,,,,,
280115,101735.953125,282.99,0.493205,-9.835380,-0.186747,-0.005321,0.014899,-0.003192,280.72,4.02,0.58,-0.00,0.02,-33.448196,0,0,0,0,0,,,,,,,,
285115,101721.156250,283.01,0.488417,-9.840168,-0.172382,-0.004256,0.012770,-0.003192,280.69,4.00,0.84,0.22,0.03,-32.245754,0,0,0,0,0,,,,,,,,
290115,101721.156250,283.01,0.478840,-9.844957,-0.172382,-0.004256,0.014899,-0.004256,280.78,4.03,0.62,0.02,0.02,-32.245754,0,0,0,0,0,,,,,,,,
295115,101743.500000,283.03,0.483628,-9.844957,-0.177170,-0.004256,0.013834,-0.004256,280.63,4.02,-0.16,-0.88,0.03,-34.061428,0,0,0,0,0,,,,,,,,
300115,101728.671875,283.04,0.497993,-9.835380,-0.172382,-0.005321,0.014899,-0.003192,280.75,4.01,0.74,0.11,0.02,-32.856517,0,0,0,0,0,,,,,,,,
305115,101713.859375,283.06,0.493205,-9.835380,-0.172382,-0.004256,0.013834,-0.004256,280.75,4.03,1.04,0.33,0.02,-31.652734,0,0,0,0,0,,,,,,,,
310115,101736.203125,283.07,0.488417,-9.821015,-0.181959,-0.004256,0.013834,-0.003192,280.80,4.03,0.79,-0.00,0.02,-33.468513,0,0,0,0,0,,,,,,,,
315115,101740.000000,283.09,0.507570,-9.998186,-0.138863,-0.004256,0.011706,-0.004256,280.86,4.00,0.61,-0.15,0.03,-33.777034,0,0,0,0,0,,,,,,,,
320115,101728.953125,283.12,0.483628,-9.811438,-0.201112,-0.004256,0.013834,-0.003192,280.84,4.03,0.56,-0.19,0.02,-32.879371,0,0,0,0,0,,,,,,,,
325115,101728.953125,283.12,0.493205,-9.830592,-0.201112,-0.004256,0.013834,-0.004256,280.83,4.03,1.00,0.18,0.02,-32.879371,0,0,0,0,0,,,,,,,,
330115,101714.125000,283.14,0.478840,-9.825803,-0.167594,-0.004256,0.014899,-0.004256,280.84,4.01,1.50,0.71,0.02,-31.674322,0,0,0,0,0,,,,,,,,
335115,101736.468750,283.16,0.493205,-9.825803,-0.172382,-0.004256,0.014899,-0.003192,280.90,4.03,0.53,-0.21,0.02,-33.490097,0,0,0,0,0,,,,,,,,
340115,101721.671875,283.17,0.488417,-9.840168,-0.172382,-0.004256,0.014899,-0.004256,280.87,4.03,0.98,-0.06,0.03,-32.287658,0,0,0,0,0,,,,,,,,
345115,101721.671875,283.17,0.488417,-9.825803,-0.181959,-0.004256,0.014899,-0.004256,280.95,4.01,1.56,0.71,0.02,-32.287658,0,0,0,0,0,,,,,,,,
350115,101744.031250,283.19,0.483628,-9.844957,-0.172382,-0.005321,0.014899,-0.004256,280.90,4.03,0.38,-0.40,0.02,-34.104595,0,0,0,0,0,,,,,,,,
