radio_id	radio_name	rssi	lqi	crc	software_version	board_serial_number	time_stamp_ms	callsign	temperature	fcb_altitude	v_speed	fcb_latitude	fcb_longitude	gps_alt	fcb_battery_voltage	ground_speed	course_over_ground	gps_time	gps_sats	fcb_state_number	ble_client	timestamp	run_number	distance	rot_vel_x	rot_vel_y	rot_vel_z	accel_x	accel_y	accel_z	magnetic_field_x	magnetic_field_y	magnetic_field_z	roll	pitch	yaw	orientation_quaternion	orientation_rpy	barometer_pressure	barometer_2_pressure	press_ref	ground_elev	ground_temp	gs_lat	gs_lon	gs_alt	gs_baro	gs_temp	pyro_continuity	pyro_status	flash_usage	cli_string
0	433 MHz Radio	-47 db	3	Good	0	0	231814	KM6GNL	26.739999771118164	-0.06401567906141281	-0.28023087978363037	44.824609375	-73.16703287760417	45.599998474121094	12.6033935546875	0.0	0.0	2022-10-15 11:00:32	0	6	0	2022-10-15 11:00:33	1	0.0																												
0	433 MHz Radio	-47 db	2	Good	0	0	232009	KM6GNL												6		2022-10-15 11:00:33	1		0.011652217246592045	-0.07093650102615356	0.06340760737657547	-0.36251261830329895	-0.5670989751815796	9.565308570861816	0.6803399920463562	0.3749699890613556	1.0776400566101074	-1.4787256053157725	-1.311614534820439	0.04305431731476313	[0.51, -0.54, -0.45, -0.47000000000000003]	[-1.4787256053157725, -1.311614534820439, 0.04305431731476313]														
0	433 MHz Radio	-47 db	3	Good	0	0	232009	KM6GNL	26.739999771118164	-0.11223659664392471	-0.302631139755249	44.824609375	-73.16703287760417	45.599998474121094	12.6033935546875	0.0	0.0	2022-10-15 11:00:32	0	6	0	2022-10-15 11:00:33	1	0.0																												
0	433 MHz Radio	-45 db	2	Good	0	0	232205	KM6GNL												6		2022-10-15 11:00:33	1		0.03669761121273041	0.06788218021392822	-0.12596002221107483	-1.0480562448501587	-1.1665010452270508	9.525826454162598	0.6829500198364258	0.3825100064277649	1.0848900079727173	-1.6387188915484185	-1.305443377197247	0.14906072235594464	[0.51, -0.55, -0.45, -0.46]	[-1.6387188915484185, -1.305443377197247, 0.14906072235594464]														
0	433 MHz Radio	-45 db	3	Good	0	0	232205	KM6GNL	26.75	-0.1760057508945465	-0.3685179650783539	44.824609375	-73.16703287760417	45.70000076293945	12.6197509765625	0.0	0.0	2022-10-15 11:00:32	0	6	0	2022-10-15 11:00:33	1	0.0																												
0	433 MHz Radio	-45 db	3	Good	0	0	232281	KM6GNL														2022-10-15 11:00:33	1																0.9978978633880615	0.998490035533905	0.9981594085693359	0.0	16.0									
0	433 MHz Radio	-45 db	3	Good	0	0	232401	KM6GNL												6		2022-10-15 11:00:33	1		0.00447457330301404	0.015347938984632492	-0.04150816425681114	-0.2799602448940277	-0.5419743061065674	9.647860527038574	0.6809200048446655	0.3793199956417084	1.0770599842071533	-1.6247978271708665	-1.3549710927514376	0.1281822038537022	[0.51, -0.54, -0.46, -0.47000000000000003]	[-1.6247978271708665, -1.3549710927514376, 0.1281822038537022]														
0	433 MHz Radio	-45 db	2	Good	0	0	232401	KM6GNL	26.760000228881836	-0.027771392837166786	-0.191702201962471	44.824609375	-73.16703287760417	45.79999923706055	12.6361083984375	0.0	0.0	2022-10-15 11:00:32	0	6	0	2022-10-15 11:00:33	1	0.0																												
0	433 MHz Radio	-45 db	3	Good	0	0	232612	KM6GNL												6		2022-10-15 11:00:34	1		-0.008200840093195438	0.01870768703520298	-0.0760219395160675	-0.5563312768936157	-1.0085747241973877	9.54377269744873	0.6788899898529053	0.38135001063346863	1.0744500160217285	-1.6247978271708665	-1.3549710927514376	0.1281822038537022	[0.51, -0.54, -0.46, -0.47000000000000003]	[-1.6247978271708665, -1.3549710927514376, 0.1281822038537022]														
0	433 MHz Radio	-46 db	2	Good	0	0	232612	KM6GNL	26.760000228881836	-0.0008624779875390232	-0.15812410414218903	44.824609375	-73.16703287760417	45.79999923706055	12.6197509765625	0.0	0.0	2022-10-15 11:00:32	0	6	0	2022-10-15 11:00:34	1	0.0																												
