packetType,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro1_alt,gps_lat,gps_long,gps_alt,gps_fix_quality,gps_sats_tracked,gps_hdop,battery_voltage_1,battery_voltage_2,pyro_cont,dynamixel_degrees,dynamixel_degrees_1,dynamixel_length,dynamixel_length_1,trigger_status,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_x,q_y,q_z,q_w,state,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_pres_avg,baro_temp_avg
0,485247,-6,-2047,88,12,22,4,-459,-368,3650,8,4,5,25.96,1.013807056501357,-0.3186868585734222,0.0,0.0,0.0,0,0,0.0,12.015609741210938,11.665499687194824,7,447.0,292.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3461626634644819,0.0,0.0,-0.133948281341972,0.4213795065879822,-0.0287304203957319,9.801861763000488,-0.0268589332699775,-0.690132200717926,-0.0256501156836748,0.7227297425270081,6,0.0,0.0,-0.0430708068,-14.694323586600001,0.6317051664000001,0.014660765664,0.026878070384,0.004886921888,-0.26622,-0.21344,2.117,-0.0430708068,-14.694323586600001,0.6317051664000001,0.014660765664,0.026878070384,0.004886921888,-0.26622,-0.21344,2.117,0.23536,0.11768,0.1471,1.013807056501357,25.96
0,485352,-3,-2050,90,11,24,3,-390,-368,3651,10,4,5,25.97,1.013560325684678,1.5560950574299668,0.0,0.0,0.0,0,0,0.0,12.113062858581545,12.001172065734863,7,447.0,292.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3453032285472471,0.0,0.0,-0.1193950815095959,0.4309563040733337,-0.0143652101978659,9.816226959228516,-0.0268270839005708,-0.6901536583900452,-0.0256557557731866,0.7227102518081665,6,0.0,0.0,-0.0215354034,-14.715858990000001,0.646062102,0.013439035192,0.029321531328,0.003665191416,-0.2262,-0.21344,2.11758,-0.0215354034,-14.715858990000001,0.646062102,0.013439035192,0.029321531328,0.003665191416,-0.2262,-0.21344,2.11758,0.2942,0.11768,0.1471,1.013560325684678,25.97
0,485457,-5,-2048,96,15,24,2,-378,-379,3659,7,5,6,25.97,1.013718233407353,0.3561920653597745,0.0,0.0,0.0,0,0,0.0,12.080577850341797,12.030047416687012,7,447.0,292.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3801429980527278,0.0,0.0,-0.071022864746992,0.4596867263317108,-0.0239420160651206,9.806650161743164,-0.0268450789153575,-0.6901443600654602,-0.0256669353693723,0.7227180600166321,6,0.0,0.0,-0.035892339,-14.7015020544,0.6891329088,0.01832595708,0.029321531328,0.002443460944,-0.21924,-0.21982,2.12222,-0.035892339,-14.7015020544,0.6891329088,0.01832595708,0.029321531328,0.002443460944,-0.21924,-0.21982,2.12222,0.20594,0.1471,0.17652,1.013718233407353,25.97
0,485562,-7,-2045,89,10,24,6,-423,-416,3647,7,5,5,25.96,1.0136491487786825,0.8811310000904891,0.0,0.0,0.0,0,0,0.0,11.52834415435791,11.589703559875488,7,447.0,292.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4126504578199756,0.0,0.0,-0.0299397974178557,0.4261679053306579,-0.0335188247263431,9.792284965515137,-0.0268479380756616,-0.6901819109916687,-0.0256824437528848,0.7226815223693848,6,0.0,0.0,-0.050249274600000005,-14.679966651,0.6388836342,0.012217304719999999,0.029321531328,0.007330382832,-0.24534,-0.24128,2.11526,-0.050249274600000005,-14.679966651,0.6388836342,0.012217304719999999,0.029321531328,0.007330382832,-0.24534,-0.24128,2.11526,0.20594,0.1471,0.1471,1.0136491487786825,25.96
0,485669,-8,-2049,93,10,23,2,-392,-395,3628,8,4,5,25.96,1.0136590180113496,0.8061379500602662,0.0,0.0,0.0,0,0,0.0,11.993953704833984,11.604140281677246,7,447.0,292.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4533475131955606,0.0,0.0,0.0124406954658925,0.4453215301036834,-0.0383072271943092,9.81143856048584,-0.0268277674913406,-0.6902145147323608,-0.0256874002516269,0.7226510047912598,6,0.0,0.0,-0.0574277424,-14.7086805222,0.6675975054000001,0.012217304719999999,0.028099800855999998,0.002443460944,-0.22736,-0.2291,2.10424,-0.0574277424,-14.7086805222,0.6675975054000001,0.012217304719999999,0.028099800855999998,0.002443460944,-0.22736,-0.2291,2.10424,0.23536,0.11768,0.1471,1.0136590180113496,25.96
0,485772,-9,-2046,90,11,24,3,-361,-376,3659,8,3,7,25.96,1.0136590180113496,0.8061379500602662,0.0,0.0,0.0,0,0,0.0,11.87484359741211,12.06614112854004,7,447.0,292.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4846955386858507,0.0,0.0,0.0422703849456169,0.4309563040733337,-0.0430956296622753,9.797073364257812,-0.026785297319293,-0.6902478933334351,-0.0257041398435831,0.7226200699806213,6,0.0,0.0,-0.0646062102,-14.6871451188,0.646062102,0.013439035192,0.029321531328,0.003665191416,-0.20938,-0.21808,2.12222,-0.0646062102,-14.6871451188,0.646062102,0.013439035192,0.029321531328,0.003665191416,-0.20938,-0.21808,2.12222,0.23536,0.08826,0.20594,1.0136590180113496,25.96
0,485877,-3,-2044,92,10,24,5,-415,-371,3700,8,4,5,25.96,1.0137083641746854,0.4311815681630501,0.0,0.0,0.0,0,0,0.0,12.087797164916992,11.961468696594238,7,447.0,292.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4769257445724325,0.0,0.0,0.0294187596341491,0.4405331015586853,-0.0143652101978659,9.78749656677246,-0.0267827436327934,-0.6902740597724915,-0.0257483888417482,0.7225936055183411,6,0.0,0.0,-0.0215354034,-14.6727881832,0.6604190376,0.012217304719999999,0.029321531328,0.0061086523599999994,-0.2407,-0.21518,2.146,-0.0215354034,-14.6727881832,0.6604190376,0.012217304719999999,0.029321531328,0.0061086523599999994,-0.2407,-0.21518,2.146,0.23536,0.11768,0.1471,1.0137083641746854,25.96
0,485982,-5,-2047,88,11,26,4,-449,-359,3702,7,5,6,25.96,1.0136491487786825,0.8811310000904891,0.0,0.0,0.0,0,0,0.0,12.055312156677246,12.048093795776367,7,447.0,292.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4894432055223734,0.0,0.0,0.0387366691670153,0.4213795065879822,-0.0239420160651206,9.801861763000488,-0.026745218783617,-0.6903129816055298,-0.0257253255695104,0.7225586175918579,6,0.0,0.0,-0.035892339,-14.694323586600001,0.6317051664000001,0.013439035192,0.031764992272,0.004886921888,-0.26042,-0.20822,2.14716,-0.035892339,-14.694323586600001,0.6317051664000001,0.013439035192,0.031764992272,0.004886921888,-0.26042,-0.20822,2.14716,0.20594,0.1471,0.17652,1.0136491487786825,25.96
0,486087,-1,-2048,91,11,24,4,-346,-389,3698,7,5,5,25.96,1.0136590180113496,0.8061379500602662,0.0,0.0,0.0,0,0,0.0,11.477812767028809,12.09140682220459,7,447.0,292.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5138741965866606,0.0,0.0,0.0595784843381072,0.4357447028160095,-0.0047884033992886,9.806650161743164,-0.0267758164554834,-0.6903263330459595,-0.0257579497992992,0.7225435972213745,6,0.0,0.0,-0.0071784678,-14.7015020544,0.6532405698,0.013439035192,0.029321531328,0.004886921888,-0.20068,-0.22562000000000001,2.14484,-0.0071784678,-14.7015020544,0.6532405698,0.013439035192,0.029321531328,0.004886921888,-0.20068,-0.22562000000000001,2.14484,0.20594,0.1471,0.1471,1.0136590180113496,25.96
0,486192,-6,-2044,92,12,26,3,-414,-368,3709,9,5,6,25.96,1.0136590180113496,0.8061379500602662,0.0,0.0,0.0,0,0,0.0,11.975906372070312,11.622187614440918,7,447.0,292.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4981321251378798,0.0,0.0,0.0369383622223293,0.4405331015586853,-0.0287304203957319,9.78749656677246,-0.026732275262475,-0.6903366446495056,-0.0257642734795808,0.7225351333618164,6,0.0,0.0,-0.0430708068,-14.6727881832,0.6604190376,0.014660765664,0.031764992272,0.003665191416,-0.24012,-0.21344,2.15122,-0.0430708068,-14.6727881832,0.6604190376,0.014660765664,0.031764992272,0.003665191416,-0.24012,-0.21344,2.15122,0.26478,0.1471,0.17652,1.0136590180113496,25.96
