key,value
altimeter_name,FCB
flight_location,CRMRC
flight_date,2025-02-15
flight_name,Wyatt
altimeter_note,FCBV2
importer_id,fcb
imported_at,2026-05-28T22:58:46.499Z
row_count,7684
peak_altitude_m,888.90
peak_velocity_ms,114.39
peak_acceleration_mss,135.50
motor,unknown
flight_notes,
pressure_ref,1.0136984949420182
gravity_ref,1
launched,1
gps_timestamp,2025-02-15T17:32:35.000Z
apogee_timestamp,1970-01-07T16:29:35.000Z
trigger_fire_status,-15
gyro_offset_x,-0.023509979248046875
gyro_offset_y,0.007815064862370491
gyro_offset_z,0.0019533042795956135
