key,value
altimeter_name,StratoLoggerCF
flight_location,g
flight_date,2026-05-28
flight_name,gfd
altimeter_note,aaa
importer_id,stratologgercf
imported_at,2026-05-28T17:20:27.763Z
product,PerfectFlite SLCF
firmware,1.0
software,1.16
serial_number,3810
apogee,5608' AGL
ground_elevation,288' MSL
numsamps,2328
flight_number,5
main_setting,500' AGL
apogee_delay,2 Seconds
drogue_at,20.80 Seconds
main_at,85.50 Seconds
max_drogue_current,0 Amps
max_main_current,0 Amps
comments,
