timestampMs	pressurePa	barometerTemperatureK	accelerationMSS_x	accelerationMSS_y	accelerationMSS_z	velocityRadS_x	velocityRadS_y	velocityRadS_z	imuTemperatureK	batteryVoltageV	altitudeM	velocityMS	accelerationMSS	unfilteredAltitudeM	flightState	drogueContinuity	drogueFired	mainContinuity	mainFired
356441	100742.296875	301.64	1.781286	-0.062249	-9.710882	0.035119	0.002128	-0.014899	306.08	0.00	0.96	-0.39	-0.12	51.067340	0	0	0	0	0
361441	100734.765625	301.61	1.776497	-0.124498	-9.658209	0.038312	0.002128	-0.018091	305.98	0.01	1.28	-0.08	-0.11	51.728931	0	0	0	0	0
366441	100734.765625	301.61	1.805227	-0.071826	-9.686940	0.034055	0.002128	-0.019156	305.93	0.00	1.32	-0.16	-0.11	51.728931	0	0	0	0	0
371441	100710.906250	301.59	1.771709	-0.100556	-9.691728	0.034055	0.001064	-0.017027	305.93	0.01	1.84	0.10	-0.12	53.825157	0	0	0	0	0
376441	100727.234375	301.57	1.786074	-0.105344	-9.686940	0.036183	0.000000	-0.017027	305.98	0.01	1.68	0.00	-0.12	52.390563	0	0	0	0	0
381441	100723.453125	301.56	1.766920	-0.105344	-9.701305	0.035119	0.001064	-0.017027	305.93	0.00	1.69	-0.10	-0.11	52.722770	0	0	0	0	0
386441	100712.156250	301.51	1.776497	-0.114921	-9.677363	0.035119	0.002128	-0.018091	306.08	0.01	1.97	0.04	-0.12	53.715324	0	0	0	0	0
391441	100732.234375	301.51	1.776497	-0.081402	-9.667786	0.035119	0.002128	-0.019156	305.59	0.01	1.58	-0.26	-0.13	51.951301	0	0	0	0	0
396441	100724.703125	301.47	1.762132	-0.076614	-9.682151	0.037247	0.002128	-0.019156	305.88	0.00	2.11	0.08	-0.12	52.612949	0	0	0	0	0
401441	100737.250000	301.44	1.800439	-0.124498	-9.691728	0.035119	0.002128	-0.018091	305.73	0.01	-0.20	0.09	-0.12	51.307262	0	0	0	0	0
406441	100713.406250	301.43	1.790862	-0.081402	-9.701305	0.035119	-0.001064	-0.019156	305.68	0.01	0.64	0.64	-0.11	53.393795	0	0	0	0	0
411441	100722.187500	301.38	1.795651	-0.100556	-9.629479	0.036183	0.002128	-0.020220	305.78	0.00	-0.11	-0.12	-0.20	52.625312	0	0	0	0	0
416441	100725.953125	301.39	1.800439	-0.076614	-9.691728	0.034055	0.001064	-0.015963	305.68	0.00	-0.52	-0.47	-0.11	52.295783	0	0	0	0	0
421441	100742.265625	301.38	1.771709	-0.110133	-9.706093	0.035119	0.000000	-0.018091	305.59	0.01	-0.98	-0.99	-0.11	50.868400	0	0	0	0	0
426441	100722.187500	301.38	1.757344	-0.043095	-9.706093	0.034055	-0.001064	-0.017027	305.78	0.00	0.05	-0.06	-0.12	52.625312	0	0	0	0	0
431441	100718.421875	301.36	1.766920	-0.129286	-9.682151	0.035119	0.001064	-0.017027	305.73	0.01	0.22	0.07	-0.12	52.954853	0	0	0	0	0
436441	100734.718750	301.34	1.805227	-0.071826	-9.667786	0.038312	0.002128	-0.014899	305.68	0.00	-0.24	-0.51	-0.12	51.528747	0	0	0	0	0
441441	100734.718750	301.34	1.766920	-0.095768	-9.677363	0.036183	0.001064	-0.020220	305.68	0.00	-0.20	-0.65	-0.12	51.528747	0	0	0	0	0
446441	100730.953125	301.33	1.790862	-0.110133	-9.662998	0.036183	-0.001064	-0.018091	305.73	0.00	0.02	-0.48	-0.12	51.858253	0	0	0	0	0
451441	100710.890625	301.33	1.790862	-0.095768	-9.691728	0.035119	0.002128	-0.015963	305.73	0.00	1.09	0.41	-0.11	53.613960	0	0	0	0	0
456441	100730.953125	301.33	1.786074	-0.105344	-9.710882	0.036183	0.001064	-0.019156	305.73	0.00	0.06	-0.51	-0.11	51.858253	0	0	0	0	0
461441	100727.171875	301.31	1.766920	-0.071826	-9.696516	0.034055	0.001064	-0.018091	305.59	0.00	-0.06	-0.57	-0.11	52.189136	0	0	0	0	0
466441	100727.171875	301.31	1.762132	-0.052672	-9.701305	0.038312	0.003192	-0.018091	305.93	0.00	0.56	0.09	-0.12	52.189136	0	0	0	0	0
471441	100703.328125	301.29	1.776497	-0.076614	-9.701305	0.036183	0.002128	-0.017027	305.78	0.00	0.60	0.02	-0.11	54.275840	0	0	0	0	0
476441	100719.640625	301.28	1.781286	-0.110133	-9.682151	0.035119	0.001064	-0.019156	305.68	0.00	0.85	0.21	-0.11	52.848194	0	0	0	0	0
481441	100699.562500	301.28	1.776497	-0.095768	-9.701305	0.035119	-0.002128	-0.019156	305.88	0.01	0.88	0.31	-0.11	54.605430	0	0	0	0	0
486441	100719.640625	301.28	1.800439	-0.119710	-9.677363	0.037247	0.000000	-0.017027	305.78	0.00	0.30	-0.27	-0.12	52.848194	0	0	0	0	0
491441	100715.859375	301.26	1.786074	-0.095768	-9.653421	0.032990	0.001064	-0.015963	305.54	0.01	0.87	-0.03	-0.12	53.179107	0	0	0	0	0
496441	100715.859375	301.26	1.781286	-0.086191	-9.696516	0.035119	0.001064	-0.021284	305.39	0.00	0.45	-0.36	-0.11	53.179107	0	0	0	0	0
501441	100719.640625	301.28	1.781286	-0.067037	-9.677363	0.037247	0.001064	-0.018091	305.68	0.00	0.82	0.11	-0.12	52.848194	0	0	0	0	0
506441	100715.859375	301.26	1.786074	-0.095768	-9.691728	0.031926	0.001064	-0.019156	305.39	0.01	0.53	-0.21	-0.12	53.179107	0	0	0	0	0
511441	100719.640625	301.28	1.790862	-0.081402	-9.524134	0.035119	0.003192	-0.019156	305.73	0.01	0.80	0.01	-0.18	52.848194	0	0	0	0	0
516441	100712.109375	301.24	1.766920	-0.081402	-9.720458	0.037247	0.002128	-0.018091	305.59	0.00	1.08	0.20	-0.11	53.507297	0	0	0	0	0
521441	100735.937500	301.26	1.795651	-0.076614	-9.677363	0.035119	0.002128	-0.018091	305.59	0.00	-0.06	-0.73	-0.11	51.422103	0	0	0	0	0
526441	100715.859375	301.26	1.790862	-0.095768	-9.686940	0.032990	0.001064	-0.017027	305.68	0.01	0.67	-0.09	-0.11	53.179107	0	0	0	0	0
531441	100715.859375	301.26	1.795651	-0.086191	-9.691728	0.034055	0.001064	-0.017027	305.93	0.00	0.57	-0.26	-0.12	53.179107	0	0	0	0	0
536441	100712.109375	301.24	1.766920	-0.105344	-9.686940	0.037247	-0.001064	-0.015963	305.68	0.01	1.01	0.11	-0.11	53.507297	0	0	0	0	0
541441	100712.109375	301.24	1.800439	-0.081402	-9.691728	0.036183	0.001064	-0.017027	305.59	0.01	0.69	-0.17	-0.11	53.507297	0	0	0	0	0
546441	100732.171875	301.24	1.766920	-0.047884	-9.710882	0.034055	0.000000	-0.023412	305.68	0.00	0.65	-0.24	-0.12	51.751605	0	0	0	0	0
551441	100692.046875	301.24	1.786074	-0.090979	-9.720458	0.035119	0.000000	-0.019156	305.54	0.00	1.52	0.59	-0.12	55.263267	0	0	0	0	0
556441	100708.343750	301.23	1.766920	-0.095768	-9.686940	0.036183	-0.001064	-0.018091	305.54	0.00	0.89	-0.13	-0.12	53.836860	0	0	0	0	0
561441	100732.171875	301.24	1.790862	-0.100556	-9.696516	0.034055	0.004256	-0.020220	305.78	0.00	0.82	-0.16	-0.11	51.751605	0	0	0	0	0
566441	100692.046875	301.24	1.795651	-0.100556	-9.686940	0.035119	0.001064	-0.018091	305.73	0.01	1.25	0.04	-0.13	55.263267	0	0	0	0	0
571441	100732.171875	301.24	1.786074	-0.043095	-9.682151	0.035119	0.000000	-0.020220	305.54	0.00	0.35	-0.86	-0.11	51.751605	0	0	0	0	0
576441	100712.109375	301.24	1.800439	-0.071826	-9.686940	0.036183	-0.001064	-0.017027	305.59	0.00	0.75	-0.51	-0.11	53.507297	0	0	0	0	0
581441	100692.046875	301.24	1.814804	-0.119710	-9.696516	0.036183	0.001064	-0.018091	305.59	0.01	1.94	0.64	-0.11	55.263267	0	0	0	0	0
