,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro1_alt,baro2_temp,baro2_pres,baro2_alt,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,baro_pres_avg,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_temp_avg
1259,8987654,0,-696,16301,-404,104,-35,-19,-436,8121,3907,-752,16258,216,110,265,-25,1736,2603,10891,-240,112,12320,39.48,0.9995361460646436,0.0,41.64,1.011586479151246,0.0,0.0,0.0,0.0,7.766820430755615,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0055613126079448,-0.4163511324,9.75135030065,-0.2416750826,-0.4498506488,9.7256274577,0.1292124204,0.0158824952,-0.0053450705,-0.0029016097,0.016798793,0.0404698195,-0.0038179075,-0.06104,1.1369399999999998,0.5469799999999999,0.24303999999999998,0.36441999999999997,1.5247399999999998,-0.4331008906,9.738488879175,-0.056231331100000004,0.0163406441,0.0175623745,-0.0033597586000000002,0.091,0.7506799999999999,1.0358599999999998,-7.0608,3.29504,362.4544,40.56
1260,8987940,0,-606,16311,-431,95,-27,-20,-476,8092,3941,-665,16282,212,100,278,-16,1684,2615,10905,-256,128,12304,39.48,0.9995953614606464,0.0,41.65,1.01139896373057,0.0,0.0,0.0,0.0,7.7640509605407715,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0054971625956082,-0.3625126239,9.75733235715,-0.25782663515,-0.39780675725,9.7399843933,0.1268195978,0.0145080485,-0.0041233401,-0.003054326,0.01527163,0.0424551314,-0.0024434608,-0.06663999999999999,1.1328799999999999,0.5517399999999999,0.23575999999999997,0.3661,1.5267,-0.380159690575,9.748658375225,-0.065503518675,0.01488983925,0.01916589565,-0.0027488934,0.08456,0.74949,1.0392199999999998,-7.53152,3.76576,361.98368000000005,40.565
1261,8988186,0,-587,16302,-447,94,-41,27,-463,8154,3872,-636,16276,201,106,243,12,1758,2570,10940,-368,0,12336,39.48,0.9995361460646436,0.0,41.64,1.01153713298791,0.0,0.0,0.0,0.0,7.762943267822266,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0055366395262768,-0.35114671655,9.7519485063,-0.26739792554999997,-0.3804587934,9.7363951594,0.12023933565,0.0143553322,-0.0062613683,0.0041233401,0.0161879278,0.0371100609,0.0018325956,-0.06481999999999999,1.14156,0.54208,0.24611999999999998,0.35979999999999995,1.5315999999999999,-0.36580275497500003,9.74417183285,-0.07357929494999998,0.015271630000000001,0.015424346299999999,0.00297796785,0.09065,0.7506799999999999,1.03684,-10.82656,0.0,362.92512,40.56
1262,8988434,0,-678,16302,-401,107,-60,26,-448,8092,3912,-717,16270,237,105,205,46,1703,2539,10919,-272,64,12304,39.49,0.9993486306439674,0.0,41.64,1.0113792252652356,0.0,0.0,0.0,0.0,7.767374515533447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0053639279546016,-0.40558343069999997,9.7519485063,-0.23988046564999999,-0.42891345105,9.7328059255,0.14177473905,0.0163406441,-0.009162978,0.0039706238,0.0160352115,0.0313068415,0.0070249498,-0.06272,1.1328799999999999,0.54768,0.23841999999999997,0.35545999999999994,1.52866,-0.417248440875,9.7423772159,-0.0490528633,0.0161879278,0.01107193175,0.0054977868,0.08784999999999998,0.7441699999999999,1.03817,-8.00224,1.88288,361.98368000000005,40.565
1263,8988722,0,-712,16299,-423,77,-40,-21,-485,8115,4004,-770,16278,221,86,245,2,1663,2582,10849,-320,80,12288,39.47,0.9996644460893166,0.0,41.63,1.011438440661239,0.0,0.0,0.0,0.0,7.778452396392822,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0055514433752777,-0.4259224228,9.750153889349999,-0.25304098995,-0.4606183505,9.7375915707,0.13220344865,0.0117591551,-0.006108652,-0.0032070423,0.0131336018,0.0374154935,0.0003054326,-0.06789999999999999,1.1360999999999999,0.56056,0.23281999999999997,0.36147999999999997,1.5188599999999999,-0.44327038664999996,9.743872730025,-0.06041877065000001,0.01244637845,0.01565342075,-0.00145080485,0.08245999999999999,0.74879,1.03971,-9.4144,2.3536,361.51296,40.55
1264,8988968,0,-639,16302,-456,108,-32,-8,-471,8089,3938,-682,16257,158,98,268,-28,1711,2572,10869,-288,64,12304,39.48,0.9997039230199852,0.0,41.64,1.0114285714285711,0.0,0.0,0.0,0.0,7.775682926177978,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0055662472242781,-0.38225341035,9.7519485063,-0.2727817764,-0.4079762533,9.72502925205,0.0945164927,0.0164933604,-0.0048869216,-0.0012217304,0.0149661974,0.0409279684,-0.0042760564000000004,-0.06594,1.1324599999999998,0.5513199999999999,0.23953999999999998,0.36007999999999996,1.5216599999999998,-0.39511483182499996,9.738488879175,-0.08913264185,0.0157297789,0.018020523400000002,-0.0027488934000000002,0.08679999999999999,0.7462699999999999,1.03649,-8.47296,1.88288,361.98368000000005,40.56
1265,8989256,0,-619,16302,-441,117,-1,2,-474,8141,3910,-658,16252,184,132,254,2,1672,2584,10952,-288,128,12288,39.49,0.9995164075993092,0.0,41.63,1.0114976560572415,0.0,0.0,0.0,0.0,7.765712738037109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0055070318282753,-0.37028929735,9.7519485063,-0.26380869165,-0.39361931769999997,9.7220382238,0.1100698396,0.0178678071,-0.0001527163,0.0003054326,0.0201585516,0.0387899402,0.0003054326,-0.06635999999999999,1.13974,0.5474,0.23407999999999998,0.36175999999999997,1.53328,-0.381954307525,9.736993365050001,-0.07686942602499999,0.01901317935,0.019318611949999998,0.0003054326,0.08385999999999999,0.75075,1.04034,-8.47296,3.76576,361.51296,40.56
1266,8989504,0,-663,16308,-414,119,-54,19,-487,8102,3914,-715,16254,218,124,217,26,1684,2544,10925,-256,96,12256,39.48,0.999743399950654,0.0,41.64,1.0113792252652356,0.0,0.0,0.0,0.0,7.777898788452148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0055613126079448,-0.39661034595,9.7555377402,-0.2476571391,-0.42771703974999997,9.723234635099999,0.1304088317,0.0181732397,-0.0082466802,0.0029016097,0.0189368212,0.0331394371,0.0039706238,-0.06817999999999999,1.13428,0.54796,0.23575999999999997,0.35616,1.5294999999999999,-0.41216369285,9.739386187649998,-0.0586241537,0.01855503045,0.01244637845,0.00343611675,0.08378999999999999,0.74522,1.03873,-7.53152,2.82432,360.57152,40.56
1267,8989750,0,-683,16313,-395,117,-23,-6,-473,8091,3895,-747,16250,247,107,247,15,1703,2577,10907,-288,48,12288,39.48,0.9994769306686404,0.0,41.64,1.01146804835924,0.0,0.0,0.0,0.0,7.784545421600342,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0054724895139402,-0.40857445895,9.75852876845,-0.23629123175,-0.44685962055,9.7208418125,0.14775679555,0.0178678071,-0.0035124749,-0.0009162978,0.0163406441,0.0377209261,0.0022907445,-0.06622,1.1327399999999999,0.5453,0.23841999999999997,0.36078,1.5269799999999998,-0.42771703974999997,9.739685290475,-0.044267218100000005,0.017104225600000002,0.017104225600000002,0.0006872233500000001,0.08609999999999998,0.7467599999999999,1.0361399999999998,-8.47296,1.41216,361.51296,40.56
1268,8990038,0,-624,16291,-437,93,-27,-17,-483,8100,3853,-695,16278,221,98,291,-4,1689,2620,10907,-176,144,12336,39.48,0.9995361460646436,0.0,41.64,1.0114187021959042,0.0,0.0,0.0,0.0,7.769589900970459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.005477424130274,-0.3732803256,9.745368244149999,-0.26141586904999997,-0.41575292675,9.7375915707,0.13220344865,0.0142026159,-0.0041233401,-0.0025961771,0.0149661974,0.0444404433,-0.0006108652,-0.06762,1.134,0.5394199999999999,0.23645999999999998,0.36679999999999996,1.5269799999999998,-0.394516626175,9.741479907425,-0.06460621019999999,0.01458440665,0.0201585516,-0.00160352115,0.08442,0.7504,1.0332,-5.17792,4.23648,362.92512,40.56
