	packetType	timestamp_ms	imu1_accel_x	imu1_accel_y	imu1_accel_z	imu1_gyro_x	imu1_gyro_y	imu1_gyro_z	imu1_mag_x	imu1_mag_y	imu1_mag_z	imu2_accel_x	imu2_accel_y	imu2_accel_z	imu2_gyro_x	imu2_gyro_y	imu2_gyro_z	imu2_mag_x	imu2_mag_y	imu2_mag_z	high_g_accel_x	high_g_accel_y	high_g_accel_z	baro1_temp	baro1_pres	baro2_temp	baro2_pres	gps_lat	gps_long	gps_alt	gps_fix_quality	gps_sats_tracked	gps_hdop	battery_voltage	pyro_cont	trigger_status	heading	vtg	pos_x	pos_y	pos_z	vel_x	vel_y	vel_z	acc_x	acc_y	acc_z	q_x	q_y	q_z	q_w	state	gps_lat_mod	gps_long_mod	imu1_accel_x_real	imu1_accel_y_real	imu1_accel_z_real	imu2_accel_x_real	imu2_accel_y_real	imu2_accel_z_real	imu1_gyro_x_real	imu1_gyro_y_real	imu1_gyro_z_real	imu2_gyro_x_real	imu2_gyro_y_real	imu2_gyro_z_real	imu1_mag_x_real	imu1_mag_y_real	imu1_mag_z_real	imu2_mag_x_real	imu2_mag_y_real	imu2_mag_z_real	imu_accel_x_avg	imu_accel_y_avg	imu_accel_z_avg	imu_gyro_x_avg	imu_gyro_y_avg	imu_gyro_z_avg	imu_mag_x_avg	imu_mag_y_avg	imu_mag_z_avg	high_g_accel_x_real	high_g_accel_y_real	high_g_accel_z_real	baro_pres_avg	baro_temp_avg
10147	0	1109633	1267	10	-17	68	-15	23	1267	10	-17	68	-15	23	-28610	-32765	-4890	-28610	-32765	-4890	64	-272	-208	61.34	0.9269676782630152	60.5	0.9261880088823096	3520.870361328125	-11748.560546875	622.7999877929688	1	12	0.6000000238418579	5.422500133514404	15	0	0.0	0.0	0.0	0.0	-0.0104567604099152	0.0	0.0	-0.5323232976503378	0.1220339526	0.0717846779999999	9.0951187026	0.0003372709907125	-0.7020878791809082	0.0005062601994723	0.7120901346206665	6	35.34783935546875	-117.80934244791666	9.0951187026	0.071784678	-0.12203395260000001	0.48813581040000004	-0.107677017	0.1651047594	0.08307767209599999	-0.01832595708	0.028099800855999998	-34.95370880392	-40.02999891508	-5.974262008079999	0.73486	0.0058	-0.00986	-16.5938	-19.0037	-2.8362	4.7916272565	-0.017946169499999998	0.021535403399999993	-17.435315565912	-20.02416243608	-2.9730811036119995	-7.929470000000001	-9.498949999999999	-1.42303	1.88288	-8.00224	-6.11936	0.9265778435726624	60.92
10148	0	1109739	1272	11	-25	70	-16	21	1272	11	-25	70	-16	21	-28677	-32765	-4885	-28677	-32765	-4885	32	-272	-224	61.34	0.9269676782630152	60.5	0.9260597088576364	3520.870361328125	-11748.560546875	622.7999877929688	1	12	0.6000000238418579	5.414999961853027	15	0	0.0	0.0	0.0	0.0	-0.0312507495493731	0.0	0.0	-0.5661716856412087	0.1794616949999999	0.0789631458	9.1310110416	0.0004317091952543	-0.7020630836486816	0.0005775219178758	0.7121145129203796	6	35.34783935546875	-117.80934244791666	9.1310110416	0.07896314580000001	-0.179461695	0.502492746	-0.1148554848	0.1507478238	0.08552113303999999	-0.019547687552	0.025656339912	-35.035564745544	-40.02999891508	-5.968153355719999	0.73776	0.00638	-0.0145	-16.63266	-19.0037	-2.8333	4.8167518938	-0.017946169499999998	-0.014356935599999995	-17.475021806252002	-20.024773301316	-2.971248507904	-7.947450000000001	-9.49866	-1.4239	0.94144	-8.00224	-6.59008	0.9265136935603258	60.92
10149	0	1109845	1269	1	-16	69	-16	26	1269	1	-16	69	-16	26	-28677	-32765	-4885	-28677	-32765	-4885	112	-256	-128	61.34	0.926908462867012	60.5	0.9261287934863064	3520.870361328125	-11748.560546875	622.7999877929688	1	12	0.6000000238418579	5.422500133514404	15	0	0.0	0.0	0.0	0.0	-0.064217174794935	0.0	0.0	-0.6075787880311533	0.1148554847999999	0.0071784677999999	9.1094756382	0.1470390558242797	-0.6844687461853027	0.143998771905899	0.6993900537490845	6	35.34783935546875	-117.80934244791666	9.109475638200001	0.0071784678	-0.1148554848	0.4953142782	-0.1148554848	0.1866401628	0.08429940256799999	-0.019547687552	0.031764992272	-35.035564745544	-40.02999891508	-5.968153355719999	0.73602	0.00058	-0.00928	-16.63266	-19.0037	-2.8333	4.802394958200001	-0.0538385085	0.035892339	-17.475632671488	-20.024773301316	-2.968194181724	-7.948320000000001	-9.50156	-1.42129	3.29504	-7.53152	-3.76576	0.9265186281766592	60.92
10150	0	1109950	1271	0	-15	66	-14	20	1271	0	-15	66	-14	20	-28669	-32765	-4886	-28669	-32765	-4886	96	-176	-240	61.34	0.9270663705896868	60.52	0.9262077473476438	3520.870361328125	-11748.560546875	622.7999877929688	1	12	0.6000000238418579	5.421249866485596	15	0	0.0	0.0	0.0	0.0	-0.1484820289246676	0.0	0.0	-0.6986504476521449	0.1076770169999999	0.0	9.1238325738	0.147052064538002	-0.684417724609375	0.1441098302602768	0.6994144320487976	6	35.34783935546875	-117.80934244791666	9.1238325738	0.0	-0.107677017	0.4737788748	-0.10049854920000001	0.143569356	0.080634211152	-0.017104226607999998	0.024434609439999998	-35.025790901768	-40.02999891508	-5.969375086192	0.7371800000000001	0.0	-0.0087	-16.62802	-19.0037	-2.83388	4.7988057243	-0.050249274600000005	0.017946169500000005	-17.472578345307998	-20.023551570844	-2.9724702383759998	-7.9454199999999995	-9.50185	-1.4212900000000002	2.82432	-5.17792	-7.0608	0.9266370589686652	60.93000000000001
10151	0	1110056	1271	-1	-25	69	-16	24	1271	-1	-25	69	-16	24	-28669	-32765	-4886	-28669	-32765	-4886	80	-272	-192	61.34	0.9269676782630152	60.51	0.9261978781149766	3520.870361328125	-11748.560546875	622.7999877929688	1	12	0.6000000238418579	5.422500133514404	15	0	0.0	0.0	0.0	0.0	-0.1925823134314822	0.0	0.0	-0.7388668420325281	0.1794616949999999	-0.0071784677999999	9.1238325738	0.1471039652824401	-0.6843513250350952	0.1441298425197601	0.6994643807411194	6	35.34783935546875	-117.80934244791666	9.1238325738	-0.0071784678	-0.179461695	0.4953142782	-0.1148554848	0.1722832272	0.08429940256799999	-0.019547687552	0.029321531328	-35.025790901768	-40.02999891508	-5.969375086192	0.7371800000000001	-0.00058	-0.0145	-16.62802	-19.0037	-2.83388	4.809573426	-0.061016976300000005	-0.0035892339000000023	-17.4707457496	-20.024773301316	-2.970026777432	-7.9454199999999995	-9.502139999999999	-1.42419	2.3536	-8.00224	-5.64864	0.9265827781889959	60.925
10152	0	1110161	1271	9	-19	70	-18	23	1271	9	-19	70	-18	23	-28670	-32765	-4891	-28670	-32765	-4891	32	-288	-160	61.34	0.9269183320996792	60.51	0.9262570935109796	3520.870361328125	-11748.560546875	622.7999877929688	1	12	0.6000000238418579	5.421249866485596	15	0	0.0	0.0	0.0	0.0	-0.1875470197265382	0.0	0.0	-0.7251740496554399	0.1363908881999999	0.0646062102	9.1238325738	0.1471759378910064	-0.6843477487564087	0.1441870033740997	0.6994408369064331	6	35.34783935546875	-117.80934244791666	9.1238325738	0.0646062102	-0.1363908882	0.502492746	-0.1292124204	0.1651047594	0.08552113303999999	-0.021991148496	0.028099800855999998	-35.027012632239995	-40.02999891508	-5.975483738552	0.7371800000000001	0.00522	-0.01102	-16.6286	-19.0037	-2.83678	4.8131626599	-0.0323031051	0.014356935599999995	-17.4707457496	-20.025995031788	-2.9736919688479997	-7.945709999999999	-9.499239999999999	-1.4239	0.94144	-8.47296	-4.7072	0.9265877128053295	60.925
10153	0	1110268	1265	8	-19	71	-16	22	1265	8	-19	71	-16	22	-28670	-32765	-4891	-28670	-32765	-4891	96	-272	-160	61.35	0.9269282013323464	60.51	0.9261287934863064	3520.870361328125	-11748.560546875	622.7999877929688	1	12	0.6000000238418579	5.414999961853027	15	0	0.0	0.0	0.0	0.0	-0.1740225619330611	0.0	0.0	-0.7060956807924934	0.1363908881999999	0.0574277423999999	9.080761766999998	0.1473382413387298	-0.6843122839927673	0.1443378180265426	0.6994102597236633	6	35.34783935546875	-117.80934244791666	9.080761767	0.0574277424	-0.1363908882	0.5096712138	-0.1148554848	0.15792629160000002	0.086742863512	-0.019547687552	0.026878070384	-35.027012632239995	-40.02999891508	-5.975483738552	0.7337	0.00464	-0.01102	-16.6286	-19.0037	-2.83678	4.7952164904000005	-0.0287138712	0.010767701700000007	-17.470134884363997	-20.024773301316	-2.974302834084	-7.947449999999999	-9.49953	-1.4239	2.82432	-8.00224	-4.7072	0.9265284974093264	60.93
10154	0	1110373	1266	7	-19	73	-14	24	1266	7	-19	73	-14	24	-28666	-32765	-4892	-28666	-32765	-4892	112	-272	-144	61.34	0.9270762398223538	60.51	0.9260794473229708	3520.870361328125	-11748.560546875	622.7999877929688	1	12	0.6000000238418579	5.421249866485596	15	0	0.0	0.0	0.0	0.0	-0.1656594692360777	0.0	0.0	-0.6927503955552278	0.1363908881999999	0.0502492746	9.0879402348	0.1473955065011978	-0.6842519044876099	0.1444420516490936	0.699435830116272	6	35.34783935546875	-117.80934244791666	9.0879402348	0.050249274600000005	-0.1363908882	0.5240281494	-0.10049854920000001	0.1722832272	0.089186324456	-0.017104226607999998	0.029321531328	-35.022125710352	-40.02999891508	-5.976705469024	0.73428	0.00406	-0.01102	-16.62628	-19.0037	-2.83736	4.8059841920999995	-0.025124637300000002	0.017946169499999998	-17.466469692948	-20.023551570844	-2.973691968848	-7.946000000000001	-9.49982	-1.4241899999999998	3.29504	-8.00224	-4.23648	0.9265778435726623	60.925
10155	0	1110478	1268	10	-21	66	-13	22	1270	7	-21	66	-13	24	-28666	-32765	-4892	-28666	-32765	-4892	64	-208	-208	61.34	0.927026893659018	60.51	0.9262570935109796	3520.870361328125	-11748.560546875	622.7999877929688	1	12	0.6000000238418579	5.413750171661377	15	0	0.0	0.0	0.0	0.0	-0.2273751483032988	0.0	0.0	-0.7543494188323188	0.1507478237999999	0.0610169763	9.1094756382	0.1474778652191162	-0.6841588020324707	0.1444308757781982	0.6995118260383606	6	35.34783935546875	-117.80934244791666	9.1022971704	0.071784678	-0.1507478238	0.4737788748	-0.0933200814	0.1722832272	0.080634211152	-0.015882496136	0.026878070384	-35.022125710352	-40.02999891508	-5.976705469024	0.7366	0.00406	-0.01218	-16.62628	-19.0037	-2.83736	4.7880380226	-0.0107677017	0.010767701699999993	-17.4707457496	-20.022940705608	-2.97491369932	-7.944840000000001	-9.49982	-1.4247699999999999	1.88288	-6.11936	-6.11936	0.9266419935849988	60.925
10156	0	1110584	1267	4	-12	67	-15	23	1267	4	-12	67	-15	23	-28654	-32765	-4885	-28654	-32765	-4885	96	-240	-208	61.35	0.9269874167283494	60.51	0.9261978781149766	3520.870361328125	-11748.560546875	622.7999877929688	1	12	0.6000000238418579	5.421249866485596	15	0	0.0	0.0	0.0	0.0	-0.198110606919195	0.0	0.0	-0.7137990919216873	0.0861416136	0.0287138711999999	9.0951187026	0.1474632024765014	-0.6840730905532837	0.1444868743419647	0.6995871663093567	6	35.34783935546875	-117.80934244791666	9.0951187026	0.0287138712	-0.0861416136	0.4809573426	-0.107677017	0.1651047594	0.08185594162399999	-0.01832595708	0.028099800855999998	-35.007464944687996	-40.02999891508	-5.968153355719999	0.73486	0.00232	-0.00696	-16.619320000000002	-19.0037	-2.8333	4.7880380226	-0.0394815729	0.0394815729	-17.462804501532	-20.02416243608	-2.9700267774319995	-7.942230000000001	-9.500689999999999	-1.42013	2.82432	-7.0608	-6.11936	0.926592647421663	60.93
