generated_time_s	0	634	635	4083	88146	1310656	-0.01	0.99	-195.09	-0.07	-1.01	-0.18	5.21	15.3
0	0.61	634	634	4104	88139	1310720	0.67	1.05	-194.58	-0.03	-1.01	0.06	3.02	2.93
1	-0.37	634	634	4124	88147	1310784	-0.1	1.03	-194.09	-0.08	-1.01	-0.04	1.25	0
2	-0.61	634	634	4145	88145	1310848	0.1	1.03	-193.6	0	-1.01	-0.02	1.89	1.13
3	-0.27	634	634	4165	88145	1310912	0.1	1.03	-193.21	-0.05	-1.01	-0.07	2.65	0.95
4	-0.43	634	634	4186	88147	1310976	-0.1	1.02	-192.83	-0.03	-1.01	-0.03	2.35	0.85
5	-0.49	634	634	4206	88147	1311040	-0.1	1	-192.44	-0.02	-1.01	-0.04	2.26	0.24
6	-0.49	634	634	4227	88149	1311104	-0.29	0.97	-192.07	-0.03	-1.01	-0.07	2.74	1.46
7	-0.52	635	634	4247	88145	1311168	0.1	0.98	-191.8	-0.05	-1.01	-0.08	3.23	1.52
8	-0.34	634	634	4268	88144	1311232	0.19	0.99	-191.53	-0.02	-1.01	-0.02	3.08	0.27
9	-0.52	635	634	4288	88150	1311296	-0.39	0.95	-191.24	-0.03	-1.01	-0.03	2.77	1.01
10	-0.43	634	634	4308	88147	1311360	-0.1	0.94	-191.01	-0.02	-1.01	-0.04	2.93	2.16
11	-0.18	634	634	4329	88145	1311424	0.1	0.94	-190.77	-0.04	-1.01	-0.02	2.44	-0.12
12	-0.49	635	634	4349	88144	1311488	0.19	0.96	-190.52	-0.04	-1.01	-0.02	2.23	-1.49
13	-0.3	634	634	4370	88147	1311552	-0.1	0.94	-190.38	-0.01	-1.01	-0.04	2.01	1.07
14	-0.21	634	634	4390	88149	1311616	-0.29	0.91	-190.1	-0.03	-1.01	-0.04	1.83	1.4
15	-0.37	635	634	4411	88153	1311680	-0.68	0.86	-190.06	-0.02	-1.01	-0.06	2.01	0.64
16	-0.73	634	634	4431	88154	1311744	-0.77	0.8	-189.85	-0.04	-1.01	-0.06	2.13	2.35
17	-0.67	634	634	4452	88147	1311808	-0.1	0.81	-189.75	-0.03	-1.01	-0.03	2.5	1.55
18	-0.43	634	634	4472	88147	1311872	-0.1	0.81	-189.64	-0.03	-1.01	-0.05	2.74	1.65
19	-0.43	634	634	4493	88150	1311936	-0.39	0.79	-189.46	-0.02	-1.01	-0.05	2.74	2.29
20	-0.46	634	634	4513	88153	1312000	-0.68	0.75	-189.34	-0.02	-1.01	-0.05	2.74	1.59
