key	value	source
altimeter.board	Unknown Altimeter	derived
altimeter.source_folder	root-oct-v1-trd-10-22-output-FCB-post	derived
data.has_parsed_timeseries	true	derived
data.row_count	4449	derived
data.source_file	oct-v1-trd-10-22-output-FCB-post.csv	derived
data.synthetic_time_added	false	derived
data.time_column	timestamp_ms	derived
flight.date	2022-10-15	derived
flight.name	TRD	derived
