,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_pres_avg,baro_temp_avg
10,2716,0,-1028,-91,-960,9,-11,34,-300,-500,479,-1010,-95,-897,94,130,-432,-642,-463,793,48,160,-16,29.06,0.9877818899580556,32.29,0.9982334073525784,0.0,0.0,0.0,3.961450099945069,0,0.0,0.0,0.0,0.0,-0.5407556726144409,0.0,0.0,-0.5376916819635778,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3794648984,-0.6532405698,-6.891329088,-7.250252478,-0.681954441,-6.4390856166,0.002748893562,-0.003359758798,0.010384709011999999,0.028710666091999997,0.03970624034,-0.131946890976,-0.174,-0.29,0.27782,-0.37236,-0.26854,0.45994,-7.3148586882,-0.6675975054000001,-6.6652073522999995,0.015729779827,0.018173240771,-0.06078109098199999,-0.27318,-0.27927,0.36888,1.41216,4.7072,-0.47072,0.993007648655317,30.674999999999997
11,2732,0,-1027,-89,-961,6,-11,38,-300,-500,479,-1007,-94,-893,89,124,-430,-642,-463,793,112,304,0,29.06,0.9876338514680484,32.31,0.9984307920059216,0.0,0.0,0.0,3.9586806297302246,0,0.0,0.0,0.0,0.0,-0.5775809578477865,0.0,0.0,-0.5688026835167092,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3722864306,-0.6388836342,-6.8985075558,-7.2287170746000005,-0.6747759732,-6.4103717454,0.001832595708,-0.003359758798,0.011606439484,0.027183503002,0.037873644632,-0.13133602574,-0.174,-0.29,0.27782,-0.37236,-0.26854,0.45994,-7.300501752600001,-0.6568298037,-6.6544396506000005,0.014508049355,0.017256942917,-0.059864793128,-0.27318,-0.27927,0.36888,3.29504,8.94368,0.0,0.993032321736985,30.685000000000002
12,2747,0,-1025,-92,-960,8,-45,37,-300,-500,479,-1009,-90,-892,93,101,-446,-642,-463,793,128,224,-48,29.06,0.9879003207500616,32.31,0.9983123612139156,0.0,0.0,0.0,3.970312356948853,0,0.0,0.0,0.0,0.0,-0.6350091385046899,0.0,0.0,-0.6216960305351759,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3579294950000005,-0.6604190376,-6.891329088,-7.2430740102,-0.646062102,-6.403193277600001,0.002443460944,-0.01374446781,0.011301006866,0.028405233473999997,0.030848694418,-0.136222947628,-0.174,-0.29,0.27782,-0.37236,-0.26854,0.45994,-7.300501752600001,-0.6532405698,-6.6472611828,0.015424347209,0.008552113303999999,-0.062460970381,-0.27318,-0.27927,0.36888,3.76576,6.59008,-1.41216,0.9931063409819887,30.685000000000002
13,2763,0,-1024,-87,-959,15,-62,30,-300,-500,479,-1003,-94,-895,94,97,-433,-642,-463,793,80,304,-80,29.08,0.9879496669133976,32.31,0.9984307920059216,0.0,0.0,0.0,3.957018852233887,0,0.0,0.0,0.0,0.0,-0.7155058105183839,0.0,0.0,-0.698685433324231,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3507510272,-0.6245266986,-6.884150620200001,-7.2000032034000006,-0.6747759732,-6.424728681,0.00458148927,-0.018936822316,0.00916297854,0.028710666091999997,0.029626963946,-0.132252323594,-0.174,-0.29,0.27782,-0.37236,-0.26854,0.45994,-7.2753771153,-0.6496513359,-6.6544396506000005,0.016646077680999998,0.005345070815,-0.061544672526999994,-0.27318,-0.27927,0.36888,2.3536,8.94368,-2.3536,0.9931902294596595,30.695
14,2778,0,-1032,-91,-964,11,-77,34,-300,-500,479,-1006,-91,-892,86,81,-422,-642,-463,793,192,288,-64,29.08,0.9878805822847274,32.31,0.9983913150752528,0.0,0.0,0.0,3.9725279808044434,0,0.0,0.0,0.0,0.0,-0.7786788787546344,0.0,0.0,-0.7556857984078742,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.4081787696,-0.6532405698,-6.9200429592,-7.2215386068,-0.6532405698,-6.403193277600001,0.003359758798,-0.023518311586,0.010384709011999999,0.026267205148,0.024740042057999997,-0.128892564796,-0.174,-0.29,0.27782,-0.37236,-0.26854,0.45994,-7.3148586882,-0.6532405698,-6.6616181184,0.014813481973,0.0006108652359999994,-0.059253927892,-0.27318,-0.27927,0.36888,5.64864,8.47296,-1.88288,0.9931359486799901,30.695
15,2793,0,-1027,-85,-966,12,-87,39,-300,-500,479,-1005,-98,-897,92,64,-444,-642,-463,793,64,272,-32,29.08,0.98773254379472,32.32,0.9986084381939304,0.0,0.0,0.0,3.95757269859314,0,0.0,0.0,0.0,0.0,-0.850514316732604,0.0,0.0,-0.8211317713448054,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3722864306,-0.610169763,-6.9343998948,-7.214360139,-0.7034898444000001,-6.4390856166,0.003665191416,-0.026572637766,0.011911872102,0.028099800855999998,0.019547687552,-0.13561208239199998,-0.174,-0.29,0.27782,-0.37236,-0.26854,0.45994,-7.2933232848,-0.6568298037,-6.6867427557,0.015882496136,-0.003512475107,-0.061850105144999994,-0.27318,-0.27927,0.36888,1.88288,8.00224,-0.94144,0.9931704909943252,30.7
16,2809,0,-1024,-89,-967,7,-71,43,-300,-500,479,-1006,-95,-900,103,95,-434,-642,-463,793,128,288,-48,29.09,0.9879003207500616,32.31,0.9984209227732544,0.0,0.0,0.0,3.970312356948853,0,0.0,0.0,0.0,0.0,-0.9179966256291568,0.0,0.0,-0.8808068099472485,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3507510272,-0.6388836342,-6.9415783626000005,-7.2215386068,-0.681954441,-6.4606210200000005,0.0021380283259999997,-0.021685715878,0.013133602574,0.031459559654,0.029016098709999997,-0.132557756212,-0.174,-0.29,0.27782,-0.37236,-0.26854,0.45994,-7.286144817,-0.6604190376000001,-6.7010996913000005,0.016798793989999998,0.0036651914159999983,-0.059712076819,-0.27318,-0.27927,0.36888,3.76576,8.47296,-1.41216,0.993160621761658,30.700000000000003
17,2824,0,-1030,-94,-963,16,-54,44,-300,-500,479,-1006,-99,-895,94,119,-422,-642,-463,793,80,256,-96,29.08,0.98773254379472,32.32,0.9983913150752528,0.0,0.0,0.0,3.970312356948853,0,0.0,0.0,0.0,0.0,-0.9555034699460668,0.0,0.0,-0.9070876210210664,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.393821834000001,-0.6747759732,-6.912864491400001,-7.2215386068,-0.7106683122,-6.424728681,0.004886921888,-0.016493361372,0.013439035192,0.028710666091999997,0.036346481542,-0.128892564796,-0.174,-0.29,0.27782,-0.37236,-0.26854,0.45994,-7.3076802204,-0.6927221427000001,-6.668796586200001,0.016798793989999998,0.009926560085000001,-0.057726764802,-0.27318,-0.27927,0.36888,2.3536,7.53152,-2.82432,0.9930619294349864,30.7
18,2840,0,-1022,-85,-971,8,-26,37,-300,-500,479,-1012,-93,-897,98,126,-432,-642,-463,793,112,256,-48,29.08,0.9878411053540588,32.32,0.9985097458672588,0.0,0.0,0.0,3.9561879634857178,0,0.0,0.0,0.0,0.0,-1.0249350139394011,0.0,0.0,-0.9674765028702002,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3363940916,-0.610169763,-6.9702922338,-7.264609413600001,-0.6675975054000001,-6.4390856166,0.002443460944,-0.007941248068,0.011301006866,0.029932396564,0.038484509868,-0.131946890976,-0.174,-0.29,0.27782,-0.37236,-0.26854,0.45994,-7.300501752600001,-0.6388836342,-6.7046889252,0.016187928754,0.0152716309,-0.060322942054999995,-0.27318,-0.27927,0.36888,3.29504,7.53152,-1.41216,0.9931754256106589,30.7
19,2855,0,-1022,-88,-965,17,-13,33,-300,-500,479,-1009,-96,-897,91,144,-430,-642,-463,793,32,272,-96,29.1,0.987979274611399,32.32,0.9985590920305948,0.0,0.0,0.0,3.9595112800598153,0,0.0,0.0,0.0,0.0,-1.1199862547089787,0.0,0.0,-1.054599579893707,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3363940916,-0.6317051664000001,-6.927221427,-7.2430740102,-0.6891329088,-6.4390856166,0.005192354505999999,-0.003970624034,0.010079276394,0.027794368237999998,0.043982296992,-0.13133602574,-0.174,-0.29,0.27782,-0.37236,-0.26854,0.45994,-7.2897340509,-0.6604190376000001,-6.6831535217999996,0.016493361372,0.020005836479,-0.060628374673,-0.27318,-0.27927,0.36888,0.94144,8.00224,-2.82432,0.9932691833209969,30.71
