key,value
altimeter_name,SillyGoose
flight_location,CRMRC
flight_date,2025-11-15
flight_name,Crocket
altimeter_note,Backup Backup
importer_id,sillygoose
imported_at,2026-05-28T18:14:44.380Z
BOARD_NAME,SillyGooseV1
row_count,15934
peak_altitude_m,1916.39
peak_velocity_ms,268.46
peak_acceleration_mss,142.80
has_gps_data,false
parser_cache_version,4
source_fingerprint,2025-11-15 V1 Crocket backup.txt:2223966:1779845853519
