key	value	source
altimeter.board	EZMini	derived
altimeter.source_folder	root-beanboozler easymini 8069	derived
data.has_parsed_timeseries	true	derived
data.row_count	1971	derived
data.source_file	beanboozler easymini 8069.csv	derived
data.synthetic_time_added	false	derived
data.time_column	time	derived
flight.date	2022-04-23	derived
flight.name	Beanboozler	derived
