key,value
altimeter_name,EasyMini
flight_location,CRMRC
flight_date,2025-11-15
flight_name,Crocket
altimeter_note,Primary?
importer_id,easymini
imported_at,2026-05-28T18:15:08.106Z
version,6
serial,9895
flight,5
source_format,AltOS CSV
