key,value
altimeter_name,EasyMini
altimeter_note,Primary
importer_id,easymini
imported_at,2026-05-28T17:37:39.344Z
version,6
serial,14087
flight,1
source_format,AltOS CSV
row_count,2197
peak_altitude_m,761.58
peak_velocity_ms,125.67
peak_acceleration_mss,78.73
has_gps_data,false
parser_cache_version,5
source_fingerprint,EthicalMissile-EasyMini-primary.csv:230830:1780328415793
