,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,baro_pres_avg,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_temp_avg
76775,6739886,0,-67,1329,-96,37,-80,96,-342,-330,-1021,-64,1334,-53,100,97,129,-845,-176,-92,-224,0,32752,54.95,0.9781100419442388,56.08,0.989824821120158,4449.5048828125,-7309.85791015625,37.900001525878906,7.819995403289795,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839674315321985,44.82508138020833,-73.16429850260417,-0.4809573426,9.5401837062,-0.6891329088,-0.4594219392,9.5760760452,-0.3804587934,0.0452038837375,-0.09773812700000001,0.1172857524,0.12217265875000001,0.11850747898750001,0.1576027297875,-0.19836,-0.19140000000000001,-0.59218,-0.4901,-0.10208,-0.05336,-0.47018964090000004,9.5581298757,-0.5347958510999999,0.08368827124375,0.010384675993750002,0.13744424109375,-0.34423,-0.14674,-0.32277,-6.59008,0.0,963.56384,55.515
76776,6739901,0,-64,1330,-97,24,-75,82,-342,-330,-1021,-68,1334,-53,96,101,131,-845,-176,-92,-224,0,32752,54.95,0.9779620034542316,56.08,0.9897162595608192,4449.5048828125,-7309.85791015625,37.900001525878906,7.822764873504639,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9838391315075254,44.82508138020833,-73.16429850260417,-0.4594219392,9.547362174,-0.6963113766,-0.48813581040000004,9.5760760452,-0.3804587934,0.0293214381,-0.09162949406250001,0.100181580175,0.1172857524,0.12339438533750001,0.1600461829625,-0.19836,-0.19140000000000001,-0.59218,-0.4901,-0.10208,-0.05336,-0.4737788748,9.5617191096,-0.538385085,0.07330359524999999,0.0158824456375,0.13011388156875,-0.34423,-0.14674,-0.32277,-6.59008,0.0,963.56384,55.515
76777,6739917,0,-58,1338,-96,35,-90,97,-342,-330,-1021,-67,1335,-56,89,118,137,-861,-179,-88,-208,0,32752,54.97,0.97807056501357,56.09,0.9896965210954848,4449.5048828125,-7309.85791015625,37.900001525878906,7.825534343719482,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9838835430545274,44.82508138020833,-73.16429850260417,-0.4163511324,9.6047899164,-0.6891329088,-0.4809573426,9.583254513,-0.40199419680000004,0.0427604305625,-0.109955392875,0.11850747898750001,0.1087336662875,0.144163737325,0.1673765424875,-0.19836,-0.19140000000000001,-0.59218,-0.49938,-0.10382,-0.05104,-0.4486542375,9.5940222147,-0.5455635528,0.075747048425,0.017104172225000006,0.1429420107375,-0.34887,-0.14761000000000002,-0.32161,-6.11936,0.0,963.56384,55.53
76778,6739932,0,-66,1330,-98,40,-76,97,-342,-330,-1021,-73,1331,-46,104,98,129,-861,-179,-88,-256,0,32752,54.95,0.9781396496422404,56.09,0.989647174932149,4449.5048828125,-7309.85791015625,37.900001525878906,7.821103096008301,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9838934122871947,44.82508138020833,-73.16429850260417,-0.4737788748,9.547362174,-0.7034898444000001,-0.5240281494,9.554540641800001,-0.3302095188,0.048869063500000004,-0.09285122065000001,0.11850747898750001,0.1270595651,0.11972920557500001,0.1576027297875,-0.19836,-0.19140000000000001,-0.59218,-0.49938,-0.10382,-0.05104,-0.4989035121,9.550951407900001,-0.5168496816,0.0879643143,0.0134389924625,0.13805510438750002,-0.34887,-0.14761000000000002,-0.32161,-7.53152,0.0,963.56384,55.52
76779,6739947,0,-65,1331,-97,27,-70,89,-346,-330,-985,-76,1330,-54,96,111,134,-861,-179,-88,-288,0,32752,54.96,0.9781396496422404,56.08,0.989765605724155,4449.5048828125,-7309.85791015625,37.900001525878906,7.821656703948975,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839526276831977,44.82508138020833,-73.16429850260417,-0.466600407,9.554540641800001,-0.6963113766,-0.5455635528,9.547362174,-0.3876372612,0.032986617862500005,-0.085520861125,0.1087336662875,0.1172857524,0.13561165121250002,0.163711362725,-0.20068,-0.19140000000000001,-0.5713,-0.49938,-0.10382,-0.05104,-0.5060819799,9.550951407900001,-0.5419743189,0.07513618513125,0.02504539504375001,0.13622251450625,-0.35003,-0.14761000000000002,-0.31117,-8.47296,0.0,963.56384,55.519999999999996
76780,6739963,0,-68,1324,-98,32,-72,99,-346,-330,-985,-72,1330,-51,107,104,134,-861,-179,-88,-192,0,32752,54.96,0.9782087342709104,56.08,0.9897162595608192,4449.5048828125,-7309.85791015625,37.900001525878906,7.82498025894165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839624969158648,44.82508138020833,-73.16429850260417,-0.48813581040000004,9.5042913672,-0.7034898444000001,-0.5168496816,9.547362174,-0.36610185780000004,0.0390952508,-0.0879643143,0.12095093216250001,0.13072474486250002,0.1270595651,0.163711362725,-0.20068,-0.19140000000000001,-0.5713,-0.49938,-0.10382,-0.05104,-0.502492746,9.5258267706,-0.5347958511,0.08490999783125001,0.019547625399999997,0.14233114744375,-0.35003,-0.14761000000000002,-0.31117,-5.64864,0.0,963.56384,55.519999999999996
76781,6739978,0,-69,1334,-99,21,-69,100,-346,-330,-985,-73,1336,-53,96,106,136,-861,-179,-88,-240,0,32752,54.94,0.9781001727115716,56.09,0.9897359980261534,4449.5048828125,-7309.85791015625,37.900001525878906,7.819995403289795,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839180853688625,44.82508138020833,-73.16429850260417,-0.4953142782,9.5760760452,-0.7106683122,-0.5240281494,9.590432980800001,-0.3804587934,0.0256562583375,-0.0842991345375,0.12217265875000001,0.1172857524,0.129503018275,0.1661548159,-0.20068,-0.19140000000000001,-0.5713,-0.49938,-0.10382,-0.05104,-0.5096712138,9.583254513,-0.5455635528,0.07147100536875,0.022601941868749996,0.144163737325,-0.35003,-0.14761000000000002,-0.31117,-7.0608,0.0,963.56384,55.515
76782,6739993,0,-67,1324,-88,34,-68,94,-346,-330,-985,-71,1330,-51,96,104,127,-861,-179,-88,-192,0,32752,54.96,0.9780409573155688,56.09,0.9897359980261534,4449.5048828125,-7309.85791015625,37.900001525878906,7.82719612121582,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9838884776708612,44.82508138020833,-73.16429850260417,-0.4809573426,9.5042913672,-0.6317051664000001,-0.5096712138,9.547362174,-0.36610185780000004,0.041538703975,-0.08307740795,0.114842299225,0.1172857524,0.1270595651,0.1551592766125,-0.20068,-0.19140000000000001,-0.5713,-0.49938,-0.10382,-0.05104,-0.4953142782,9.5258267706,-0.49890351210000006,0.0794122281875,0.021991078574999996,0.13500078791875,-0.35003,-0.14761000000000002,-0.31117,-5.64864,0.0,963.56384,55.525000000000006
76783,6740009,0,-68,1329,-101,30,-59,99,-346,-330,-985,-72,1333,-52,98,108,130,-861,-179,-88,-288,0,32752,54.96,0.9779817419195658,56.09,0.9899037749814952,4449.5048828125,-7309.85791015625,37.900001525878906,7.825534343719482,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839427584505305,44.82508138020833,-73.16429850260417,-0.48813581040000004,9.5401837062,-0.7250252478,-0.5168496816,9.5688975774,-0.3732803256,0.036651797625,-0.0720818686625,0.12095093216250001,0.11972920557500001,0.13194647145000002,0.158824456375,-0.20068,-0.19140000000000001,-0.5713,-0.49938,-0.10382,-0.05104,-0.502492746,9.5545406418,-0.5491527867,0.0781905016,0.029932301393750006,0.13988769426875,-0.35003,-0.14761000000000002,-0.31117,-8.47296,0.0,963.56384,55.525000000000006
76784,6740024,0,-70,1331,-100,27,-65,103,-346,-330,-985,-73,1333,-50,113,101,140,-861,-179,-88,-240,0,32752,54.96,0.977744880335554,56.09,0.9898050826548236,4449.5048828125,-7309.85791015625,37.900001525878906,7.820549011230469,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9837749814951888,44.82508138020833,-73.16429850260417,-0.502492746,9.554540641800001,-0.71784678,-0.5240281494,9.5688975774,-0.35892339,0.032986617862500005,-0.0794122281875,0.1258378385125,0.13805510438750002,0.12339438533750001,0.17104172225,-0.20068,-0.19140000000000001,-0.5713,-0.49938,-0.10382,-0.05104,-0.5132604477,9.5617191096,-0.538385085,0.08552086112500001,0.021991078575000003,0.14843978038125,-0.35003,-0.14761000000000002,-0.31117,-7.0608,0.0,963.56384,55.525000000000006
