key,value
altimeter_name,SillyGoose
flight_location,CRMRC
flight_date,2026-02-22
flight_name,RocketWorks
altimeter_note,Backup
importer_id,sillygoose
imported_at,2026-05-28T17:33:46.663Z
BOARD_NAME,SillyGooseV1
