timestampMs,pressurePa,tempK,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,imuTemp,battV,altitudeM,velocityMS,accelerationMSS,unfiltAlt,flightState,drogueCont,drogueFired,mainCont,mainFired,tiltMagnitudeDeg,angularVelRadS_x,angularVelRadS_y,angularVelRadS_z,quaternion_a,quaternion_b,quaternion_c,quaternion_d
170116,101713.437500,280.73,9.859322,-0.301669,0.349553,-0.040440,0.020220,0.028734,286.05,4.05,2.10,0.21,0.04,-31.276901,0,1,0,1,0,,,,,,,,
175116,101725.140625,280.78,9.854534,-0.301669,0.316034,-0.044697,0.023412,0.026605,286.15,4.03,-0.65,-0.34,0.04,-32.400512,0,1,0,1,0,,,,,,,,
180116,101717.968750,280.83,9.844957,-0.306457,0.320823,-0.047890,0.018091,0.029798,286.30,4.06,-0.27,-0.01,0.05,-31.820693,0,1,0,1,0,,,,,,,,
185116,101725.765625,280.87,9.844957,-0.320823,0.320823,-0.044697,0.021284,0.026605,286.54,4.03,-0.37,-0.15,0.05,-32.451038,0,1,0,1,0,,,,,,,,
190116,101718.609375,280.92,9.844957,-0.354341,0.363918,-0.039376,0.019156,0.027669,286.49,4.06,-0.39,-0.18,0.05,-31.872486,0,1,0,1,0,,,,,,,,
195116,101711.421875,280.97,9.859322,-0.191536,0.392649,-0.048954,0.018091,0.024477,286.54,4.03,0.10,0.20,0.05,-31.291376,0,1,0,1,0,,,,,,,,
200116,101738.109375,281.00,9.821015,-0.205901,0.114921,-0.032990,0.021284,0.028734,286.35,4.06,-0.52,-0.53,0.05,-33.448898,0,1,0,1,0,,,,,,,,
205116,101712.031250,281.05,9.868899,-0.603338,0.536301,-0.038312,0.015963,0.027669,286.69,4.06,-0.10,-0.10,0.05,-31.340644,0,1,0,1,0,,,,,,,,
210116,101704.859375,281.10,9.868899,-0.253785,0.320823,-0.046825,0.019156,0.027669,286.49,4.03,0.81,0.77,0.05,-30.760766,0,1,0,1,0,,,,,,,,
215116,101712.656250,281.13,9.849745,-0.292092,0.354341,-0.043633,0.019156,0.028734,286.59,4.06,0.38,0.20,0.05,-31.391178,0,1,0,1,0,,,,,,,,
220116,101720.437500,281.17,9.859322,-0.316034,0.325611,-0.046825,0.021284,0.026605,286.54,4.03,0.23,0.01,0.05,-32.020286,0,1,0,1,0,,,,,,,,
225116,101713.250000,281.22,9.854534,-0.306457,0.330399,-0.044697,0.018091,0.026605,286.88,4.05,0.01,-0.20,0.05,-31.439184,0,1,0,1,0,,,,,,,,
230116,101721.062500,281.25,9.844957,-0.277727,0.301669,-0.046825,0.019156,0.027669,286.49,4.03,0.33,0.12,0.05,-32.070816,0,1,0,1,0,,,,,,,,
235116,101709.968750,281.28,9.854534,-0.325611,0.359130,-0.046825,0.020220,0.026605,286.74,4.06,0.57,0.26,0.05,-31.173885,0,1,0,1,0,,,,,,,,
240116,101721.640625,281.33,9.864110,-0.311246,0.354341,-0.050018,0.019156,0.028734,286.88,4.06,0.21,-0.10,0.05,-32.117553,0,1,0,1,0,,,,,,,,
245116,101710.546875,281.37,9.854534,-0.306457,0.339976,-0.047890,0.021284,0.026605,286.88,4.03,0.66,0.26,0.05,-31.220628,0,1,0,1,0,,,,,,,,
