,packetType,timestamp_s,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,gps_fix_quality,gps_sats_tracked,gps_hdop,battery_voltage,pyro_cont,pyro_status,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_x,q_y,q_z,q_w,state,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_pres_avg,baro_temp_avg
61778,0,6602184,30,-1378,-67,-20,18,50,-1816,2465,1708,61,-1372,-16,75,112,15,-169,1634,2234,384,80,400,19.14,1.00490500863558,24.95,1.00416481618554,4449.484375,-7309.8349609375,34.7999992370605,2,12,0.569999992847443,7.92108154296875,3,0,0,0,0,0,0.111876332039738,0,0,0.058992979669769,-0.2979064137,-0.3266202849,9.870393225,-0.653138101100922,-0.295986264944077,-0.624685943126678,0.309144616127014,6,44.82473958333333,-73.163916015625,0.215354034,-9.8919286284,-0.4809573426,0.43788653580000003,-9.848857821600001,-0.1148554848,-0.0061086523599999994,0.005497787124,0.0152716309,0.02290744635,0.034208453215999995,0.00458148927,-1.05328,1.4297,0.99064,-0.09802,0.94772,1.29572,0.3266202849,-9.870393225,-0.2979064137,0.008399396994999999,0.01985312017,0.009926560085,-0.57565,1.18871,1.14318,11.29728,2.3536,11.768,1.00453491241056,22.045
61779,0,6602290,36,-1381,-62,-23,28,40,-1816,2465,1708,67,-1367,-4,70,114,19,-169,1634,2234,336,-80,224,19.13,1.00486553170491,24.96,1.00401677769553,4449.484375,-7309.8349609375,34.7999992370605,2,12,0.569999992847443,7.9169921875,3,0,0,0,0,0,0.0942854773056445,0,0,0.0423184090755583,-0.2368894374,-0.3696910917,9.8632147572,-0.653143703937531,-0.295904725790024,-0.624723434448242,0.309134840965271,6,44.82473958333333,-73.163916015625,0.2584248408,-9.9134640318,-0.4450650036,0.4809573426,-9.812965482600001,-0.0287138712,-0.0070249502139999994,0.008552113303999999,0.012217304719999999,0.021380283259999997,0.034819318451999995,0.005803219742,-1.05328,1.4297,0.99064,-0.09802,0.94772,1.29572,0.36969109170000003,-9.863214757200002,-0.2368894374,0.007177666522999998,0.021685715877999997,0.009010262230999998,-0.57565,1.18871,1.14318,9.88512,-2.3536,6.59008,1.00444115470022,22.045
61780,0,6602395,32,-1377,-55,-13,21,51,-1825,2452,1687,56,-1374,-8,65,114,17,-195,1611,2244,304,80,256,19.14,1.00488527017024,24.96,1.00391808536886,4449.484375,-7309.8349609375,34.7999992370605,2,12,0.569999992847443,7.9169921875,3,0,0,0,0,0,0.0799526998634993,0,0,0.0294314007015002,-0.2261217357,-0.3158525832,9.8739824589,-0.65317577123642,-0.295860916376114,-0.624726951122284,0.309102058410645,6,44.82473958333333,-73.163916015625,0.2297109696,-9.884750160600001,-0.394815729,0.40199419680000004,-9.8632147572,-0.0574277424,-0.003970624034,0.006414084978,0.015577063518,0.01985312017,0.034819318451999995,0.005192354505999999,-1.0585,1.42216,0.97846,-0.1131,0.93438,1.30152,0.31585258320000004,-9.8739824589,-0.2261217357,0.007941248068,0.020616701714999998,0.010384709011999999,-0.5858,1.17827,1.13999,8.94368,2.3536,7.53152,1.00440167776955,22.05
61781,0,6602501,33,-1384,-63,-13,28,48,-1825,2452,1687,69,-1370,-11,79,105,15,-195,1611,2244,384,96,304,19.14,1.00488527017024,24.95,1.00395756229953,4449.484375,-7309.8349609375,34.7999992370605,2,12,0.569999992847443,7.9415283203125,3,0,0,0,0,0,0.100741108741584,0,0,0.0544972854991038,-0.2656033086,-0.3661018578,9.8847501606,-0.653211057186127,-0.295877367258072,-0.624703645706177,0.30905881524086,6,44.82473958333333,-73.163916015625,0.2368894374,-9.9349994352,-0.45224347140000004,0.4953142782,-9.834500886,-0.07896314580000001,-0.003970624034,0.008552113303999999,0.014660765664,0.024129176821999998,0.03207042489,0.00458148927,-1.0585,1.42216,0.97846,-0.1131,0.93438,1.30152,0.36610185780000004,-9.8847501606,-0.26560330860000003,0.010079276394,0.020311269096999998,0.009621127467,-0.5858,1.17827,1.13999,11.29728,2.82432,8.94368,1.004421416234885,22.045
61782,0,6602606,26,-1384,-60,-6,23,50,-1824,2462,1686,60,-1372,-16,73,100,12,-178,1602,2227,336,32,176,19.14,1.00500370096225,24.96,1.00391808536886,4449.484375,-7309.8349609375,34.7999992370605,2,12,0.569999992847443,7.93028259277344,3,0,0,0,0,0,0.0687203619965099,0,0,0.0219415304332473,-0.2727817764,-0.3086741154,9.8919286284,-0.653240561485291,-0.295912265777588,-0.6246417760849,0.309088170528412,6,44.82473958333333,-73.163916015625,0.1866401628,-9.9349994352,-0.430708068,0.430708068,-9.848857821600001,-0.1148554848,-0.001832595708,0.0070249502139999994,0.0152716309,0.022296581114,0.0305432618,0.003665191416,-1.05792,1.4279600000000001,0.97788,-0.10324,0.92916,1.29166,0.3086741154,-9.8919286284,-0.2727817764,0.010231992703,0.018784106007,0.009468411158,-0.58058,1.17856,1.13477,9.88512,0.94144,5.17792,1.004460893165555,22.05
61783,0,6602711,34,-1382,-67,-15,34,43,-1824,2462,1686,58,-1366,-8,82,107,16,-178,1602,2227,272,-32,160,19.14,1.00496422403158,24.96,1.0039674315322,4449.484375,-7309.8349609375,34.7999992370605,2,12,0.569999992847443,7.92363739013672,3,0,0,0,0,0,0.105982781709468,0,0,0.065107434909448,-0.2691925425,-0.3302095188,9.8632147572,-0.654754042625427,-0.290856808423996,-0.62841784954071,0.302969574928284,6,44.82473958333333,-73.163916015625,0.24406790520000002,-9.9206424996,-0.4809573426,0.4163511324,-9.8057870148,-0.0574277424,-0.00458148927,0.010384709011999999,0.013133602574,0.025045474675999997,0.032681290126,0.004886921888,-1.05792,1.4279600000000001,0.97788,-0.10324,0.92916,1.29166,0.3302095188,-9.8632147572,-0.2691925425,0.010231992702999999,0.021532999568999997,0.009010262231,-0.58058,1.17856,1.13477,8.00224,-0.94144,4.7072,1.0044658277818899,22.05
61784,0,6602817,32,-1377,-59,-8,24,47,-1849,2467,1727,58,-1372,-10,74,110,15,-208,1579,2209,416,80,224,19.14,1.00496422403158,24.96,1.0039674315322,4449.484375,-7309.8349609375,34.7999992370605,2,12,0.569999992847443,7.9088134765625,3,0,0,0,0,0,0.12557744656157,0,0,0.0826250622815651,-0.2476571391,-0.323031051,9.8668039911,-0.654740750789642,-0.29085236787796,-0.628446280956268,0.302943676710129,6,44.82473958333333,-73.163916015625,0.2297109696,-9.884750160600001,-0.4235296002,0.4163511324,-9.848857821600001,-0.071784678,-0.002443460944,0.007330382832,0.014355333045999999,0.022602013732,0.033597587979999996,0.00458148927,-1.07242,1.43086,1.00166,-0.12064,0.91582,1.28122,0.323031051,-9.866803991100001,-0.2476571391,0.010079276394,0.020463985405999998,0.009468411158,-0.59653,1.17334,1.14144,12.23872,2.3536,6.59008,1.0044658277818899,22.05
61785,0,6602922,29,-1382,-60,-20,28,47,-1849,2467,1727,69,-1372,-3,67,105,21,-208,1579,2209,384,64,240,19.13,1.00508265482359,24.96,1.00401677769553,4449.484375,-7309.8349609375,34.7999992370605,2,12,0.569999992847443,7.91801452636719,3,0,0,0,0,0,0.0470142620432806,0,0,-0.0001683568540142,-0.2261217357,-0.3517449222,9.8847501606,-0.654759466648102,-0.290813773870468,-0.628452301025391,0.302927523851395,6,44.82473958333333,-73.163916015625,0.2081755662,-9.9206424996,-0.430708068,0.4953142782,-9.848857821600001,-0.0215354034,-0.0061086523599999994,0.008552113303999999,0.014355333045999999,0.020463985405999998,0.03207042489,0.006414084978,-1.07242,1.43086,1.00166,-0.12064,0.91582,1.28122,0.3517449222,-9.8847501606,-0.2261217357,0.007177666522999999,0.020311269096999998,0.010384709011999999,-0.59653,1.17334,1.14144,11.29728,1.88288,7.0608,1.00454971625956,22.045
61786,0,6603028,29,-1383,-59,-8,17,54,-1839,2453,1686,60,-1371,-4,72,102,12,-201,1594,2255,384,48,320,19.14,1.00494448556625,24.95,1.00398716999753,4449.484375,-7309.8349609375,34.7999992370605,2,12,0.569999992847443,7.9169921875,3,0,0,0,0,0,0.0397710507013453,0,0,-0.0009889321288179,-0.2261217357,-0.3194418171,9.8847501606,-0.654800832271576,-0.290835827589035,-0.628401517868042,0.302922397851944,6,44.82473958333333,-73.163916015625,0.2081755662,-9.9278209674,-0.4235296002,0.430708068,-9.8416793538,-0.0287138712,-0.002443460944,0.005192354505999999,0.016493361372,0.021991148496,0.031154127036,0.003665191416,-1.06662,1.4227400000000001,0.97788,-0.11658,0.92452,1.3079,0.31944181709999997,-9.8847501606,-0.22612173570000002,0.009773843776,0.018173240771,0.010079276394,-0.5915999999999999,1.1736300000000002,1.14289,11.29728,1.41216,9.4144,1.0044658277818899,22.045
61787,0,6603133,26,-1381,-57,-8,15,48,-1839,2453,1686,59,-1372,-10,67,101,13,-201,1594,2255,400,16,272,19.13,1.00493461633358,24.96,1.00401677769553,4449.484375,-7309.8349609375,34.7999992370605,2,12,0.569999992847443,7.89654541015625,3,0,0,0,0,0,0.0437614899554843,0,0,0.0105259587827333,-0.2404786713,-0.3050848815,9.8811609267,-0.654861330986023,-0.290893882513046,-0.628338277339935,0.302866846323013,6,44.82473958333333,-73.163916015625,0.1866401628,-9.9134640318,-0.4091726646,0.4235296002,-9.848857821600001,-0.071784678,-0.002443460944,0.00458148927,0.014660765664,0.020463985405999998,0.030848694418,0.003970624034,-1.06662,1.4227400000000001,0.97788,-0.11658,0.92452,1.3079,0.3050848815,-9.881160926700002,-0.2404786713,0.009010262230999998,0.017715091844,0.009315694849,-0.5915999999999999,1.1736300000000002,1.14289,11.768,0.47072,8.00224,1.004475697014555,22.045
