,packetType,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,gps_fix_quality,gps_sats_tracked,gps_hdop,battery_voltage,pyro_cont,trigger_status,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_x,q_y,q_z,q_w,state,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_pres_avg,baro_temp_avg
16896,0,1788665,2,1353,-26,-16,502,67,-315,-3238,-2551,-17,1352,-40,27,431,-75,1997,-1277,-957,-240,-16,448,21.4,1.0042635085122131,23.72,1.004806316308907,4449.49365234375,-7309.81103515625,37.79999923706055,2,12,0.550000011920929,11.39703369140625,3,0,0.0,0.0,0.0,0.0,-0.6427364911475438,0.0,0.0,-0.3336596048539568,0.2368894373999999,0.0538385085,9.7088776995,0.1847798377275467,-0.6727225184440613,0.1805031597614288,0.6933393478393555,6,44.824894205729166,-73.16351725260417,0.0143569356,9.7124669334,-0.1866401628,-0.12203395260000001,9.7052884656,-0.287138712,-0.004886921888,0.15332717423599998,0.020463985405999998,0.008246680686,0.13164145835799998,-0.02290744635,-0.1827,-1.87804,-1.4795800000000001,1.15826,-0.74066,-0.55506,-0.05383850850000001,9.7088776995,-0.2368894374,0.0016798793989999997,0.14248431629699998,-0.0012217304720000006,0.48778000000000005,-1.30935,-1.01732,-7.0608,-0.47072,13.18016,1.00453491241056,22.56
16897,0,1788770,0,1352,-28,-24,51,83,-320,-3198,-2502,-25,1356,-53,17,2,-72,1997,-1277,-957,-336,-16,512,21.4,1.0045299777942265,23.72,1.0046188008882309,4449.49365234375,-7309.81103515625,37.79999923706055,2,12,0.550000011920929,11.37249755859375,3,0,0.0,0.0,0.0,0.0,-0.5848750541430066,0.0,0.0,-0.2470920725884284,0.2907279459,0.0897308474999999,9.7196454012,0.1878048479557037,-0.6716108322143555,0.1836312413215637,0.6927827000617981,6,44.824894205729166,-73.16351725260417,0.0,9.7052884656,-0.20099709840000002,-0.179461695,9.7340023368,-0.3804587934,-0.007330382832,0.015577063518,0.025350907293999997,0.005192354505999999,0.000610865236,-0.021991148496,-0.1856,-1.85484,-1.45116,1.15826,-0.74066,-0.55506,-0.0897308475,9.719645401200001,-0.2907279459,-0.0010690141630000003,0.008093964377,0.0016798793989999984,0.48633000000000004,-1.29775,-1.00311,-9.88512,-0.47072,15.06304,1.0045743893412287,22.56
16898,0,1788875,-10,1348,-36,-16,-212,96,-320,-3198,-2502,-33,1354,-51,9,-261,-67,1991,-1272,-966,-192,-80,480,21.41,1.004372070071552,23.72,1.00486553170491,4449.49365234375,-7309.81103515625,37.79999923706055,2,12,0.550000011920929,11.39703369140625,3,0,0.0,0.0,0.0,0.0,-0.5279085884713054,0.0,0.0,-0.1705490733031983,0.3122633493,0.1543370577,9.6981099978,0.1875960528850555,-0.6712936758995056,0.1833304166793823,0.6932262778282166,6,44.824894205729166,-73.16351725260417,-0.071784678,9.6765745944,-0.2584248408,-0.2368894374,9.719645401200001,-0.36610185780000004,-0.004886921888,-0.064751715016,0.029321531328,0.002748893562,-0.079717913298,-0.020463985405999998,-0.1856,-1.85484,-1.45116,1.15478,-0.73776,-0.56028,-0.1543370577,9.6981099978,-0.3122633493,-0.0010690141629999999,-0.072234814157,0.004428772961000001,0.48458999999999997,-1.2963,-1.00572,-5.64864,-2.3536,14.1216,1.004618800888231,22.564999999999998
16899,0,1788981,-13,1354,-46,-1,15,87,-320,-3215,-2528,-44,1355,-57,38,-28,-71,1991,-1272,-966,-304,-64,448,21.4,1.0044115470022206,23.75,1.0050333086602516,4449.49365234375,-7309.81103515625,37.79999923706055,2,12,0.550000011920929,11.35614013671875,3,0,0.0,0.0,0.0,0.0,-0.5335016120280837,0.0,0.0,-0.1662645800862994,0.3696910917,0.2045863322999999,9.7232346351,0.1867905855178833,-0.6712418794631958,0.1823252141475677,0.6937587261199951,6,44.824894205729166,-73.16351725260417,-0.0933200814,9.719645401200001,-0.3302095188,-0.31585258320000004,9.726823869,-0.4091726646,-0.000305432618,0.00458148927,0.026572637766,0.011606439484,-0.008552113303999999,-0.021685715878,-0.1856,-1.8647,-1.46624,1.15478,-0.73776,-0.56028,-0.2045863323,9.7232346351,-0.36969109170000003,0.005650503433,-0.0019853120169999994,0.0024434609439999994,0.48458999999999997,-1.3012299999999999,-1.01326,-8.94368,-1.88288,13.18016,1.004722427831236,22.575
16900,0,1789086,-10,1360,-38,24,-38,66,-320,-3215,-2528,-34,1358,-67,62,-82,-87,1996,-1291,-959,-304,-32,528,21.41,1.004372070071552,23.72,1.004559585492228,4449.49365234375,-7309.81103515625,37.79999923706055,2,12,0.550000011920929,11.39703369140625,3,0,0.0,0.0,0.0,0.0,-0.4333465298681665,0.0,0.0,-0.0500782591143552,0.3768695594999999,0.1579262916,9.755537740199998,0.1862747967243194,-0.6714335083961487,0.1818110644817352,0.6938469409942627,6,44.824894205729166,-73.16351725260417,-0.071784678,9.762716208,-0.2727817764,-0.24406790520000002,9.7483592724,-0.4809573426,0.007330382832,-0.011606439484,0.020158552788,0.018936822316,-0.025045474675999997,-0.026572637766,-0.1856,-1.8647,-1.46624,1.15768,-0.74878,-0.55622,-0.15792629160000002,9.755537740200001,-0.3768695595,0.013133602574,-0.018325957079999997,-0.0032070424890000004,0.48604,-1.30674,-1.01123,-8.94368,-0.94144,15.533760000000001,1.0044658277818899,22.564999999999998
16901,0,1789192,4,1351,-20,64,-356,65,-318,-3199,-2526,-18,1358,-46,84,-421,-85,1996,-1291,-959,-288,-144,544,21.4,1.0044115470022206,23.72,1.0047273624475697,4449.49365234375,-7309.81103515625,37.79999923706055,2,12,0.550000011920929,11.38885498046875,3,0,0.0,0.0,0.0,0.0,-0.3411931449507415,0.0,0.0,0.0444627703073668,0.2368894373999999,0.0502492746,9.7232346351,0.1832974404096603,-0.6725677251815796,0.1790177822113037,0.6942675113677979,6,44.824894205729166,-73.16351725260417,0.0287138712,9.6981099978,-0.143569356,-0.1292124204,9.7483592724,-0.3302095188,0.019547687552,-0.108734012008,0.01985312017,0.025656339912,-0.128587132178,-0.02596177253,-0.18444,-1.85542,-1.46508,1.15768,-0.74878,-0.55622,-0.0502492746,9.723234635099999,-0.2368894374,0.022602013732,-0.11866057209299999,-0.0030543261800000006,0.48662000000000005,-1.3021,-1.01065,-8.47296,-4.23648,16.00448,1.0045694547248951,22.56
16902,0,1789297,4,1353,-22,43,-410,89,-318,-3199,-2526,-22,1356,-34,78,-455,-60,1978,-1278,-955,-336,-80,384,21.4,1.0043128546755489,23.72,1.0049346163335802,4449.49365234375,-7309.81103515625,37.79999923706055,2,12,0.550000011920929,11.35614013671875,3,0,0.0,0.0,0.0,0.0,-0.2843956880698062,0.0,0.0,0.0860537233518228,0.2009970984,0.0646062102,9.7232346351,0.1781710237264633,-0.6742367744445801,0.1737986505031585,0.6953084468841553,6,44.824894205729166,-73.16351725260417,0.0287138712,9.7124669334,-0.15792629160000002,-0.15792629160000002,9.7340023368,-0.24406790520000002,0.013133602574,-0.12522737338,0.027183503002,0.023823744204,-0.13897184119,-0.01832595708,-0.18444,-1.85542,-1.46508,1.14724,-0.74124,-0.5539,-0.06460621020000001,9.723234635099999,-0.20099709840000002,0.018478673389,-0.132099607285,0.004428772960999999,0.48140000000000005,-1.29833,-1.00949,-9.88512,-2.3536,11.29728,1.0046237355045644,22.56
16903,0,1789403,1,1352,-11,62,296,93,-323,-3214,-2539,-18,1357,-23,90,245,-46,1978,-1278,-955,-304,-80,432,21.39,1.004441154700222,23.73,1.0047273624475697,4449.49365234375,-7309.81103515625,37.79999923706055,2,12,0.550000011920929,11.36431884765625,3,0,0.0,0.0,0.0,0.0,-0.2220873517427703,0.0,0.0,0.1294657680400407,0.1220339526,0.0610169763,9.7232346351,0.1111510321497917,-0.6912562251091003,0.1083193495869636,0.7057459354400635,6,44.824894205729166,-73.16351725260417,0.0071784678,9.7052884656,-0.07896314580000001,-0.1292124204,9.7411808046,-0.1651047594,0.018936822316,0.090408054928,0.028405233473999997,0.02748893562,0.07483099140999999,-0.014049900427999999,-0.18734,-1.86412,-1.47262,1.14724,-0.74124,-0.5539,-0.0610169763,9.7232346351,-0.1220339526,0.023212878968,0.082619523169,0.007177666522999999,0.47995,-1.30268,-1.01326,-8.94368,-2.3536,12.70944,1.004584258573896,22.560000000000002
16904,0,1789508,9,1351,-1,48,694,95,-323,-3214,-2539,-18,1351,-20,83,643,-43,1972,-1285,-946,-128,-128,448,21.4,1.0043029854428818,23.73,1.00500370096225,4449.49365234375,-7309.81103515625,37.900001525878906,2,12,0.550000011920929,11.33978271484375,3,0,0.0,0.0,0.0,0.0,-0.2457545671529372,0.0,0.0,0.0817974303714387,0.0753739118999999,0.0323031051,9.6981099978,0.1200888976454734,-0.6904061436653137,0.1163595840334892,0.7038312554359436,6,44.824894205729166,-73.16351725260417,0.0646062102,9.6981099978,-0.0071784678,-0.1292124204,9.6981099978,-0.143569356,0.014660765664,0.21197023689199998,0.029016098709999997,0.025350907293999997,0.196393173374,-0.013133602574,-0.18734,-1.86412,-1.47262,1.14376,-0.7453,-0.5486800000000001,-0.0323031051,9.6981099978,-0.0753739119,0.020005836479,0.204181705133,0.007941248068,0.47821,-1.30471,-1.01065,-3.76576,-3.76576,13.18016,1.0046533432025657,22.564999999999998
16905,0,1789614,3,1354,-34,5,-199,92,-330,-3208,-2498,-38,1356,-44,37,-260,-57,1972,-1285,-946,-208,-96,512,21.39,1.00413520848754,23.72,1.004816185541574,4449.49365234375,-7309.81103515625,37.900001525878906,2,12,0.550000011920929,11.38885498046875,3,0,0.0,0.0,0.0,0.0,-0.2047304018042811,0.0,0.0,0.1079522424255772,0.2799602442,0.1256231864999999,9.726823869,0.1228008791804313,-0.6899805665016174,0.1185830533504486,0.7034094929695129,6,44.824894205729166,-73.16351725260417,0.0215354034,9.719645401200001,-0.24406790520000002,-0.2727817764,9.7340023368,-0.31585258320000004,0.0015271630899999999,-0.060781090982,0.028099800855999998,0.011301006866,-0.07941248068,-0.017409659225999997,-0.19140000000000001,-1.86064,-1.44884,1.14376,-0.7453,-0.5486800000000001,-0.1256231865,9.726823869,-0.27996024420000004,0.006414084978,-0.070096785831,0.005345070815,0.47618000000000005,-1.30297,-0.99876,-6.11936,-2.82432,15.06304,1.004475697014557,22.555
