key	value	source
altimeter.board	SillyGooseV1	derived
altimeter.source_folder	root-2026-02-22 V1 BlueUp backup	derived
data.has_parsed_timeseries	true	derived
data.row_count	8814	derived
data.source_file	2026-02-22 V1 BlueUp backup.txt	derived
data.synthetic_time_added	false	derived
data.time_column	timestampMs	derived
flight.date	2026-02-22	derived
flight.name	BlueUp	derived
