key,value
altimeter_name,EasyMini
flight_location,CRMRC
flight_date,2022-04-23
flight_name,Super Guppy
altimeter_note,
importer_id,easymini
imported_at,2026-05-29T01:44:30.931Z
row_count,1725
peak_altitude_m,354.42
peak_velocity_ms,61.56
peak_acceleration_mss,30.18
motor,unknown
flight_notes,
version,6
serial,6357
flight,11
source_format,AltOS CSV
has_gps_data,false
parser_cache_version,4
source_fingerprint,super guppy easymini 6357.csv:182996:1779998472357
