key	value	source
altimeter.board	SillyGooseV1	derived
altimeter.source_folder	root-nuli_launch_nasa_competition-output-FCB-post	derived
data.has_parsed_timeseries	true	derived
data.row_count	7212	derived
data.source_file	nuli_launch_nasa_competition-output-FCB-post.csv	derived
data.synthetic_time_added	false	derived
data.time_column	timestamp_ms	derived
flight.date	2025-05-04	derived
flight.name	MBTA	derived
