key,value
altimeter_name,EasyMini
altimeter_note,Primary?
importer_id,easymini
imported_at,2026-05-28T17:32:49.097Z
version,6
serial,13371
flight,2
source_format,AltOS CSV
row_count,3497
peak_altitude_m,2430.16
peak_velocity_ms,262.75
peak_acceleration_mss,104.23
has_gps_data,false
parser_cache_version,5
source_fingerprint,v2:gianniL3.csv:367330
