timestampMs pressurePa tempK accelX accelY accelZ gyroX gyroY gyroZ imuTemp battV altitudeM velocityMS accelerationMSS unfiltAlt flightState drogueCont drogueFired mainCont mainFired
746074 100131 -9.047 0.010253907 -1.0 0.04 1.1 -0.03 0.24 0.0 0.0 1.8681 -0.0147 0.0 1.8801 0 0 0 0 0
746094 100134 -9.045 0.025390625 -1.0 0.03 1.04 -0.03 0.12 0.0 0.0 1.6145 -0.036 0.0 1.8354 0 0 0 0 0
746115 100132 -9.053 0.017089843 -1.0 0.02 1.07 0.0 0.24 0.0 0.0 1.7836 -0.0403 0.0 1.8259 0 0 0 0 0
746135 100132 -9.058 0.010742188 -1.0 0.02 1.13 -0.06 0.24 0.0 0.0 1.7836 -0.0434 0.0 1.818 0 0 0 0 0
746156 100131 -9.045 0.019042968 -1.0 0.03 1.07 -0.03 0.12 0.0 0.0 1.8681 -0.0389 0.0 1.8255 0 0 0 0 0
746176 100127 -9.051 0.016601562 -1.0 0.04 1.1 -0.03 0.12 0.0 0.0 2.2063 -0.0088 0.0 1.8884 0 0 0 0 0
746196 100128 -9.045 0.016113281 -1.0 0.01 0.98 0.15 0.15 0.0 0.0 2.1218 0.0099 0.0 1.9273 0 0 0 0 0
746217 100131 -9.047 0.021972656 -1.0 0.03 1.19 -0.06 0.18 0.0 0.0 1.8681 0.0056 0.0 1.9176 0 0 0 0 0
746237 100130 -9.045 0.012695313 -1.0 0.03 1.1 0.06 0.24 0.0 0.0 1.9527 0.0082 0.0 1.9236 0 0 0 0 0
746258 100132 -9.045 0.021972656 -1.0 0.04 0.91 0.0 0.21 0.0 0.0 1.7836 -0.0032 0.0 1.9003 0 0 0 0 0
746278 100132 -9.047 0.008789063 -1.0 0.03 0.82 0.09 0.3 0.0 0.0 1.7836 -0.0134 0.0 1.8807 0 0 0 0 0
746299 100132 -9.056 0.021484375 -1.0 0.03 1.01 0.15 0.24 0.0 0.0 1.7836 -0.0208 0.0 1.8642 0 0 0 0 0
746319 100135 -9.058 0.024902343 -1.0 0.02 1.1 0.15 0.24 0.0 0.0 1.5325 -0.0472 0.0 1.8083 0 0 0 0 0
746340 100130 -9.039 0.013671876 -1.0 0.02 1.04 -0.12 0.21 0.0 0.0 1.9527 -0.0363 0.0 1.8315 0 0 0 0 0
746360 100129 -9.038 0.021972656 -1.0 0.03 1.1 0.21 0.21 0.0 0.0 2.0372 -0.0193 0.0 1.8652 0 0 0 0 0
746381 100134 -9.043 0.016601562 -1.0 0.01 1.01 0.15 0.18 0.0 0.0 1.6145 -0.0384 0.0 1.8228 0 0 0 0 0
746401 100133 -9.045 0.022460937 -1.0 0.03 1.25 0.03 0.27 0.0 0.0 1.699 -0.0486 0.0 1.8013 0 0 0 0 0
746422 100129 -9.049 0.022460937 -1.0 0.03 0.98 0.06 0.21 0.0 0.0 2.0372 -0.0297 0.0 1.8398 0 0 0 0 0
746442 100131 -9.041 0.020507812 -1.0 0.01 1.01 0.21 0.21 0.0 0.0 1.8681 -0.0269 0.0 1.8439 0 0 0 0 0
746463 100134 -9.051 0.010253907 -1.0 0.03 1.07 -0.09 0.24 0.0 0.0 1.6145 -0.0461 0.0 1.805 0 0 0 0 0
746483 100128 -9.06 0.024414062 -1.0 0.03 0.95 0.12 0.3 0.0 0.0 2.1218 -0.0205 0.0 1.857 0 0 0 0 0
746504 100131 -9.043 0.017089843 -1.0 0.03 1.01 0.06 0.18 0.0 0.0 1.8681 -0.0197 0.0 1.8585 0 0 0 0 0
746524 100127 -9.064 0.015136719 -1.0 0.04 0.98 0.03 0.09 0.0 0.0 2.2063 0.0081 0.0 1.9163 0 0 0 0 0
746545 100126 -9.034 0.015136719 -1.0 0.01 1.16 -0.03 0.27 0.0 0.0 2.2882 0.038 0.0 1.9787 0 0 0 0 0
746565 100132 -9.054 0.013671876 -1.0 0.02 0.91 0.18 0.24 0.0 0.0 1.7836 0.0225 0.0 1.9468 0 0 0 0 0
746586 100129 -9.049 0.024414062 -1.0 0.03 1.07 -0.06 0.18 0.0 0.0 2.0372 0.0302 0.0 1.9624 0 0 0 0 0
746606 100131 -9.049 0.01953125 -1.0 0.03 1.04 0.18 0.24 0.0 0.0 1.8681 0.0231 0.0 1.9472 0 0 0 0 0
746627 100130 -9.066 0.009765625 -1.0 0.03 1.1 0.0 0.12 0.0 0.0 1.9527 0.0229 0.0 1.9486 0 0 0 0 0
746647 100129 -9.049 0.021484375 -1.0 0.03 0.88 0.18 0.4 0.0 0.0 2.0372 0.0303 0.0 1.9639 0 0 0 0 0
746668 100129 -9.032 0.015136719 -1.0 0.04 1.22 0.03 0.21 0.0 0.0 2.0372 0.0356 0.0 1.9768 0 0 0 0 0
746688 100132 -9.041 0.020996093 -1.0 0.02 0.98 -0.06 0.27 0.0 0.0 1.7836 0.0208 0.0 1.9452 0 0 0 0 0
746708 100126 -9.041 0.018066406 -1.0 0.03 1.1 0.09 0.27 0.0 0.0 2.2882 0.0481 0.0 2.003 0 0 0 0 0
746729 100128 -9.043 0.020507812 -1.0 0.03 1.07 0.15 0.18 0.0 0.0 2.1218 0.0578 0.0 2.0239 0 0 0 0 0
746749 100132 -9.043 0.021484375 -1.0 0.02 0.95 0.18 0.18 0.0 0.0 1.7836 0.039 0.0 1.9848 0 0 0 0 0
746770 100129 -9.041 0.020019531 -1.0 0.03 1.07 0.12 0.27 0.0 0.0 2.0372 0.0433 0.0 1.9944 0 0 0 0 0
746790 100128 -9.049 0.018066406 -1.0 0.02 1.07 -0.03 0.21 0.0 0.0 2.1218 0.0542 0.0 2.0166 0 0 0 0 0
746811 100131 -9.028 0.017578125 -1.0 0.02 1.1 -0.03 0.18 0.0 0.0 1.8681 0.0421 0.0 1.9929 0 0 0 0 0
746831 100130 -9.049 0.020996093 -1.0 0.04 0.98 0.12 0.09 0.0 0.0 1.9527 0.0386 0.0 1.987 0 0 0 0 0
746852 100130 -9.038 0.01953125 -1.0 0.02 1.13 0.0 0.27 0.0 0.0 1.9527 0.036 0.0 1.9821 0 0 0 0 0
746872 100130 -9.017 0.020019531 -1.0 0.02 1.01 -0.09 0.21 0.0 0.0 1.9527 0.0341 0.0 1.9779 0 0 0 0 0
746893 100127 -9.039 0.014160157 -0.99 0.02 0.95 -0.12 0.12 0.0 0.0 2.2063 0.0513 0.0 2.0168 0 0 0 0 0
746913 100129 -9.034 0.01953125 -1.0 0.02 1.16 0.09 0.34 0.0 0.0 2.0372 0.0526 0.0 2.0213 0 0 0 0 0
746934 100128 -9.03 0.023925781 -1.0 0.02 1.04 0.15 0.18 0.0 0.0 2.1218 0.0614 0.0 2.0392 0 0 0 0 0
746954 100132 -9.022 0.016113281 -1.0 0.03 0.88 0.03 0.27 0.0 0.0 1.7836 0.0408 0.0 1.9977 0 0 0 0 0
746975 100133 -9.03 0.009277344 -1.0 0.03 1.1 0.03 0.21 0.0 0.0 1.699 0.0164 0.0 1.9485 0 0 0 0 0
746995 100129 -9.041 0.020996093 -1.0 0.02 1.01 0.09 0.3 0.0 0.0 2.0372 0.0241 0.0 1.9637 0 0 0 0 0
747016 100129 -9.041 0.018066406 -1.0 0.03 1.01 0.18 0.34 0.0 0.0 2.0372 0.0301 0.0 1.9765 0 0 0 0 0
747036 100134 -9.051 0.009277344 -1.0 0.03 1.16 0.0 0.15 0.0 0.0 1.6145 0.0008 0.0 1.9165 0 0 0 0 0
747057 100131 -9.03 0.019042968 -1.0 0.02 0.95 -0.06 0.18 0.0 0.0 1.8681 -0.0032 0.0 1.9085 0 0 0 0 0
747077 100127 -9.032 0.026367187 -1.0 0.03 1.01 0.18 0.15 0.0 0.0 2.2063 0.0205 0.0 1.9582 0 0 0 0 0
747098 100131 -9.032 0.015625 -1.0 0.01 1.1 0.06 0.15 0.0 0.0 1.8681 0.0141 0.0 1.9436 0 0 0 0 0
747118 100128 -9.03 0.018066406 -1.0 0.03 1.13 0.0 0.12 0.0 0.0 2.1218 0.0284 0.0 1.9737 0 0 0 0 0
747139 100131 -9.03 0.018066406 -1.0 0.04 1.07 0.0 0.24 0.0 0.0 1.8681 0.0193 0.0 1.9566 0 0 0 0 0
747159 100131 -9.028 0.019042968 -1.0 0.03 1.01 0.03 0.12 0.0 0.0 1.8681 0.0127 0.0 1.9422 0 0 0 0 0
747180 100131 -9.034 0.015625 -1.0 0.02 1.07 0.09 0.24 0.0 0.0 1.8681 0.0069 0.0 1.9301 0 0 0 0 0
747200 100136 -9.013 0.021484375 -1.0 0.03 1.16 -0.03 0.09 0.0 0.0 1.448 -0.0319 0.0 1.8495 0 0 0 0 0
747220 100128 -9.024 0.024414062 -1.0 0.03 1.01 -0.06 0.15 0.0 0.0 2.1218 -0.0101 0.0 1.8944 0 0 0 0 0
