	packetType	timestamp_ms	imu1_accel_x	imu1_accel_y	imu1_accel_z	imu1_gyro_x	imu1_gyro_y	imu1_gyro_z	imu1_mag_x	imu1_mag_y	imu1_mag_z	high_g_accel_x	high_g_accel_y	high_g_accel_z	baro1_temp	baro1_pres	baroalt_agl	gps_lat	gps_long	gps_alt	gps_fix_quality	gps_sats_tracked	gps_hdop	battery_voltage_1	battery_voltage_2	pyro_cont	dynamixel_degrees	dynamixel_degrees_1	dynamixel_length	dynamixel_length_1	trigger_status	heading	vtg	pos_x	pos_y	pos_z	vel_x	vel_y	vel_z	acc_x	acc_y	acc_z	q_x	q_y	q_z	q_w	state	gps_lat_mod	gps_long_mod	imu1_accel_x_real	imu1_accel_y_real	imu1_accel_z_real	imu1_gyro_x_real	imu1_gyro_y_real	imu1_gyro_z_real	imu1_mag_x_real	imu1_mag_y_real	imu1_mag_z_real	imu_accel_x_avg	imu_accel_y_avg	imu_accel_z_avg	imu_gyro_x_avg	imu_gyro_y_avg	imu_gyro_z_avg	imu_mag_x_avg	imu_mag_y_avg	imu_mag_z_avg	high_g_accel_x_real	high_g_accel_y_real	high_g_accel_z_real	baro_pres_avg	baro_temp_avg
5635	0	606745	32	-2050	17	13	23	2	-1365	-917	4045	6	5	6	23.93	1.0172908956328646	0.8561366752581542	44.82530975341797	-73.1624755859375	50.09999847412109	1	10	1.100000023841858	11.56804656982422	12.282703399658203	7	443.0	474.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.3006491197618656	0.0	0.0	0.0027562403254474	0.0814028605818748	0.1532289087772369	9.816226959228516	0.2944349944591522	-0.6389424800872803	0.28992360830307	0.6488489508628845	6	0.7470884958902995	-1.2193745930989583	0.2297109696	-14.715858990000001	0.12203395260000001	0.015882496136	0.028099800855999998	0.002443460944	-0.7917	-0.53186	2.3461	0.2297109696	-14.715858990000001	0.12203395260000001	0.015882496136	0.028099800855999998	0.002443460944	-0.7917	-0.53186	2.3461	0.17652	0.1471	0.17652	1.0172908956328646	23.93
5636	0	606850	24	-2051	18	12	21	0	-1374	-907	4069	8	4	6	23.93	1.0173402417962003	0.4484437373648274	44.82530975341797	-73.1624755859375	50.09999847412109	1	10	1.100000023841858	12.058921813964844	12.264656066894531	7	443.0	474.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.3072574134271326	0.0	0.0	0.0084756455952687	0.0861912593245506	0.1149216815829277	9.821015357971191	0.2944484651088714	-0.6389902234077454	0.2899461090564728	0.6487858295440674	6	0.7470884958902995	-1.2193745930989583	0.1722832272	-14.7230374578	0.1292124204	0.014660765664	0.025656339912	0.0	-0.79692	-0.52606	2.36002	0.1722832272	-14.7230374578	0.1292124204	0.014660765664	0.025656339912	0.0	-0.79692	-0.52606	2.36002	0.23536	0.11768	0.17652	1.0173402417962003	23.93
5637	0	606955	26	-2051	18	12	21	1	-1333	-904	4048	6	4	7	23.94	1.0173599802615347	0.2853710457673045	44.82530975341797	-73.1624755859375	50.09999847412109	1	10	1.100000023841858	12.022828102111816	12.257437705993652	7	443.0	474.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.3258866866300264	0.0	0.0	0.0287852469690794	0.0861912593245506	0.1244984865188598	9.821015357971191	0.2944309115409851	-0.6389959454536438	0.2900000214576721	0.64876389503479	6	0.7470884958902995	-1.2193745930989583	0.1866401628	-14.7230374578	0.1292124204	0.014660765664	0.025656339912	0.001221730472	-0.77314	-0.52432	2.34784	0.1866401628	-14.7230374578	0.1292124204	0.014660765664	0.025656339912	0.001221730472	-0.77314	-0.52432	2.34784	0.17652	0.11768	0.20594	1.0173599802615347	23.94
5638	0	607060	29	-2050	19	10	24	0	-1405	-1040	4046	8	3	7	23.93	1.017389587959536	0.0407668119153458	44.82530975341797	-73.1624755859375	50.09999847412109	1	10	1.100000023841858	11.690765380859377	12.289921760559082	7	443.0	474.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.2572085934347695	0.0	0.0	-0.0435768649733107	0.090979665517807	0.1388636976480484	9.816226959228516	0.2944520711898803	-0.6391024589538574	0.289983719587326	0.6486567258834839	6	0.7470884958902995	-1.2193745930989583	0.2081755662	-14.715858990000001	0.1363908882	0.012217304719999999	0.029321531328	0.0	-0.8149	-0.6032	2.34668	0.2081755662	-14.715858990000001	0.1363908882	0.012217304719999999	0.029321531328	0.0	-0.8149	-0.6032	2.34668	0.23536	0.08826	0.20594	1.017389587959536	23.93
5639	0	607165	26	-2050	21	10	21	2	-1335	-939	4032	7	4	6	23.94	1.0173599802615347	0.2853710457673045	44.82530975341797	-73.1624755859375	50.09999847412109	1	10	1.100000023841858	12.026437759399414	12.243000030517578	7	443.0	474.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.2896761800030112	0.0	0.0	-0.006007638551011	0.1005564704537391	0.1244984865188598	9.816226959228516	0.2944493591785431	-0.6391139030456543	0.290012389421463	0.6486338376998901	6	0.7470884958902995	-1.2193745930989583	0.1866401628	-14.715858990000001	0.1507478238	0.012217304719999999	0.025656339912	0.002443460944	-0.7743	-0.54462	2.33856	0.1866401628	-14.715858990000001	0.1507478238	0.012217304719999999	0.025656339912	0.002443460944	-0.7743	-0.54462	2.33856	0.20594	0.11768	0.17652	1.0173599802615347	23.94
5640	0	607270	31	-2051	22	11	21	1	-1344	-795	4045	7	4	6	23.94	1.0173501110288674	0.3669070713235651	44.82530975341797	-73.1624755859375	50.09999847412109	1	10	1.100000023841858	12.01200008392334	12.268265724182127	7	443.0	474.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.1870308555448958	0.0	0.0	-0.1112307722070509	0.1053448766469955	0.1484405100345611	9.821015357971191	0.2944200932979584	-0.6390937566757202	0.2900473177433014	0.6486513614654541	6	0.7470884958902995	-1.2193745930989583	0.2225325018	-14.7230374578	0.15792629160000002	0.013439035192	0.025656339912	0.001221730472	-0.77952	-0.4611	2.3461	0.2225325018	-14.7230374578	0.15792629160000002	0.013439035192	0.025656339912	0.001221730472	-0.77952	-0.4611	2.3461	0.20594	0.11768	0.17652	1.0173501110288674	23.94
5641	0	607375	27	-2047	19	9	24	1	-1331	-756	4003	6	4	6	23.93	1.0173402417962003	0.4484437373648274	44.82530975341797	-73.1624755859375	50.09999847412109	1	10	1.100000023841858	12.113062858581545	12.2357816696167	7	443.0	474.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.2109045585075962	0.0	0.0	-0.0702276287929276	0.090979665517807	0.1292868852615356	9.801861763000488	0.2944227457046509	-0.6391029953956604	0.2901118993759155	0.6486121416091919	6	0.7470884958902995	-1.2193745930989583	0.1938186306	-14.694323586600001	0.1363908882	0.010995574248	0.029321531328	0.001221730472	-0.77198	-0.43848	2.32174	0.1938186306	-14.694323586600001	0.1363908882	0.010995574248	0.029321531328	0.001221730472	-0.77198	-0.43848	2.32174	0.17652	0.11768	0.17652	1.0173402417962003	23.93
5642	0	607480	26	-2044	15	14	23	1	-1364	-898	4073	7	4	6	23.94	1.0173599802615347	0.2853710457673045	44.82530975341797	-73.1624755859375	50.09999847412109	1	10	1.100000023841858	11.95425033569336	12.253828048706056	7	443.0	474.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0935135925295957	0.0	0.0	-0.1854448529576422	0.071826048195362	0.1244984865188598	9.78749656677246	0.2943818867206573	-0.6390569806098938	0.2901585698127746	0.6486551761627197	6	0.7470884958902995	-1.2193745930989583	0.1866401628	-14.6727881832	0.107677017	0.017104226607999998	0.028099800855999998	0.001221730472	-0.79112	-0.52084	2.36234	0.1866401628	-14.6727881832	0.107677017	0.017104226607999998	0.028099800855999998	0.001221730472	-0.79112	-0.52084	2.36234	0.20594	0.11768	0.17652	1.0173599802615347	23.94
5643	0	607585	32	-2056	20	16	23	3	-1335	-849	4080	7	5	5	23.94	1.0174093264248705	-0.1222994750921041	44.82530975341797	-73.1624755859375	50.09999847412109	1	10	1.100000023841858	12.105843544006348	12.228562355041504	7	443.0	474.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0710496820672564	0.0	0.0	-0.1871783025862053	0.0957680642604827	0.1532289087772369	9.84495735168457	0.2943377792835235	-0.639031171798706	0.2902188003063202	0.6486736536026001	6	0.7470884958902995	-1.2193745930989583	0.2297109696	-14.7589297968	0.143569356	0.019547687552	0.028099800855999998	0.003665191416	-0.7743	-0.49242	2.3664	0.2297109696	-14.7589297968	0.143569356	0.019547687552	0.028099800855999998	0.003665191416	-0.7743	-0.49242	2.3664	0.20594	0.1471	0.1471	1.0174093264248705	23.94
5644	0	607690	31	-2046	17	11	21	2	-1307	-928	4068	7	4	6	23.93	1.0171823340735258	1.753117509362908	44.82530975341797	-73.1624755859375	50.20000076293945	1	10	1.100000023841858	11.990344047546388	12.29353141784668	7	443.0	474.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.157547226832444	0.0	0.0	-0.0720544204402129	0.0814028605818748	0.1484405100345611	9.797073364257812	0.314774215221405	-0.6292482614517212	0.3099119067192077	0.6394673585891724	6	0.7470884958902995	-1.2193745930989583	0.2225325018	-14.6871451188	0.12203395260000001	0.013439035192	0.025656339912	0.002443460944	-0.75806	-0.53824	2.35944	0.2225325018	-14.6871451188	0.12203395260000001	0.013439035192	0.025656339912	0.002443460944	-0.75806	-0.53824	2.35944	0.20594	0.11768	0.17652	1.0171823340735258	23.93
