44	1	632	88102	281485	2177536	4.21	3.88	0.2	-160.37	-0.02	-1.01	-0.05	2.26	1.46	-0.3
45	1	632	88101	281505	2177600	4.3	3.95	0.23	-160.36	-0.02	-1.01	-0.05	2.29	1.43	-0.37
46	1	632	88103	281526	2177664	4.11	3.98	0.25	-160.4	-0.02	-1.01	-0.05	2.23	1.62	-0.43
47	1	632	88109	281546	2177728	3.54	3.91	0.21	-160.4	-0.02	-1.01	-0.05	2.32	1.83	-0.49
48	1	632	88106	281567	2177792	3.83	3.9	0.21	-160.39	-0.02	-1.01	-0.04	2.38	1.65	-0.34
49	1	632	88102	281587	2177856	4.21	3.96	0.24	-160.4	-0.02	-1.01	-0.05	2.04	1.52	-0.46
50	1	632	88106	281608	2177920	3.83	3.94	0.23	-160.38	-0.01	-1.01	-0.05	2.35	1.37	-0.49
51	1	632	88106	281628	2177984	3.83	3.93	0.22	-160.36	-0.01	-1.01	-0.05	2.35	1.68	-0.3
52	1	632	88103	281649	2178048	4.11	3.96	0.24	-160.4	-0.02	-1.01	-0.05	2.26	1.86	-0.27
53	1	632	88105	281669	2178112	3.92	3.96	0.24	-160.38	-0.02	-1.01	-0.05	2.38	1.43	-0.27
54	1	632	88103	281690	2178176	4.11	3.99	0.25	-160.36	-0.02	-1.01	-0.05	2.35	1.25	-0.37
55	1	632	88105	281710	2178240	3.92	3.98	0.25	-160.37	-0.03	-1.01	-0.04	2.35	1.46	-0.46
56	1	632	88107	281731	2178304	3.73	3.95	0.23	-160.39	-0.02	-1.01	-0.05	2.32	1.77	-0.37
57	1	632	88103	281751	2178368	4.11	3.98	0.25	-160.41	-0.02	-1.01	-0.04	2.47	1.4	-0.27
58	1	632	88103	281772	2178432	4.11	4.01	0.26	-160.4	-0.01	-1.01	-0.05	2.41	1.37	-0.46
59	1	632	88101	281792	2178496	4.3	4.06	0.29	-160.39	-0.02	-1.01	-0.05	2.44	1.31	-0.46
60	1	632	88105	281812	2178560	3.92	4.04	0.28	-160.41	-0.01	-1.01	-0.05	2.2	1.74	-0.46
61	1	632	88106	281833	2178624	3.83	4.01	0.26	-160.34	-0.02	-1.01	-0.05	2.23	1.83	-0.3
62	1	632	88102	281853	2178688	4.21	4.05	0.28	-160.4	-0.02	-1.01	-0.05	2.32	1.31	-0.34
63	1	632	88102	281874	2178752	4.21	4.08	0.3	-160.35	-0.02	-1.01	-0.05	2.44	1.34	-0.4
64	1	632	88104	281894	2178816	4.02	4.08	0.29	-160.42	-0.02	-1.01	-0.05	2.23	1.34	-0.49
65	1	632	88100	281915	2178880	4.4	4.14	0.32	-160.37	-0.02	-1.01	-0.05	2.47	1.83	-0.58
66	1	632	88106	281935	2178944	3.83	4.09	0.3	-160.37	-0.02	-1.01	-0.04	2.13	1.68	-0.49
67	1	632	88103	281956	2179008	4.11	4.1	0.3	-160.38	-0.02	-1.01	-0.05	2.32	1.52	-0.58
68	1	632	88105	281976	2179072	3.92	4.08	0.29	-160.37	-0.02	-1.01	-0.04	2.23	1.31	-0.49
69	1	632	88103	281997	2179136	4.11	4.09	0.3	-160.43	-0.02	-1.01	-0.06	2.2	1.62	-0.34
70	1	632	88106	282017	2179200	3.83	4.05	0.28	-160.41	-0.02	-1.01	-0.05	2.23	1.68	-0.21
71	1	632	88103	282038	2179264	4.11	4.07	0.29	-160.34	-0.02	-1.01	-0.06	2.16	1.49	-0.27
72	1	632	88103	282058	2179328	4.11	4.08	0.29	-160.41	-0.02	-1.01	-0.05	2.26	1.25	-0.3
73	1	632	88101	282079	2179392	4.3	4.13	0.31	-160.38	-0.02	-1.01	-0.05	2.38	1.52	-0.37
74	1	632	88105	282099	2179456	3.92	4.1	0.3	-160.37	-0.02	-1.01	-0.05	2.35	1.43	-0.49
75	1	632	88107	282120	2179520	3.73	4.04	0.27	-160.39	-0.02	-1.01	-0.05	2.16	1.49	-0.43
76	1	632	88103	282140	2179584	4.11	4.06	0.28	-160.39	-0.02	-1.01	-0.05	2.13	1.37	-0.43
77	1	632	88102	282161	2179648	4.21	4.09	0.3	-160.42	-0.01	-1.01	-0.04	2.32	1.68	-0.27
78	1	632	88101	282181	2179712	4.3	4.13	0.32	-160.36	-0.02	-1.01	-0.05	2.26	1.68	-0.27
79	1	632	88103	282202	2179776	4.11	4.14	0.32	-160.41	-0.02	-1.01	-0.05	2.16	1.49	-0.34
80	1	632	88108	282222	2179840	3.64	4.06	0.28	-160.38	-0.02	-1.01	-0.06	2.32	1.4	-0.4
81	1	632	88102	282243	2179904	4.21	4.09	0.3	-160.39	-0.02	-1.01	-0.05	2.26	1.55	-0.24
82	1	632	88105	282263	2179968	3.92	4.07	0.28	-160.39	-0.02	-1.01	-0.05	2.32	1.49	-0.52
83	1	632	88107	282284	2180032	3.73	4.02	0.26	-160.38	-0.02	-1.01	-0.04	2.23	1.65	-0.49
84	1	632	88105	282304	2180096	3.92	4.01	0.25	-160.41	-0.02	-1.01	-0.05	2.35	1.55	-0.46
85	1	632	88101	282324	2180160	4.3	4.06	0.28	-160.41	-0.01	-1.01	-0.04	2.29	1.49	-0.4
86	1	632	88104	282345	2180224	4.02	4.06	0.28	-160.37	-0.02	-1.01	-0.05	2.23	1.46	-0.37
87	1	632	88105	282365	2180288	3.92	4.04	0.27	-160.41	-0.01	-1.01	-0.04	2.44	1.55	-0.43
88	1	632	88109	282386	2180352	3.54	3.96	0.23	-160.38	-0.02	-1.01	-0.05	2.29	1.43	-0.43
89	1	632	88106	282406	2180416	3.83	3.95	0.22	-160.38	-0.02	-1.01	-0.05	2.26	1.46	-0.3
