,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,baro_pres_avg,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_temp_avg
55657,8123360,0,-30,1332,-103,12,-118,73,225,-776,-915,-10,1334,-36,96,80,36,251,-791,-252,-160,160,-8944,31.66,0.9886503824327658,32.79,0.998756476683938,3859.984619140625,-7606.2802734375,22.600000381469727,7.792853832244873,0,0.0,0.0,0.0,0.0,0.1583323015427031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9937034295583519,38.99974365234375,-76.10467122395833,-0.215354034,9.5617191096,-0.7393821834000001,-0.071784678,9.5760760452,-0.2584248408,0.01466071905,-0.144163737325,0.0891860408875,0.1172857524,0.09773812700000001,0.04398215715,0.1305,-0.45008,-0.5307,0.14558,-0.45878,-0.14616,-0.143569356,9.568897577400001,-0.49890351210000006,0.065973235725,-0.023212805162500003,0.06658409901875,0.13804,-0.45443,-0.33843,-4.7072,4.7072,-263.13248,32.225
55658,8123510,0,-10,1331,-83,0,-90,92,225,-776,-915,4,1333,-24,84,102,66,251,-791,-252,-176,144,-8928,31.67,0.988719467061436,32.79,0.9986873920552676,3859.984619140625,-7606.2802734375,22.600000381469727,7.807809352874756,0,0.0,0.0,0.0,0.0,0.1583323015427031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9937034295583518,38.99974365234375,-76.10467122395833,-0.071784678,9.554540641800001,-0.5958128274000001,0.0287138712,9.5688975774,-0.1722832272,0.0,-0.109955392875,0.11239884605,0.10262503335,0.12461611192500001,0.080633954775,0.1305,-0.45008,-0.5307,0.14558,-0.45878,-0.14616,-0.0215354034,9.5617191096,-0.38404802730000004,0.051312516675,0.007330359525000003,0.09651640041250001,0.13804,-0.45443,-0.33843,-5.17792,4.23648,-262.66176,32.230000000000004
55659,8123660,0,-26,1331,-104,12,-91,119,241,-773,-876,-15,1332,-45,83,101,78,255,-787,-311,-240,112,-8960,31.67,0.9887293362941032,32.79,0.9987959536146064,3859.984619140625,-7606.2802734375,22.600000381469727,7.792853832244873,0,0.0,0.0,0.0,0.0,0.1583323015427031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9937626449543548,38.99974365234375,-76.10467122395833,-0.1866401628,9.554540641800001,-0.7465606512,-0.107677017,9.5617191096,-0.323031051,0.01466071905,-0.1111771194625,0.1453854639125,0.1014033067625,0.12339438533750001,0.09529467382500001,0.13978,-0.44834,-0.50808,0.1479,-0.45646,-0.18038,-0.1471585899,9.5581298757,-0.5347958511,0.05803201290625,0.006108632937500004,0.12034006886875001,0.14384,-0.4524,-0.34423,-7.0608,3.29504,-263.6032,32.230000000000004
55660,8123811,0,-40,1334,-97,15,-76,107,217,-773,-880,-19,1334,-30,87,113,67,282,-778,-287,-288,48,-8880,31.68,0.9888576363187762,32.8,0.9987860843819392,3859.984619140625,-7606.2802734375,22.600000381469727,7.790638446807861,0,0.0,0.0,0.0,0.0,0.1583323015427031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9938218603503577,38.99974365234375,-76.10467122395833,-0.287138712,9.5760760452,-0.6963113766,-0.1363908882,9.5760760452,-0.215354034,0.0183258988125,-0.09285122065000001,0.13072474486250002,0.1062902131125,0.13805510438750002,0.0818556813625,0.12586,-0.44834,-0.5104,0.16356,-0.45124000000000003,-0.16646,-0.2117648001,9.5760760452,-0.4558327053,0.062308055962500004,0.022601941868750003,0.1062902131125,0.14471,-0.44979,-0.33843,-8.47296,1.41216,-261.2496,32.239999999999995
55661,8123961,0,-25,1343,-109,4,-98,81,245,-785,-888,-9,1333,-32,105,91,38,266,-761,-268,-208,80,-8944,31.67,0.9888477670861092,32.79,0.9986873920552676,3859.984619140625,-7606.2802734375,22.600000381469727,7.785653114318848,0,0.0,0.0,0.0,0.0,0.1583323015427031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9937675795706884,38.99974365234375,-76.10467122395833,-0.179461695,9.6406822554,-0.7824529902,-0.0646062102,9.5688975774,-0.2297109696,0.00488690635,-0.11972920557500001,0.09895985358750001,0.1282812916875,0.1111771194625,0.046425610325000005,0.1421,-0.4553,-0.51504,0.15428,-0.44138,-0.15544,-0.1220339526,9.6047899164,-0.5060819799,0.06658409901875,-0.004276043056250005,0.07269273195625,0.14819,-0.44833999999999996,-0.33524000000000004,-6.11936,2.3536,-263.13248,32.230000000000004
55662,8124111,0,-27,1333,-90,3,-95,93,245,-785,-888,-14,1331,-25,75,96,58,266,-761,-268,-240,208,-8912,31.67,0.9886898593634345,32.8,0.9987268689859364,3859.984619140625,-7606.2802734375,22.600000381469727,7.7873148918151855,0,0.0,0.0,0.0,0.0,0.1583323015427031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9937083641746854,38.99974365234375,-76.10467122395833,-0.1938186306,9.5688975774,-0.646062102,-0.10049854920000001,9.554540641800001,-0.179461695,0.0036651797625,-0.1160640258125,0.1136205726375,0.09162949406250001,0.1172857524,0.07086014207500001,0.1421,-0.4553,-0.51504,0.15428,-0.44138,-0.15544,-0.14715858990000003,9.5617191096,-0.4127618985,0.047647336912500005,0.0006108632937499997,0.09224035735625,0.14819,-0.44833999999999996,-0.33524000000000004,-7.0608,6.11936,-262.19104000000004,32.235
55663,8124262,0,-29,1336,-98,-6,-86,104,259,-785,-891,-13,1333,-37,78,110,70,266,-770,-252,-272,112,-8976,31.67,0.9888477670861092,32.79,0.998638045891932,3859.984619140625,-7606.2802734375,22.600000381469727,7.794515609741211,0,0.0,0.0,0.0,0.0,0.1583323015427031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9937429064890206,38.99974365234375,-76.10467122395833,-0.2081755662,9.590432980800001,-0.7034898444000001,-0.0933200814,9.5688975774,-0.26560330860000003,-0.007330359525,-0.105068486525,0.1270595651,0.09529467382500001,0.13438992462500002,0.085520861125,0.15022,-0.4553,-0.51678,0.15428,-0.4466,-0.14616,-0.1507478238,9.5796652791,-0.48454657650000005,0.043982157150000006,0.014660719050000007,0.1062902131125,0.15225,-0.45094999999999996,-0.33147000000000004,-8.00224,3.29504,-264.07392000000004,32.230000000000004
55664,8124412,0,-24,1332,-111,10,-75,102,211,-768,-882,-8,1326,-41,102,108,69,254,-794,-261,-176,128,-8896,31.67,0.9886898593634345,32.79,0.9986577843572664,3859.984619140625,-7606.2802734375,22.600000381469727,7.791746139526367,0,0.0,0.0,0.0,0.0,0.1583323015427031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9936738218603505,38.99974365234375,-76.10467122395833,-0.1722832272,9.5617191096,-0.7968099258,-0.0574277424,9.5186483028,-0.2943171798,0.012217265875000001,-0.09162949406250001,0.12461611192500001,0.12461611192500001,0.13194647145000002,0.0842991345375,0.12238,-0.44544,-0.51156,0.14732,-0.46052,-0.15138000000000001,-0.1148554848,9.5401837062,-0.5455635528,0.06841668890000001,0.020158488693750004,0.10445762323125,0.13485,-0.45298,-0.33147000000000004,-5.17792,3.76576,-261.72032,32.230000000000004
55665,8124563,0,-20,1331,-94,10,-84,113,223,-773,-849,2,1328,-34,105,119,83,248,-779,-277,-160,128,-8992,31.66,0.9887095978287688,32.8,0.9986084381939304,3859.984619140625,-7606.2802734375,22.600000381469727,7.78233003616333,0,0.0,0.0,0.0,0.0,0.1583323015427031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9936590180113496,38.99974365234375,-76.10467122395833,-0.143569356,9.554540641800001,-0.6747759732,0.0143569356,9.533005238400001,-0.24406790520000002,0.012217265875000001,-0.10262503335,0.13805510438750002,0.1282812916875,0.1453854639125,0.1014033067625,0.12934,-0.44834,-0.49242,0.14384,-0.45182,-0.16066,-0.0646062102,9.543772940100002,-0.4594219392,0.07024927878125,0.021380215281250003,0.11972920557500001,0.13659,-0.45008000000000004,-0.32654,-4.7072,3.76576,-264.54464,32.23
55666,8124713,0,-19,1335,-98,-4,-89,120,223,-773,-849,-9,1329,-31,91,105,89,248,-779,-277,-224,160,-8896,31.67,0.98853195164076,32.79,0.998756476683938,3859.984619140625,-7606.2802734375,22.600000381469727,7.808363437652588,0,0.0,0.0,0.0,0.0,0.1583323015427031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9936442141623489,38.99974365234375,-76.10467122395833,-0.1363908882,9.583254513,-0.7034898444000001,-0.0646062102,9.5401837062,-0.2225325018,-0.00488690635,-0.1087336662875,0.1466071905,0.1111771194625,0.1282812916875,0.1087336662875,0.12934,-0.44834,-0.49242,0.14384,-0.45182,-0.16066,-0.10049854920000001,9.5617191096,-0.46301117310000006,0.05314510655625,0.009773812699999995,0.12767042839375,0.13659,-0.45008000000000004,-0.32654,-6.59008,4.7072,-261.72032,32.230000000000004
