key	value	source
altimeter.board	Unknown Altimeter	derived
altimeter.source_folder	root-GroundStationDataInterface_parsed	derived
data.has_parsed_timeseries	true	derived
data.row_count	55306	derived
data.source_file	GroundStationDataInterface_parsed.txt	derived
data.synthetic_time_added	true	derived
data.time_column	generated_time_s	derived
flight.date	2022-11-19	derived
flight.name	TRD	derived
