timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,pyro_status,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_x,q_y,q_z,q_w,state,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_pres_avg,baro_temp_avg
181954,0,-1379,-112,35,787,120,123,-894,-32765,-891,0,0,0,0,0,0,0,0,0,-80,368,112,0.0,0.0,22.58,1.0113200098692328,4449.48779296875,-7309.84521484375,40.5,11.72624969482422,0,0,0.0,0.0,0.0,0.0,0.9024927633048756,0.0,0.0,0.049643105109653,-0.8039883936,0.2512463729999999,9.8991070962,0.0,0.0,0.0,0.0,7,44.82479654947917,-73.1640869140625,-9.8991070962,-0.8039883936000001,0.251246373,0.0,0.0,0.0,0.240375470366,0.03665191416,0.037568212014,0.0,0.0,0.0,-0.51852,-19.0037,-0.51678,0.0,0.0,0.0,-4.9495535481,-0.40199419680000004,0.1256231865,0.120187735183,0.01832595708,0.018784106007,-0.25926,-9.50185,-0.25839,-2.3536,10.82656,3.29504,1.0113200098692328,0.0
182059,0,-1376,-96,-14,807,126,88,-894,-32765,-891,0,0,0,0,0,0,0,0,0,-32,384,192,0.0,0.0,22.58,1.0113298791019,4449.48779296875,-7309.84521484375,40.5,11.725000381469728,0,0,0.0,0.0,0.0,0.0,0.9304617151491372,0.0,0.0,0.0796451225515467,-0.6891329088,-0.1004985492,9.877571692799998,0.0,0.0,0.0,0.0,7,44.82479654947917,-73.1640869140625,-9.8775716928,-0.6891329088,-0.10049854920000001,0.0,0.0,0.0,0.24648412272599998,0.038484509868,0.026878070384,0.0,0.0,0.0,-0.51852,-19.0037,-0.51678,0.0,0.0,0.0,-4.9387858464,-0.3445664544,-0.050249274600000005,0.12324206136299999,0.019242254934,0.013439035192,-0.25926,-9.50185,-0.25839,-0.94144,11.29728,5.64864,1.0113298791019,0.0
182164,0,-1366,-110,101,-366,116,90,-921,-32765,-869,0,0,0,0,0,0,0,0,0,-32,384,144,0.0,0.0,22.59,1.011280532938564,4449.48779296875,-7309.84521484375,40.5,11.725000381469728,0,0,0.0,0.0,0.0,0.0,0.9624761883524728,0.0,0.0,0.1100534484930598,-0.7896314579999999,0.7250252478,9.8057870148,0.0,0.0,0.0,0.0,7,44.82479654947917,-73.1640869140625,-9.8057870148,-0.789631458,0.7250252478,0.0,0.0,0.0,-0.11178833818799999,0.035430183688,0.02748893562,0.0,0.0,0.0,-0.53418,-19.0037,-0.50402,0.0,0.0,0.0,-4.9028935074,-0.394815729,0.3625126239,-0.055894169093999996,0.017715091844,0.01374446781,-0.26709,-9.50185,-0.25201,-0.94144,11.29728,4.23648,1.011280532938564,0.0
182269,0,-1380,-157,6,-290,96,113,-921,-32765,-869,0,0,0,0,0,0,0,0,0,-48,352,208,0.0,0.0,22.59,1.011339748334567,4449.48779296875,-7309.84521484375,40.5,11.725000381469728,0,0,0.0,0.0,0.0,0.0,0.9821784989388558,0.0,0.0,0.125183601031828,-1.1270194446,0.0430708068,9.906285564,0.0,0.0,0.0,0.0,7,44.82479654947917,-73.1640869140625,-9.906285564000001,-1.1270194446000001,0.0430708068,0.0,0.0,0.0,-0.08857545922,0.029321531328,0.034513885833999995,0.0,0.0,0.0,-0.53418,-19.0037,-0.50402,0.0,0.0,0.0,-4.9531427820000005,-0.5635097223000001,0.0215354034,-0.04428772961,0.014660765664,0.017256942916999998,-0.26709,-9.50185,-0.25201,-1.41216,10.35584,6.11936,1.011339748334567,0.0
182374,0,-1376,-107,78,-18,114,92,-905,-32765,-877,0,0,0,0,0,0,0,0,0,-32,384,160,0.0,0.0,22.59,1.01139896373057,4449.48779296875,-7309.84521484375,40.5,11.72624969482422,0,0,0.0,0.0,0.0,0.0,1.0002806753174287,0.0,0.0,0.138316289843472,-0.7680960546,0.5599204884,9.877571692799998,0.0,0.0,0.0,0.0,7,44.82479654947917,-73.1640869140625,-9.8775716928,-0.7680960546000001,0.5599204884,0.0,0.0,0.0,-0.005497787124,0.034819318451999995,0.028099800855999998,0.0,0.0,0.0,-0.5249,-19.0037,-0.50866,0.0,0.0,0.0,-4.9387858464,-0.38404802730000004,0.2799602442,-0.002748893562,0.017409659225999997,0.014049900427999999,-0.26245,-9.50185,-0.25433,-0.94144,11.29728,4.7072,1.01139896373057,0.0
182479,0,-1363,-115,46,177,101,110,-905,-32765,-877,0,0,0,0,0,0,0,0,0,-16,384,192,0.0,0.0,22.59,1.0114088329632371,4449.48779296875,-7309.84521484375,40.5,11.723750114440918,0,0,0.0,0.0,0.0,0.0,0.8758313000540352,0.0,0.0,0.0032450888872155,-0.8255237969999999,0.3302095188,9.784251611399998,0.0,0.0,0.0,0.0,7,44.82479654947917,-73.1640869140625,-9.7842516114,-0.825523797,0.3302095188,0.0,0.0,0.0,0.054061573386,0.030848694418,0.033597587979999996,0.0,0.0,0.0,-0.5249,-19.0037,-0.50866,0.0,0.0,0.0,-4.8921258057,-0.4127618985,0.1651047594,0.027030786693,0.015424347209,0.016798793989999998,-0.26245,-9.50185,-0.25433,-0.47072,11.29728,5.64864,1.0114088329632371,0.0
182584,0,-1370,-111,13,103,108,105,-895,-32765,-858,0,0,0,0,0,0,0,0,0,-112,368,176,0.0,0.0,22.6,1.0114187021959042,4449.48779296875,-7309.84521484375,40.5,11.71875,0,0,0.0,0.0,0.0,0.0,0.9247029996214684,0.0,0.0,0.0584865373311565,-0.7968099258,0.0933200813999999,9.834500886,0.0,0.0,0.0,0.0,7,44.82479654947917,-73.1640869140625,-9.834500886,-0.7968099258,0.0933200814,0.0,0.0,0.0,0.031459559654,0.032986722744,0.03207042489,0.0,0.0,0.0,-0.5191,-19.0037,-0.49764,0.0,0.0,0.0,-4.917250443,-0.3984049629,0.0466600407,0.015729779827,0.016493361372,0.016035212445,-0.25955,-9.50185,-0.24882,-3.29504,10.82656,5.17792,1.0114187021959042,0.0
182690,0,-1372,-111,82,175,116,106,-895,-32765,-858,0,0,0,0,0,0,0,0,0,-32,368,144,0.0,0.0,22.59,1.01139896373057,4449.48779296875,-7309.84521484375,40.5,11.729999542236328,0,0,0.0,0.0,0.0,0.0,0.909726461461371,0.0,0.0,0.0463293907438463,-0.7968099258,0.5886343596,9.8488578216,0.0,0.0,0.0,0.0,7,44.82479654947917,-73.1640869140625,-9.848857821600001,-0.7968099258,0.5886343596,0.0,0.0,0.0,0.05345070815,0.035430183688,0.032375857508,0.0,0.0,0.0,-0.5191,-19.0037,-0.49764,0.0,0.0,0.0,-4.924428910800001,-0.3984049629,0.2943171798,0.026725354075,0.017715091844,0.016187928754,-0.25955,-9.50185,-0.24882,-0.94144,10.82656,4.23648,1.01139896373057,0.0
182794,0,-1380,-111,98,29,104,127,-904,-32765,-879,0,0,0,0,0,0,0,0,0,-64,336,176,0.0,0.0,22.6,1.0114877868245744,4449.48779296875,-7309.84521484375,40.5,11.72249984741211,0,0,0.0,0.0,0.0,0.0,0.8263889263724425,0.0,0.0,-0.0384413932131467,-0.7968099258,0.7034898444,9.906285564,0.0,0.0,0.0,0.0,7,44.82479654947917,-73.1640869140625,-9.906285564000001,-0.7968099258,0.7034898444000001,0.0,0.0,0.0,0.008857545922,0.031764992272,0.038789942486,0.0,0.0,0.0,-0.52432,-19.0037,-0.50982,0.0,0.0,0.0,-4.9531427820000005,-0.3984049629,0.35174492220000003,0.004428772961,0.015882496136,0.019394971243,-0.26216,-9.50185,-0.25491,-1.88288,9.88512,5.17792,1.0114877868245744,0.0
182900,0,-1374,-130,55,-89,112,108,-904,-32765,-879,0,0,0,0,0,0,0,0,0,-32,384,128,0.0,0.0,22.6,1.0114285714285711,4449.48779296875,-7309.84521484375,40.5,11.723750114440918,0,0,0.0,0.0,0.0,0.0,0.809665715075035,0.0,0.0,-0.0460544794085967,-0.933200814,0.3948157289999999,9.8632147572,0.0,0.0,0.0,0.0,7,44.82479654947917,-73.1640869140625,-9.8632147572,-0.933200814,0.394815729,0.0,0.0,0.0,-0.027183503002,0.034208453215999995,0.032986722744,0.0,0.0,0.0,-0.52432,-19.0037,-0.50982,0.0,0.0,0.0,-4.9316073786,-0.466600407,0.1974078645,-0.013591751501,0.017104226607999998,0.016493361372,-0.26216,-9.50185,-0.25491,-0.94144,11.29728,3.76576,1.0114285714285711,0.0
