PerfectFlite SLCF
Firmware: 1.0
Software: 1.16
Serial Number: 3810
Apogee: 5608' AGL
Ground Elevation: 288' MSL
NumSamps: 2328
Flight Number: 5
Main Setting: 500' AGL
Apogee Delay: 2 Seconds
Drogue At: 20.80 Seconds
Main At: 85.50 Seconds
Max Drogue Current: 0 Amps
Max Main Current: 0 Amps
Comments: 

Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
30.95, 4829, -95, 45.19, 8.20
31.00, 4827, -91, 45.19, 8.20
31.05, 4836, -89, 45.16, 8.20
31.10, 4839, -87, 45.16, 8.20
31.15, 4828, -86, 45.16, 8.20
31.20, 4813, -86, 45.18, 8.20
31.25, 4794, -85, 45.16, 8.20
31.30, 4796, -85, 45.16, 8.20
31.35, 4793, -86, 45.18, 8.20
31.40, 4787, -85, 45.18, 8.20
31.45, 4781, -83, 45.16, 8.20
31.50, 4774, -78, 45.18, 8.20
31.55, 4770, -72, 45.16, 8.20
31.60, 4772, -68, 45.16, 8.20
31.65, 4778, -66, 45.14, 8.20
31.70, 4766, -67, 45.14, 8.20
31.75, 4755, -69, 45.16, 8.20
31.80, 4747, -71, 45.16, 8.20
31.85, 4741, -71, 45.16, 8.20
31.90, 4748, -70, 45.16, 8.20
31.95, 4754, -69, 45.16, 8.20
32.00, 4752, -70, 45.16, 8.20
32.05, 4755, -73, 45.16, 8.20
32.10, 4742, -75, 45.16, 8.20
32.15, 4734, -75, 45.16, 8.20
32.20, 4732, -71, 45.16, 8.20
32.25, 4758, -66, 45.18, 8.20
32.30, 4726, -61, 45.14, 8.20
32.35, 4733, -58, 45.16, 8.20
32.40, 4714, -57, 45.16, 8.20
32.45, 4726, -59, 45.16, 8.20
32.50, 4734, -62, 45.16, 8.20
32.55, 4733, -65, 45.14, 8.20
32.60, 4746, -68, 45.14, 8.20
32.65, 4723, -68, 45.14, 8.20
32.70, 4713, -68, 45.14, 8.20
32.75, 4708, -66, 45.16, 8.20
32.80, 4714, -66, 45.14, 8.20
32.85, 4701, -66, 45.14, 8.20
32.90, 4699, -68, 45.14, 8.20
32.95, 4717, -68, 45.14, 8.20
33.00, 4697, -66, 45.14, 8.20
33.05, 4671, -63, 45.14, 8.20
33.10, 4659, -59, 45.14, 8.20
33.15, 4672, -56, 45.14, 8.20
33.20, 4685, -56, 45.14, 8.20
33.25, 4670, -59, 45.14, 8.20
33.30, 4689, -65, 45.09, 8.20
33.35, 4694, -78, 45.09, 8.20
33.40, 4658, -93, 45.14, 8.20
33.45, 4655, -109, 45.14, 8.20
33.50, 4644, -121, 45.10, 8.20
33.55, 4631, -123, 45.14, 8.20
33.60, 4636, -118, 45.10, 8.20
33.65, 4632, -107, 45.09, 8.20
33.70, 4630, -96, 45.10, 8.20
33.75, 4629, -93, 45.10, 8.20
33.80, 4616, -97, 45.09, 8.20
33.85, 4611, -103, 45.14, 8.20
33.90, 4609, -103, 45.14, 8.20
33.95, 4620, -95, 45.10, 8.20
34.00, 4618, -80, 45.14, 8.20
34.05, 4648, -65, 45.09, 8.20
34.10, 4631, -59, 45.09, 8.20
34.15, 4628, -59, 45.09, 8.20
34.20, 4636, -66, 45.09, 8.20
34.25, 4630, -74, 45.10, 8.20
34.30, 4594, -80, 45.09, 8.20
34.35, 4554, -84, 45.09, 8.20
34.40, 4487, -87, 45.09, 8.20
34.45, 4465, -87, 45.07, 8.20
34.50, 4470, -85, 45.07, 8.20
34.55, 4487, -82, 45.07, 8.20
34.60, 4505, -79, 45.03, 8.20
34.65, 4578, -79, 45.01, 8.20
34.70, 4551, -82, 45.01, 8.20
34.75, 4531, -88, 45.01, 8.20
34.80, 4508, -93, 45.01, 8.20
34.85, 4453, -96, 45.00, 8.20
34.90, 4444, -98, 45.00, 8.20
34.95, 4552, -101, 45.00, 8.20
35.00, 4644, -106, 44.98, 8.20
35.05, 4570, -110, 44.96, 8.20
35.10, 4528, -110, 44.94, 8.20
35.15, 4555, -105, 44.94, 8.20
35.20, 4536, -98, 44.94, 8.20
35.25, 4535, -86, 44.89, 8.20
35.30, 4505, -74, 44.89, 8.20
35.35, 4489, -62, 44.89, 8.20
35.40, 4482, -51, 44.89, 8.20
35.45, 4477, -46, 44.89, 8.20
35.50, 4467, -48, 44.89, 8.20
35.55, 4473, -55, 44.89, 8.20
35.60, 4497, -64, 44.89, 8.20
35.65, 4511, -72, 44.89, 8.20
35.70, 4450, -72, 44.89, 8.20
35.75, 4394, -66, 44.89, 8.20
35.80, 4400, -59, 44.89, 8.20
35.85, 4450, -57, 44.89, 8.20
35.90, 4455, -63, 44.89, 8.20
35.95, 4413, -78, 44.89, 8.20
36.00, 4386, -94, 44.89, 8.20
36.05, 4463, -105, 44.89, 8.20
36.10, 4448, -110, 44.89, 8.20
36.15, 4442, -108, 44.83, 8.20
36.20, 4453, -102, 44.82, 8.20
36.25, 4426, -96, 44.83, 8.20
36.30, 4444, -90, 44.85, 8.20
36.35, 4412, -83, 44.85, 8.20
36.40, 4397, -79, 44.85, 8.20
36.45, 4393, -78, 44.85, 8.20
36.50, 4391, -80, 44.85, 8.20
36.55, 4387, -85, 44.85, 8.20
36.60, 4389, -87, 44.85, 8.20
36.65, 4395, -86, 44.82, 8.20
36.70, 4391, -82, 44.82, 8.20
36.75, 4387, -80, 44.82, 8.20
36.80, 4391, -82, 44.82, 8.20
36.85, 4393, -90, 44.82, 8.20
36.90, 4396, -97, 44.82, 8.20
36.95, 4386, -103, 44.82, 8.20
37.00, 4353, -107, 44.83, 8.20
37.05, 4326, -111, 44.85, 8.20
37.10, 4326, -115, 44.85, 8.20
37.15, 4333, -117, 44.82, 8.20
37.20, 4342, -117, 44.82, 8.20
37.25, 4340, -112, 44.82, 8.20
37.30, 4326, -106, 44.80, 8.20
37.35, 4336, -97, 44.80, 8.20
37.40, 4338, -89, 44.80, 8.20
37.45, 4326, -83, 44.80, 8.20
37.50, 4314, -80, 44.82, 8.20
37.55, 4305, -83, 44.82, 8.20
37.60, 4298, -90, 44.82, 8.20
37.65, 4294, -99, 44.82, 8.20
37.70, 4288, -106, 44.82, 8.20
37.75, 4279, -110, 44.82, 8.20
37.80, 4255, -109, 44.82, 8.20
37.85, 4227, -104, 44.83, 8.20
37.90, 4207, -97, 44.82, 8.20
37.95, 4200, -91, 44.82, 8.20
38.00, 4193, -88, 44.83, 8.20
38.05, 4193, -89, 44.83, 8.20
38.10, 4205, -93, 44.83, 8.20
38.15, 4214, -98, 44.82, 8.20
38.20, 4216, -100, 44.82, 8.20
38.25, 4217, -98, 44.82, 8.20
38.30, 4225, -95, 44.82, 8.20
38.35, 4232, -92, 44.82, 8.20
38.40, 4241, -90, 44.80, 8.20
38.45, 4246, -89, 44.80, 8.20
38.50, 4246, -86, 44.80, 8.20
38.55, 4224, -82, 44.80, 8.20
38.60, 4191, -76, 44.80, 8.20
38.65, 4173, -70, 44.80, 8.20
38.70, 4159, -64, 44.80, 8.20
38.75, 4161, -61, 44.80, 8.20
38.80, 4187, -60, 44.80, 8.20
38.85, 4209, -61, 44.80, 8.20
38.90, 4212, -64, 44.80, 8.20
38.95, 4200, -70, 44.80, 8.20
39.00, 4174, -75, 44.80, 8.20
39.05, 4145, -81, 44.80, 8.20
39.10, 4126, -86, 44.80, 8.20
39.15, 4126, -91, 44.78, 8.20
39.20, 4139, -96, 44.76, 8.20
39.25, 4159, -101, 44.78, 8.20
39.30, 4166, -107, 44.76, 8.20
39.35, 4162, -113, 44.76, 8.20
39.40, 4148, -115, 44.71, 8.20
39.45, 4136, -110, 44.71, 8.20
39.50, 4138, -96, 44.71, 8.20
39.55, 4151, -75, 44.69, 8.20
39.60, 4160, -51, 44.69, 8.20
39.65, 4171, -32, 44.67, 8.20
39.70, 4166, -23, 44.67, 8.20
39.75, 4141, -23, 44.65, 8.20
39.80, 4116, -29, 44.65, 8.20
39.85, 4091, -35, 44.64, 8.20
39.90, 4057, -37, 44.62, 8.20
39.95, 4050, -37, 44.62, 8.20
40.00, 4038, -33, 44.62, 8.20
40.05, 4030, -31, 44.62, 8.20
40.10, 4032, -33, 44.58, 8.20
40.15, 4032, -41, 44.58, 8.20
40.20, 4027, -53, 44.58, 8.20
40.25, 4019, -64, 44.58, 8.20
40.30, 4008, -70, 44.58, 8.20
40.35, 4001, -69, 44.60, 8.20
40.40, 3999, -65, 44.58, 8.20
40.45, 4021, -62, 44.58, 8.20
40.50, 4060, -63, 44.58, 8.20
40.55, 4118, -65, 44.58, 8.20
40.60, 4150, -68, 44.58, 8.20
40.65, 4155, -69, 44.58, 8.20
40.70, 4139, -67, 44.56, 8.20
40.75, 4099, -61, 44.56, 8.20
40.80, 4133, -53, 44.58, 8.20
40.85, 4134, -43, 44.56, 8.20
40.90, 4119, -34, 44.56, 8.20
40.95, 4102, -27, 44.56, 8.20
41.00, 4101, -23, 44.55, 8.20
41.05, 4089, -22, 44.56, 8.20
41.10, 4072, -23, 44.56, 8.20
41.15, 4032, -25, 44.56, 8.20
41.20, 4005, -27, 44.56, 8.20
41.25, 3992, -27, 44.56, 8.20
41.30, 4014, -26, 44.55, 8.20
41.35, 4049, -27, 44.55, 8.20
41.40, 4034, -31, 44.55, 8.20
41.45, 4013, -40, 44.56, 8.20
41.50, 4022, -52, 44.51, 8.20
41.55, 4032, -68, 44.51, 8.20
41.60, 4012, -84, 44.51, 8.20
41.65, 4032, -98, 44.51, 8.20
41.70, 4015, -109, 44.51, 8.20
41.75, 4006, -113, 44.51, 8.20
41.80, 4008, -113, 44.51, 8.20
41.85, 4003, -109, 44.51, 8.20
41.90, 4003, -103, 44.49, 8.20
41.95, 3997, -98, 44.47, 8.20
42.00, 3999, -93, 44.47, 8.20
42.05, 3986, -86, 44.47, 8.20
42.10, 3982, -76, 44.49, 8.20
42.15, 3967, -67, 44.49, 8.20
42.20, 3962, -61, 44.51, 8.20
42.25, 3953, -61, 44.51, 8.20
42.30, 3956, -68, 44.51, 8.20
42.35, 3965, -76, 44.56, 8.20
42.40, 3961, -81, 44.51, 8.20
42.45, 3961, -83, 44.56, 8.20
42.50, 3972, -82, 44.55, 8.20
42.55, 3991, -81, 44.55, 8.20
42.60, 3965, -81, 44.56, 8.20
42.65, 3896, -83, 44.55, 8.20
42.70, 3861, -85, 44.51, 8.20
42.75, 3903, -87, 44.51, 8.20
42.80, 3925, -88, 44.51, 8.20
42.85, 3920, -87, 44.47, 8.20
42.90, 3916, -85, 44.47, 8.20
42.95, 3915, -84, 44.46, 8.20
43.00, 3912, -83, 44.47, 8.20
43.05, 3908, -81, 44.47, 8.20
43.10, 3902, -79, 44.47, 8.20
43.15, 3910, -76, 44.47, 8.20
43.20, 3935, -74, 44.47, 8.20
43.25, 3883, -72, 44.47, 8.20
43.30, 3844, -72, 44.47, 8.20
43.35, 3863, -75, 44.47, 8.20
43.40, 3869, -80, 44.44, 8.20
43.45, 3861, -84, 44.44, 8.20
43.50, 3865, -85, 44.44, 8.20
43.55, 3870, -81, 44.44, 8.20
43.60, 3872, -73, 44.44, 8.20
43.65, 3858, -64, 44.44, 8.20
43.70, 3822, -60, 44.44, 8.20
43.75, 3822, -64, 44.44, 8.20
43.80, 3840, -70, 44.44, 8.20
43.85, 3845, -78, 44.44, 8.20
43.90, 3833, -83, 44.44, 8.20
43.95, 3833, -85, 44.44, 8.20
44.00, 3823, -87, 44.44, 8.20
44.05, 3825, -89, 44.44, 8.20
44.10, 3824, -92, 44.44, 8.20
44.15, 3815, -92, 44.44, 8.20
44.20, 3816, -89, 44.42, 8.20
44.25, 3828, -81, 44.40, 8.20
44.30, 3823, -74, 44.40, 8.20
44.35, 3806, -69, 44.42, 8.20
44.40, 3798, -66, 44.42, 8.20
44.45, 3790, -66, 44.44, 8.20
44.50, 3801, -67, 44.44, 8.20
44.55, 3806, -69, 44.44, 8.20
44.60, 3794, -71, 44.44, 8.20
44.65, 3803, -72, 44.44, 8.20
44.70, 3783, -72, 44.42, 8.20
44.75, 3775, -72, 44.42, 8.20
44.80, 3744, -71, 44.42, 8.20
44.85, 3749, -71, 44.42, 8.20
44.90, 3756, -70, 44.38, 8.20
44.95, 3747, -69, 44.40, 8.20
45.00, 3737, -68, 44.42, 8.20
45.05, 3727, -68, 44.42, 8.20
45.10, 3720, -70, 44.42, 8.20
45.15, 3717, -72, 44.42, 8.20
45.20, 3732, -74, 44.42, 8.20
45.25, 3732, -75, 44.42, 8.20
45.30, 3732, -75, 44.38, 8.20
45.35, 3738, -74, 44.38, 8.20
45.40, 3733, -75, 44.38, 8.20
45.45, 3748, -76, 44.40, 8.20
45.50, 3736, -79, 44.40, 8.20
45.55, 3722, -81, 44.38, 8.20
45.60, 3704, -82, 44.38, 8.20
45.65, 3699, -81, 44.38, 8.20
45.70, 3685, -78, 44.38, 8.20
45.75, 3695, -75, 44.38, 8.20
45.80, 3695, -73, 44.40, 8.20
45.85, 3706, -73, 44.42, 8.20
45.90, 3701, -77, 44.40, 8.20
45.95, 3685, -83, 44.40, 8.20
46.00, 3704, -87, 44.40, 8.20
46.05, 3689, -88, 44.42, 8.20
46.10, 3671, -86, 44.38, 8.20
46.15, 3674, -82, 44.40, 8.20
46.20, 3674, -79, 44.38, 8.20
46.25, 3661, -78, 44.38, 8.20
46.30, 3671, -79, 44.31, 8.20
46.35, 3664, -81, 44.35, 8.20
46.40, 3657, -82, 44.35, 8.20
46.45, 3636, -82, 44.37, 8.20
46.50, 3629, -81, 44.35, 8.20
46.55, 3639, -78, 44.35, 8.20
46.60, 3645, -75, 44.35, 8.20
46.65, 3629, -73, 44.35, 8.20
46.70, 3625, -71, 44.35, 8.20
46.75, 3601, -71, 44.37, 8.20
46.80, 3626, -72, 44.31, 8.20
46.85, 3634, -74, 44.35, 8.20
46.90, 3571, -80, 44.35, 8.20
46.95, 3539, -88, 44.35, 8.20
47.00, 3537, -97, 44.31, 8.20
47.05, 3559, -104, 44.31, 8.20
47.10, 3575, -106, 44.28, 8.20
47.15, 3576, -103, 44.31, 8.20
47.20, 3580, -100, 44.28, 8.20
47.25, 3590, -98, 44.29, 8.20
47.30, 3571, -98, 44.29, 8.20
47.35, 3574, -97, 44.28, 8.20
47.40, 3579, -93, 44.28, 8.20
47.45, 3573, -87, 44.28, 8.20
47.50, 3565, -81, 44.26, 8.20
47.55, 3563, -77, 44.26, 8.20
47.60, 3558, -75, 44.24, 8.20
47.65, 3557, -76, 44.24, 8.20
47.70, 3561, -78, 44.24, 8.20
47.75, 3546, -80, 44.24, 8.20
47.80, 3568, -80, 44.24, 8.20
47.85, 3554, -77, 44.24, 8.20
47.90, 3547, -72, 44.24, 8.20
47.95, 3505, -71, 44.24, 8.20
48.00, 3442, -73, 44.24, 8.20
48.05, 3438, -78, 44.24, 8.20
48.10, 3486, -84, 44.22, 8.20
48.15, 3497, -89, 44.22, 8.20
48.20, 3485, -92, 44.20, 8.20
48.25, 3469, -95, 44.20, 8.20
48.30, 3459, -96, 44.20, 8.20
48.35, 3462, -96, 44.19, 8.20
48.40, 3471, -94, 44.19, 8.20
48.45, 3484, -91, 44.19, 8.20
48.50, 3494, -90, 44.17, 8.20
48.55, 3505, -94, 44.19, 8.20
48.60, 3480, -102, 44.19, 8.20
48.65, 3479, -114, 44.17, 8.20
48.70, 3455, -125, 44.13, 8.20
48.75, 3443, -130, 44.13, 8.20
48.80, 3455, -131, 44.11, 8.20
48.85, 3456, -125, 44.13, 8.20
48.90, 3432, -118, 44.13, 8.20
48.95, 3405, -109, 44.13, 8.20
49.00, 3393, -100, 44.13, 8.20
49.05, 3402, -93, 44.13, 8.20
49.10, 3407, -87, 44.13, 8.20
49.15, 3404, -80, 44.13, 8.20
49.20, 3392, -74, 44.13, 8.20
49.25, 3386, -69, 44.13, 8.20
49.30, 3390, -67, 44.13, 8.20
49.35, 3382, -71, 44.13, 8.20
49.40, 3375, -81, 44.13, 8.20
49.45, 3423, -97, 44.13, 8.20
49.50, 3409, -114, 44.11, 8.20
49.55, 3377, -127, 44.13, 8.20
49.60, 3316, -134, 44.13, 8.20
49.65, 3288, -134, 44.11, 8.20
49.70, 3288, -129, 44.11, 8.20
49.75, 3301, -124, 44.10, 8.20
49.80, 3306, -120, 44.11, 8.20
49.85, 3304, -115, 44.10, 8.20
49.90, 3288, -110, 44.11, 8.20
49.95, 3272, -103, 44.10, 8.20
50.00, 3270, -95, 44.08, 8.20
50.05, 3295, -88, 44.08, 8.20
50.10, 3327, -81, 44.08, 8.20
50.15, 3356, -77, 44.08, 8.20
50.20, 3359, -77, 44.04, 8.20
50.25, 3326, -81, 44.02, 8.20
50.30, 3326, -89, 44.04, 8.20
50.35, 3350, -97, 44.01, 8.20
50.40, 3323, -102, 44.02, 8.20
50.45, 3247, -101, 44.01, 8.20
50.50, 3210, -91, 44.01, 8.20
50.55, 3209, -75, 43.97, 8.20
50.60, 3205, -58, 43.97, 8.20
50.65, 3206, -46, 43.97, 8.20
50.70, 3216, -42, 43.97, 8.20
50.75, 3223, -45, 43.95, 8.20
50.80, 3219, -54, 43.93, 8.20
50.85, 3210, -65, 43.93, 8.20
50.90, 3207, -75, 43.93, 8.20
50.95, 3209, -82, 43.93, 8.20
51.00, 3232, -86, 43.93, 8.20
51.05, 3252, -88, 43.93, 8.20
51.10, 3259, -86, 43.92, 8.20
51.15, 3260, -83, 43.90, 8.20
51.20, 3244, -78, 43.90, 8.20
51.25, 3221, -70, 43.88, 8.20
51.30, 3187, -60, 43.88, 8.20
51.35, 3164, -47, 43.86, 8.20
51.40, 3175, -32, 43.84, 8.20
51.45, 3212, -17, 43.84, 8.20
51.50, 3230, -5, 43.84, 8.20
51.55, 3230, 1, 43.84, 8.20
51.60, 3226, 1, 43.84, 8.20
51.65, 3226, -1, 43.84, 8.20
51.70, 3223, -5, 43.81, 8.20
51.75, 3208, -10, 43.83, 8.20
51.80, 3176, -15, 43.81, 8.20
51.85, 3132, -22, 43.81, 8.20
51.90, 3097, -32, 43.79, 8.20
51.95, 3096, -42, 43.75, 8.20
52.00, 3122, -53, 43.79, 8.20
52.05, 3161, -63, 43.75, 8.20
52.10, 3181, -71, 43.75, 8.20
52.15, 3193, -74, 43.75, 8.20
52.20, 3196, -72, 43.74, 8.20
52.25, 3211, -65, 43.75, 8.20
52.30, 3233, -56, 43.72, 8.20
52.35, 3246, -50, 43.72, 8.20
52.40, 3245, -50, 43.72, 8.20
52.45, 3222, -57, 43.72, 8.20
52.50, 3224, -65, 43.72, 8.20
52.55, 3208, -72, 43.70, 8.20
52.60, 3213, -75, 43.66, 8.20
52.65, 3202, -74, 43.66, 8.20
52.70, 3192, -70, 43.66, 8.20
52.75, 3202, -64, 43.63, 8.20
52.80, 3185, -57, 43.63, 8.20
52.85, 3141, -50, 43.63, 8.20
52.90, 3127, -46, 43.63, 8.20
52.95, 3124, -47, 43.61, 8.20
53.00, 3129, -52, 43.61, 8.20
53.05, 3107, -61, 43.61, 8.20
53.10, 3101, -72, 43.61, 8.20
53.15, 3086, -83, 43.57, 8.20
53.20, 3077, -93, 43.57, 8.20
53.25, 3081, -103, 43.61, 8.20
53.30, 3100, -112, 43.56, 8.20
53.35, 3119, -120, 43.56, 8.20
53.40, 3098, -123, 43.56, 8.20
53.45, 3083, -124, 43.57, 8.20
53.50, 3075, -121, 43.61, 8.20
53.55, 3072, -117, 43.61, 8.20
53.60, 3073, -113, 43.61, 8.20
53.65, 3089, -111, 43.63, 8.20
53.70, 3078, -109, 43.63, 8.20
53.75, 3059, -107, 43.61, 8.20
53.80, 3037, -102, 43.61, 8.20
53.85, 3027, -96, 43.63, 8.20
53.90, 3022, -90, 43.63, 8.20
53.95, 3034, -85, 43.61, 8.20
54.00, 3046, -83, 43.61, 8.20
54.05, 3032, -82, 43.61, 8.20
54.10, 3024, -82, 43.63, 8.20
54.15, 3016, -82, 43.63, 8.20
54.20, 3025, -83, 43.65, 8.20
54.25, 3001, -86, 43.65, 8.20
54.30, 3002, -90, 43.65, 8.20
54.35, 2988, -93, 43.65, 8.20
54.40, 2977, -94, 43.65, 8.20
54.45, 2979, -93, 43.66, 8.20
54.50, 2991, -92, 43.66, 8.20
54.55, 2990, -91, 43.66, 8.20
54.60, 2994, -91, 43.63, 8.20
54.65, 2988, -91, 43.63, 8.20
54.70, 2972, -88, 43.65, 8.20
54.75, 2970, -84, 43.65, 8.20
54.80, 2963, -81, 43.65, 8.20
54.85, 2964, -80, 43.66, 8.20
54.90, 2967, -82, 43.66, 8.20
54.95, 2964, -86, 43.66, 8.20
55.00, 2954, -90, 43.66, 8.20
55.05, 2938, -92, 43.66, 8.20
55.10, 2922, -92, 43.66, 8.20
55.15, 2929, -91, 43.65, 8.20
55.20, 2924, -88, 43.66, 8.20
55.25, 2922, -86, 43.66, 8.20
55.30, 2915, -84, 43.66, 8.20
55.35, 2911, -81, 43.66, 8.20
55.40, 2906, -80, 43.66, 8.20
55.45, 2900, -80, 43.66, 8.20
55.50, 2898, -81, 43.68, 8.20
55.55, 2898, -81, 43.66, 8.20
55.60, 2897, -81, 43.68, 8.20
55.65, 2898, -79, 43.66, 8.20
55.70, 2897, -77, 43.63, 8.20
55.75, 2890, -76, 43.65, 8.20
55.80, 2887, -76, 43.65, 8.20
55.85, 2875, -77, 43.66, 8.20
55.90, 2862, -78, 43.66, 8.20
55.95, 2853, -77, 43.68, 8.20
56.00, 2849, -77, 43.66, 8.20
56.05, 2845, -75, 43.68, 8.20
56.10, 2842, -73, 43.68, 8.20
56.15, 2840, -72, 43.68, 8.20
56.20, 2843, -71, 43.65, 8.20
56.25, 2839, -70, 43.66, 8.20
56.30, 2830, -69, 43.66, 8.20
56.35, 2821, -69, 43.66, 8.20
56.40, 2829, -71, 43.68, 8.20
56.45, 2842, -75, 43.68, 8.20
56.50, 2821, -80, 43.68, 8.20
56.55, 2822, -85, 43.70, 8.20
56.60, 2836, -89, 43.68, 8.20
56.65, 2835, -91, 43.68, 8.20
56.70, 2825, -90, 43.66, 8.20
56.75, 2823, -84, 43.68, 8.20
56.80, 2805, -74, 43.68, 8.20
56.85, 2804, -66, 43.68, 8.20
56.90, 2820, -64, 43.68, 8.20
56.95, 2799, -71, 43.66, 8.20
57.00, 2789, -89, 43.68, 8.20
57.05, 2791, -106, 43.66, 8.20
57.10, 2786, -118, 43.68, 8.20
57.15, 2778, -120, 43.66, 8.20
57.20, 2784, -110, 43.65, 8.20
57.25, 2792, -95, 43.65, 8.20
57.30, 2774, -81, 43.63, 8.20
57.35, 2712, -72, 43.65, 8.20
57.40, 2696, -73, 43.65, 8.20
57.45, 2729, -82, 43.65, 8.20
57.50, 2726, -92, 43.66, 8.20
57.55, 2718, -99, 43.63, 8.20
57.60, 2716, -100, 43.63, 8.20
57.65, 2714, -93, 43.63, 8.20
57.70, 2714, -83, 43.63, 8.20
57.75, 2717, -73, 43.61, 8.20
57.80, 2754, -64, 43.61, 8.20
57.85, 2795, -59, 43.61, 8.20
57.90, 2720, -58, 43.61, 8.20
57.95, 2630, -58, 43.61, 8.20
58.00, 2609, -59, 43.61, 8.20
58.05, 2586, -61, 43.57, 8.20
58.10, 2590, -63, 43.56, 8.20
58.15, 2591, -67, 43.56, 8.20
58.20, 2642, -70, 43.56, 8.20
58.25, 2705, -74, 43.52, 8.20
58.30, 2727, -75, 43.52, 8.20
58.35, 2716, -75, 43.52, 8.20
58.40, 2679, -73, 43.52, 8.20
58.45, 2629, -68, 43.48, 8.20
58.50, 2600, -62, 43.48, 8.20
58.55, 2615, -56, 43.48, 8.20
58.60, 2649, -52, 43.47, 8.20
58.65, 2667, -53, 43.45, 8.20
58.70, 2678, -58, 43.43, 8.20
58.75, 2699, -68, 43.38, 8.20
58.80, 2714, -75, 43.38, 8.20
58.85, 2700, -77, 43.38, 8.20
58.90, 2687, -70, 43.36, 8.20
58.95, 2667, -55, 43.36, 8.20
59.00, 2673, -42, 43.36, 8.20
59.05, 2680, -34, 43.36, 8.20
59.10, 2648, -37, 43.36, 8.20
59.15, 2639, -48, 43.34, 8.20
59.20, 2640, -64, 43.32, 8.20
59.25, 2628, -78, 43.32, 8.20
59.30, 2630, -84, 43.32, 8.20
59.35, 2611, -83, 43.29, 8.20
59.40, 2594, -75, 43.30, 8.20
59.45, 2595, -65, 43.30, 8.20
59.50, 2623, -59, 43.30, 8.20
59.55, 2631, -59, 43.29, 8.20
59.60, 2624, -64, 43.29, 8.20
59.65, 2614, -72, 43.30, 8.20
59.70, 2587, -80, 43.29, 8.20
59.75, 2605, -86, 43.29, 8.20
59.80, 2601, -89, 43.29, 8.20
59.85, 2580, -90, 43.27, 8.20
59.90, 2569, -91, 43.25, 8.20
59.95, 2557, -92, 43.25, 8.20
60.00, 2548, -93, 43.25, 8.20
60.05, 2534, -94, 43.25, 8.20
60.10, 2523, -92, 43.23, 8.20
60.15, 2519, -89, 43.23, 8.20
60.20, 2518, -86, 43.23, 8.20
60.25, 2525, -83, 43.23, 8.20
60.30, 2540, -83, 43.23, 8.20
60.35, 2525, -86, 43.23, 8.20
60.40, 2514, -91, 43.23, 8.20
60.45, 2513, -96, 43.23, 8.20
60.50, 2521, -100, 43.23, 8.20
60.55, 2532, -101, 43.25, 8.20
60.60, 2517, -101, 43.25, 8.20
60.65, 2507, -100, 43.25, 8.20
60.70, 2536, -100, 43.25, 8.20
60.75, 2539, -102, 43.25, 8.20
60.80, 2507, -102, 43.25, 8.20
60.85, 2507, -100, 43.25, 8.20
60.90, 2512, -96, 43.25, 8.20
60.95, 2494, -91, 43.25, 8.20
61.00, 2473, -87, 43.25, 8.20
61.05, 2458, -84, 43.25, 8.20
61.10, 2469, -82, 43.25, 8.20
61.15, 2475, -83, 43.25, 8.20
61.20, 2482, -84, 43.23, 8.20
61.25, 2473, -87, 43.23, 8.20
61.30, 2447, -88, 43.20, 8.20
61.35, 2420, -88, 43.20, 8.20
61.40, 2412, -88, 43.23, 8.20
61.45, 2415, -88, 43.18, 8.20
61.50, 2416, -89, 43.18, 8.20
61.55, 2422, -93, 43.18, 8.20
61.60, 2428, -98, 43.18, 8.20
61.65, 2431, -102, 43.18, 8.20
61.70, 2379, -105, 43.18, 8.20
61.75, 2378, -106, 43.18, 8.20
61.80, 2384, -103, 43.18, 8.20
61.85, 2388, -101, 43.16, 8.20
61.90, 2385, -97, 43.18, 8.20
61.95, 2378, -94, 43.18, 8.20
62.00, 2369, -92, 43.18, 8.20
62.05, 2366, -93, 43.18, 8.20
62.10, 2368, -94, 43.16, 8.20
62.15, 2360, -95, 43.18, 8.20
62.20, 2355, -94, 43.16, 8.20
62.25, 2349, -91, 43.18, 8.20
62.30, 2347, -85, 43.14, 8.20
62.35, 2349, -80, 43.16, 8.20
62.40, 2358, -76, 43.16, 8.20
62.45, 2353, -76, 43.14, 8.20
62.50, 2339, -79, 43.18, 8.20
62.55, 2328, -83, 43.16, 8.20
62.60, 2318, -85, 43.18, 8.20
62.65, 2315, -84, 43.18, 8.20
62.70, 2313, -81, 43.18, 8.20
62.75, 2313, -79, 43.18, 8.20
62.80, 2315, -78, 43.18, 8.20
62.85, 2319, -77, 43.14, 8.20
62.90, 2314, -76, 43.18, 8.20
62.95, 2298, -75, 43.18, 8.20
63.00, 2290, -74, 43.18, 8.20
63.05, 2285, -73, 43.18, 8.20
63.10, 2281, -72, 43.18, 8.20
63.15, 2286, -71, 43.18, 8.20
63.20, 2287, -71, 43.20, 8.20
63.25, 2279, -71, 43.18, 8.20
63.30, 2279, -71, 43.23, 8.20
63.35, 2274, -74, 43.18, 8.20
63.40, 2273, -77, 43.18, 8.20
63.45, 2268, -80, 43.18, 8.20
63.50, 2260, -82, 43.18, 8.20
63.55, 2247, -82, 43.20, 8.20
63.60, 2242, -81, 43.23, 8.20
63.65, 2238, -80, 43.20, 8.20
63.70, 2235, -80, 43.23, 8.20
