key	value	source
altimeter.board	Unknown Altimeter	derived
altimeter.source_folder	root-LDRS-beanboozler-l265-output-post	derived
data.has_parsed_timeseries	true	derived
data.row_count	21291	derived
data.source_file	LDRS-beanboozler-l265-output-post.csv	derived
data.synthetic_time_added	false	derived
data.time_column	timestamp_ms	derived
flight.date	2022-06-11	derived
flight.name	Beanboozler (LDRS)	derived
