	packetType	timestamp_s	timestamp_ms	imu1_accel_x	imu1_accel_y	imu1_accel_z	imu1_gyro_x	imu1_gyro_y	imu1_gyro_z	imu1_mag_x	imu1_mag_y	imu1_mag_z	imu2_accel_x	imu2_accel_y	imu2_accel_z	imu2_gyro_x	imu2_gyro_y	imu2_gyro_z	imu2_mag_x	imu2_mag_y	imu2_mag_z	high_g_accel_x	high_g_accel_y	high_g_accel_z	baro1_temp	baro1_pres	baro2_temp	baro2_pres	gps_lat	gps_long	gps_alt	battery_voltage	pyro_cont	pyro_status	heading	vtg	pos_x	pos_y	pos_z	vel_x	vel_y	vel_z	acc_x	acc_y	acc_z	q_x	q_y	q_z	q_w	state	gps_lat_mod	gps_long_mod	imu1_accel_x_real	imu1_accel_y_real	imu1_accel_z_real	imu2_accel_x_real	imu2_accel_y_real	imu2_accel_z_real	imu1_gyro_x_real	imu1_gyro_y_real	imu1_gyro_z_real	imu2_gyro_x_real	imu2_gyro_y_real	imu2_gyro_z_real	imu1_mag_x_real	imu1_mag_y_real	imu1_mag_z_real	imu2_mag_x_real	imu2_mag_y_real	imu2_mag_z_real	imu_accel_x_avg	imu_accel_y_avg	imu_accel_z_avg	imu_gyro_x_avg	imu_gyro_y_avg	imu_gyro_z_avg	imu_mag_x_avg	imu_mag_y_avg	imu_mag_z_avg	high_g_accel_x_real	high_g_accel_y_real	high_g_accel_z_real	baro_pres_avg	baro_temp_avg
8074	0	857.285	0	-172	1330	-61	-37	99	92	-103	-2568	-2647	-183	1331	-87	36	6	59	905	-1018	-640	-176	32	304	34.29	0.995993091537133	37.56	0.9968319763138416	4449.48779296875	-7309.8701171875	26.5	11.9818115234375	3	0	0.0	0.0	0.0	0.0	0.2493383607966151	0.0	0.0	-0.1700742778434327	0.5312066172	1.2741780344999998	9.5509514079	0.4253633022308349	-0.5410261750221252	0.3691832423210144	0.6245481967926025	6	44.82479654947917	-73.164501953125	-1.2346964616	9.547362174	-0.43788653580000003	-1.3136596074	9.554540641800001	-0.6245266986	-0.011301006866	0.030237829182	0.028099800855999998	0.010995574248	0.001832595708	0.018020524462	-0.05974	-1.48944	-1.53526	0.5249	-0.59044	-0.3712	-1.2741780345	9.550951407900001	-0.5312066172000001	-0.00015271630899999986	0.016035212445	0.023060162659	0.23258	-1.03994	-0.95323	-5.17792	0.94144	8.94368	0.9964125339254872	35.925
8075	0	857.391	0	-172	1323	-56	-46	113	96	-101	-2586	-2660	-185	1331	-84	43	9	70	905	-1018	-640	-128	80	416	34.29	0.9961115223291388	37.56	0.9967628916851716	4449.48779296875	-7309.8701171875	26.700000762939453	11.9818115234375	3	0	0.0	0.0	0.0	0.0	0.2577392786231839	0.0	0.0	-0.1693295469583981	0.5024927459999999	1.2813565023	9.525826770599998	0.4253729581832886	-0.540977418422699	0.3691803216934204	0.6245856881141663	6	44.82479654947917	-73.164501953125	-1.2346964616	9.497112899400001	-0.40199419680000004	-1.3280165430000002	9.554540641800001	-0.6029912952	-0.014049900427999999	0.034513885833999995	0.029321531328	0.013133602574	0.002748893562	0.021380283259999997	-0.05858	-1.49988	-1.5428	0.5249	-0.59044	-0.3712	-1.2813565023	9.525826770600002	-0.502492746	-0.00045814892699999957	0.018631389697999996	0.025350907293999997	0.23316	-1.04516	-0.957	-3.76576	2.3536	12.23872	0.9964372070071552	35.925
8076	0	857.496	0	-173	1331	-61	-48	123	96	-101	-2586	-2660	-187	1332	-84	38	27	69	909	-1010	-716	-192	16	320	34.28	0.9960325684678016	37.56	0.9967135455218356	4449.48779296875	-7309.8701171875	26.700000762939453	11.9490966796875	3	0	0.0	0.0	0.0	0.0	0.2050328329512737	0.0	0.0	-0.2329922354952233	0.5204389155	1.2921242039999998	9.5581298757	0.4254283607006073	-0.5408501625061035	0.3692488670349121	0.6246176362037659	6	44.82479654947917	-73.164501953125	-1.2418749294	9.554540641800001	-0.43788653580000003	-1.3423734786000001	9.5617191096	-0.6029912952	-0.014660765664	0.037568212014	0.029321531328	0.011606439484	0.008246680686	0.021074850641999997	-0.05858	-1.49988	-1.5428	0.52722	-0.5858	-0.41528	-1.292124204	9.5581298757	-0.5204389155	-0.0015271630900000003	0.02290744635	0.025198190985	0.23432	-1.04284	-0.9790399999999999	-5.64864	0.47072	9.4144	0.9963730569948186	35.92
8077	0	857.602	0	-175	1326	-61	-41	109	97	-76	-2564	-2640	-181	1335	-83	35	13	59	909	-1010	-716	-128	-32	352	34.28	0.9962595608191464	37.56	0.9967727609178386	4449.48779296875	-7309.8701171875	26.700000762939453	11.9654541015625	3	0	0.0	0.0	0.0	0.0	0.0970734262115206	0.0	0.0	-0.3489710710724469	0.5168496816	1.2777672684	9.5509514079	0.4254314005374908	-0.5407847762107849	0.3692881762981415	0.624648928642273	6	44.82479654947917	-73.164501953125	-1.256231865	9.5186483028	-0.43788653580000003	-1.2993026718	9.583254513	-0.5958128274000001	-0.012522737337999999	0.033292155361999996	0.029626963946	0.010690141629999999	0.003970624034	0.018020524462	-0.04408	-1.48712	-1.5312000000000001	0.52722	-0.5858	-0.41528	-1.2777672683999999	9.550951407900001	-0.5168496816000001	-0.000916297854	0.018631389697999996	0.023823744204	0.24157	-1.03646	-0.9732400000000001	-3.76576	-0.94144	10.35584	0.9965161608684925	35.92
8078	0	857.707	0	-175	1328	-66	-43	124	94	-76	-2564	-2640	-182	1336	-79	37	22	72	884	-1047	-709	-16	-16	352	34.27	0.9959634838391316	37.57	0.9966839378238342	4449.48779296875	-7309.8701171875	26.700000762939453	11.9654541015625	3	0	0.0	0.0	0.0	0.0	0.1543917207060886	0.0	0.0	-0.277248981056321	0.5204389155	1.2813565023	9.561719109599998	0.4254135191440582	-0.5407647490501404	0.3693372309207916	0.6246494650840759	6	44.82479654947917	-73.164501953125	-1.256231865	9.533005238400001	-0.4737788748	-1.3064811396	9.590432980800001	-0.5670989562000001	-0.013133602574	0.037873644632	0.028710666091999997	0.011301006866	0.006719517596	0.021991148496	-0.04408	-1.48712	-1.5312000000000001	0.51272	-0.60726	-0.41122000000000003	-1.2813565023	9.561719109600002	-0.5204389155	-0.000916297854	0.022296581114	0.025350907293999997	0.23431999999999997	-1.04719	-0.9712100000000001	-0.47072	-0.47072	10.35584	0.9963237108314829	35.92
8079	0	857.813	0	-170	1327	-64	-47	108	96	-106	-2596	-2630	-180	1338	-84	51	18	65	884	-1047	-709	-112	80	352	34.28	0.9961016530964716	37.56	0.9967826301505058	4449.48779296875	-7309.8701171875	26.700000762939453	11.9981689453125	3	0	0.0	0.0	0.0	0.0	0.1275181829867171	0.0	0.0	-0.3029352819655885	0.5312066172	1.2562318649999995	9.5653083435	0.4166294634342193	-0.54676753282547	0.3618477880954742	0.629707396030426	6	44.82479654947917	-73.164501953125	-1.220339526	9.5258267706	-0.4594219392	-1.292124204	9.6047899164	-0.6029912952	-0.014355333045999999	0.032986722744	0.029321531328	0.015577063518	0.005497787124	0.01985312017	-0.06148	-1.50568	-1.5254	0.51272	-0.60726	-0.41122000000000003	-1.2562318650000002	9.5653083435	-0.5312066172000001	0.0006108652360000003	0.019242254934	0.024587325749	0.22562	-1.05647	-0.96831	-3.29504	2.3536	10.35584	0.9964421416234888	35.92
8080	0	857.918	0	-166	1327	-61	-62	112	103	-106	-2596	-2630	-181	1336	-83	33	16	62	910	-1033	-644	-128	32	288	34.29	0.995993091537133	37.56	0.99673328398717	4449.48779296875	-7309.8701171875	26.700000762939453	11.9490966796875	3	0	0.0	0.0	0.0	0.0	0.1180678955126395	0.0	0.0	-0.3049653021810785	0.5168496816	1.2454641633	9.5581298757	0.4165809452533722	-0.5467371344566345	0.3618459403514862	0.6297669410705566	6	44.82479654947917	-73.164501953125	-1.1916256548000002	9.5258267706	-0.43788653580000003	-1.2993026718	9.590432980800001	-0.5958128274000001	-0.018936822316	0.034208453215999995	0.031459559654	0.010079276394	0.004886921888	0.018936822316	-0.06148	-1.50568	-1.5254	0.5278	-0.59914	-0.37352	-1.2454641633	9.5581298757	-0.5168496816000001	-0.004428772961	0.019547687552	0.025198190985	0.23316000000000003	-1.05241	-0.9494600000000001	-3.76576	0.94144	8.47296	0.9963631877621515	35.925
8081	0	858.024	0	-179	1329	-49	-51	120	105	-95	-2588	-2655	-179	1339	-82	42	21	76	910	-1033	-644	-192	96	320	34.29	0.9960029607698	37.56	0.9967826301505058	4449.48779296875	-7309.8701171875	26.700000762939453	11.9490966796875	3	0	0.0	0.0	0.0	0.0	0.1221280792319657	0.0	0.0	-0.292377724425756	0.4701896409	1.2849457362	9.5760760452	0.4165697395801544	-0.5466394424438477	0.3618740737438202	0.62984299659729	6	44.82479654947917	-73.164501953125	-1.2849457362	9.5401837062	-0.35174492220000003	-1.2849457362	9.6119683842	-0.5886343596	-0.015577063518	0.03665191416	0.03207042489	0.012828169956	0.006414084978	0.023212878968	-0.0551	-1.50104	-1.5399	0.5278	-0.59914	-0.37352	-1.2849457362	9.5760760452	-0.47018964090000004	-0.0013744467809999996	0.021532999569	0.027641651928999998	0.23635000000000003	-1.05009	-0.9567100000000001	-5.64864	2.82432	9.4144	0.9963927954601529	35.925
8082	0	858.129	0	-174	1330	-59	-53	122	100	-95	-2588	-2655	-178	1331	-76	44	10	67	916	-1032	-615	-144	64	416	34.27	0.9960621761658032	37.57	0.9966839378238342	4449.48779296875	-7309.8701171875	26.700000762939453	11.9818115234375	3	0	0.0	0.0	0.0	0.0	0.0745796609448362	0.0	0.0	-0.3356017890663469	0.4845465764999999	1.2634103328	9.5509514079	0.4165225625038147	-0.5466001033782959	0.3618969023227691	0.6298952698707581	6	44.82479654947917	-73.164501953125	-1.2490533972	9.547362174	-0.4235296002	-1.2777672684	9.554540641800001	-0.5455635528	-0.016187928754	0.037262779396	0.0305432618	0.013439035192	0.0030543261799999997	0.020463985405999998	-0.0551	-1.50104	-1.5399	0.53128	-0.59856	-0.3567	-1.2634103328	9.550951407900001	-0.4845465765	-0.0013744467809999996	0.020158552788	0.025503623603	0.23809	-1.0497999999999998	-0.9483	-4.23648	1.88288	12.23872	0.9963730569948187	35.92
8083	0	858.234	0	-172	1328	-54	-53	118	106	-67	-2590	-2608	-174	1334	-76	34	8	66	916	-1032	-615	-224	-32	224	34.29	0.995993091537133	37.56	0.9968418455465088	4449.48779296875	-7309.8701171875	26.700000762939453	11.9654541015625	3	0	0.0	0.0	0.0	0.0	0.1080851346338064	0.0	0.0	-0.2922578752447649	0.4666004069999999	1.2418749293999998	9.5545406418	0.4165194034576416	-0.5465388298034668	0.3619740009307861	0.629906177520752	6	44.82479654947917	-73.164501953125	-1.2346964616	9.533005238400001	-0.3876372612	-1.2490533972	9.5760760452	-0.5455635528	-0.016187928754	0.036041048924	0.032375857508	0.010384709011999999	0.002443460944	0.020158552788	-0.03886	-1.5022	-1.51264	0.53128	-0.59856	-0.3567	-1.2418749294	9.554540641800001	-0.46660040700000005	-0.002901609871	0.019242254934	0.026267205147999996	0.24620999999999998	-1.05038	-0.93467	-6.59008	-0.94144	6.59008	0.9964174685418209	35.925
