packetType,timestamp_s,timestamp_ms,lineCutterNumber,state,timestamp,pressure,altitude,deltaAltitude,temperature,accelNorm,battery,cutSense1,cutSense2,currentSense,photoresistor
1,337655,137691397,62,0,101179,3231281212,-0.20843230187892914,850.7645874023438,0.9948811531066895,3.913196563720703,3.1591417404581606e-37,473,0,144,640
1,338610,193396997,62,0,101179,3231281212,-0.1667451709508896,850.4278564453125,0.994202733039856,3.913196563720703,3.159141292042652e-37,470,0,176,544
1,340093,294977797,62,0,101173,3230232133,0.3334903419017792,849.9550170898438,0.9980463981628418,3.9272727966308594,3.159141292042652e-37,471,0,192,592
1,340942,350683397,62,0,101178,3231106369,0.0,849.2672119140625,0.9934541583061218,3.9272727966308594,3.159141292042652e-37,470,0,160,608
1,341792,406388997,62,0,101182,3231805732,0.041684459894895554,848.471923828125,0.995235800743103,3.913196563720703,3.159141292042652e-37,471,1,176,592
1,342536,458817797,62,0,101172,3230057282,0.16674917936325073,848.0778198242188,0.9956478476524353,3.913196563720703,3.144447388449619e-37,471,0,176,608
1,343385,507969797,62,0,101177,3230931525,-0.08337325602769852,847.5977172851562,0.993755042552948,3.9272727966308594,3.1738349714279306e-37,472,0,144,656
1,344234,566952197,62,0,101181,3231630893,-0.2501157522201538,846.7020263671875,0.9953847527503967,3.906158447265625,3.144447388449619e-37,471,2,192,688
1,345086,622657797,62,0,101172,3230057282,0.20843563973903656,846.4010620117188,0.9958901405334473,3.913196563720703,3.159141292042652e-37,470,0,144,672
1,345830,675086597,62,0,101175,3230581832,-0.04168712720274925,846.1502075195312,0.9909148216247559,3.9272727966308594,3.1297537090643405e-37,471,1,144,576
1,346679,727515397,62,0,101179,3231281212,-0.08337192237377167,846.67333984375,0.993484377861023,3.9202346801757812,3.1591410678348977e-37,470,1,160,624
1,347529,783220997,62,0,101183,3231980569,-0.37517213821411133,847.2752685546875,0.998076856136322,3.913196563720703,3.1738349714279306e-37,469,0,160,656
1,348378,842203397,62,0,101184,3232155405,-0.37516912817955017,847.3756103515625,0.9976353049278259,3.9202346801757812,3.1297539332720948e-37,470,2,128,576
1,349227,894632197,62,0,101185,3232330240,-0.291793555021286,847.4185791015625,0.996559202671051,3.913196563720703,3.1591410678348977e-37,470,0,224,624
1,349968,947060997,62,0,101183,3231980569,0.04168412461876869,847.7410278320312,0.9962846040725708,3.9202346801757812,3.173835195635685e-37,469,0,192,608
1,350818,996212997,62,0,101186,3232505073,-0.1250513792037964,847.8055419921875,0.9973099827766418,3.9272727966308594,3.1738347472201763e-37,470,1,160,640
1,351560,1048641797,62,0,101184,3232155405,-0.08336858451366425,847.6693725585938,0.9958541393280029,3.9272727966308594,3.144447388449619e-37,470,1,192,624
1,352304,1097793797,62,0,101184,3232155405,0.0,847.5977172851562,0.9979807138442993,3.9202346801757812,3.1444476126573734e-37,469,0,208,672
1,353153,1150222597,62,0,101182,3231805732,0.16673582792282104,847.1033325195312,0.9955160021781921,3.9272727966308594,3.1444476126573734e-37,469,0,112,672
1,353895,1205928197,62,0,101178,3231106369,0.3334769904613495,846.0355224609375,0.9966276288032532,3.9202346801757812,3.159141292042652e-37,470,0,160,672
1,355379,1300955397,62,0,101184,3232155405,-0.08336858451366425,846.63037109375,0.9994459748268127,3.9202346801757812,3.129754157479849e-37,471,0,128,720
1,356121,1350107397,62,0,101186,3232505073,-0.16673582792282104,846.9456787109375,0.9968394041061401,3.9202346801757812,3.144447388449619e-37,471,1,208,608
1,356970,1402536197,62,0,101184,3232155405,-0.12505337595939636,847.0316772460938,0.9988851547241211,3.913196563720703,3.159141292042652e-37,471,0,192,624
1,357715,1451688197,62,0,101181,3231630893,0.12505337595939636,847.2968139648438,0.9950276017189026,3.9272727966308594,3.1591410678348977e-37,471,2,128,672
1,358563,1504116997,62,0,101182,3231805732,0.20841895043849945,847.325439453125,0.9952448606491089,3.9272727966308594,3.173835195635685e-37,473,0,192,704
1,359307,1556545797,62,0,101182,3231805732,0.08336858451366425,846.8453369140625,0.994317352771759,3.9343109130859375,3.1444476126573734e-37,471,2,144,640
1,360158,1608974597,62,0,101182,3231805732,0.041684459894895554,846.4368896484375,0.997040331363678,3.9202346801757812,3.159141292042652e-37,470,0,192,688
1,361006,1667956997,62,0,101183,3231980569,0.04168412461876869,846.1716918945312,0.996003270149231,3.913196563720703,3.159141292042652e-37,471,2,128,608
1,361856,1720385797,62,0,101184,3232155405,-0.12505337595939636,846.18603515625,0.9982185959815979,3.9202346801757812,3.144447388449619e-37,472,1,96,688
1,362599,1772814597,62,0,101181,3231630893,-0.1667425036430359,846.14306640625,0.99796062707901,3.913196563720703,3.1444476126573734e-37,470,0,144,656
1,363343,1821966597,62,0,101185,3232330240,0.0,846.2147216796875,0.9959841370582581,3.913196563720703,3.1591415162504063e-37,470,2,144,672
1,364087,1874395397,62,0,101186,3232505073,-0.04168345779180527,846.4942016601562,0.9963642954826355,3.9202346801757812,3.1444478368651277e-37,471,0,160,608
1,364937,1923547397,62,0,101183,3231980569,0.0,846.4942016601562,0.998602032661438,3.9272727966308594,3.1591410678348977e-37,470,2,176,656
1,365680,1975976197,62,0,101179,3231281212,0.20842395722866058,846.408203125,0.9971848726272583,3.9272727966308594,3.1444476126573734e-37,472,2,192,704
1,366424,2028404997,62,0,101181,3231630893,0.08336924761533737,845.9925537109375,0.9957478046417236,3.913196563720703,3.159141292042652e-37,470,1,144,624
1,368014,2120155397,62,0,101180,3231456053,-0.04168545827269554,846.085693359375,0.9944601655006409,3.9272727966308594,3.144447388449619e-37,470,2,144,608
1,368863,2179137797,62,0,101183,3231980569,-0.1667398363351822,845.7489013671875,0.997842013835907,3.913196563720703,3.1591415162504063e-37,469,0,176,688
1,369591,2231566597,62,0,101185,3232330240,-0.2501077651977539,845.72021484375,0.9966801404953003,3.9202346801757812,3.173835195635685e-37,470,0,144,688
1,370335,2283995397,62,0,101182,3231805732,0.20841895043849945,846.0785522460938,0.9996406435966492,3.913196563720703,3.1444476126573734e-37,471,1,160,624
1,371185,2333147397,62,0,101187,3232679905,0.0,846.1143798828125,0.9951189756393433,3.913196563720703,3.1444478368651277e-37,471,0,208,672
1,371930,2385576197,62,0,101180,3231456053,0.0833699181675911,846.307861328125,0.9954683780670166,3.9202346801757812,3.1444476126573734e-37,469,0,128,720
1,372779,2438004997,62,0,101186,3232505073,-0.2917912006378174,845.74169921875,0.9962878227233887,3.913196563720703,3.1444476126573734e-37,472,1,192,624
1,373523,2487156997,62,0,101185,3232330240,-0.3334796726703644,845.4478759765625,0.9955345988273621,3.9202346801757812,3.1444476126573734e-37,471,1,160,704
1,374266,2539585797,62,0,101182,3231805732,0.08336858451366425,845.175537109375,0.9967968463897705,3.9202346801757812,3.1444478368651277e-37,471,2,160,656
1,375115,2588737797,62,0,101181,3231630893,-0.1667425036430359,844.7168579101562,0.9957458972930908,3.9272727966308594,3.144447388449619e-37,471,0,160,704
1,375861,2641166597,62,0,101183,3231980569,0.1250513792037964,845.0537109375,0.997565746307373,3.9272727966308594,3.1444476126573734e-37,468,0,144,672
1,376604,2690318597,62,0,101183,3231980569,0.0,844.9175415039062,0.9963409900665283,3.9272727966308594,3.1591410678348977e-37,473,0,128,688
1,377349,2742747397,62,0,101179,3231281212,0.0,844.5950317382812,0.9960858225822449,3.913196563720703,3.1444476126573734e-37,471,1,192,672
1,378197,2795176197,62,0,101179,3231281212,0.0,843.7636108398438,0.9953621625900269,3.9202346801757812,3.159141292042652e-37,471,2,192,656
1,379047,2847604997,62,0,101183,3231980569,-0.041684459894895554,843.4984130859375,0.9955047369003296,3.9202346801757812,3.1591415162504063e-37,471,0,144,672
1,379790,2900033797,62,0,101181,3231630893,-0.04168512672185898,843.5987548828125,0.9950363039970398,3.9202346801757812,3.159141292042652e-37,469,0,176,736
1,380534,2952462597,62,0,101183,3231980569,-0.08336924761533737,843.4338989257812,0.9934229254722595,3.913196563720703,3.173835195635685e-37,471,1,128,720
1,381385,3001614597,62,0,101180,3231456053,-0.1250573843717575,843.4266967773438,0.9972067475318909,3.913196563720703,3.1444476126573734e-37,469,1,176,656
1,382131,3054043397,62,0,101183,3231980569,0.0,843.2618408203125,0.9947482943534851,3.9272727966308594,3.159141292042652e-37,470,1,176,672
1,382872,3103195397,62,0,101180,3231456053,0.04168512672185898,843.6417846679688,0.9928240776062012,3.9272727966308594,3.1297539332720948e-37,471,0,144,608
1,383721,3155624197,62,0,101184,3232155405,-0.04168412461876869,843.5916137695312,0.99224454164505,3.9343109130859375,3.1738349714279306e-37,471,0,176,624
1,384466,3208052997,62,0,101179,3231281212,0.1667398363351822,844.3369750976562,0.9961389899253845,3.9202346801757812,3.159141292042652e-37,470,1,192,752
1,385317,3257204997,62,0,101180,3231456053,0.25010573863983154,844.7168579101562,0.9963317513465881,3.906158447265625,3.144447388449619e-37,469,0,160,704
1,386063,3309633797,62,0,101180,3231456053,0.12505437433719635,843.5844116210938,0.9963070154190063,3.9202346801757812,3.144447388449619e-37,473,1,128,672
1,386808,3358785797,62,0,101180,3231456053,0.04168512672185898,842.4661865234375,0.9930351376533508,3.9202346801757812,3.1591410678348977e-37,470,1,144,656
1,387552,3411214597,62,0,101183,3231980569,-0.1667398363351822,841.24755859375,0.9944738149642944,3.9202346801757812,3.159141292042652e-37,471,1,240,624
1,388400,3463643397,62,0,101179,3231281212,0.04168545827269554,840.7958984375,0.9919173717498779,3.9272727966308594,3.144447388449619e-37,471,1,160,672
1,389144,3512795397,62,0,101180,3231456053,0.04168512672185898,841.1471557617188,0.9945910573005676,3.9202346801757812,3.1444476126573734e-37,470,1,160,704
1,389889,3565224197,62,0,101179,3231281212,0.12505537271499634,841.190185546875,0.9949548244476318,3.9202346801757812,3.1591410678348977e-37,470,0,128,704
1,390741,3614376197,62,0,101177,3230931525,0.041686125099658966,840.1148071289062,0.9971709847450256,3.9272727966308594,3.1738349714279306e-37,471,1,160,672
1,391482,3666804997,62,0,101182,3231805732,-0.04168479144573212,840.1363525390625,0.9945456981658936,3.913196563720703,3.1738347472201763e-37,470,0,192,720
1,392229,3719233797,62,0,101181,3231630893,-0.1667425036430359,839.9857788085938,0.994881272315979,3.9202346801757812,3.1444476126573734e-37,472,0,192,656
1,393080,3768385797,62,0,101180,3231456053,0.04168512672185898,840.0001220703125,0.9962189197540283,3.913196563720703,3.1591410678348977e-37,469,2,208,752
1,393825,3820814597,62,0,101180,3231456053,0.12505437433719635,840.9105834960938,0.9988260269165039,3.9202346801757812,3.1297539332720948e-37,471,0,160,688
1,394672,3873243397,62,0,101185,3232330240,-0.20842228829860687,841.1543579101562,0.9973154067993164,3.9202346801757812,3.159141292042652e-37,470,1,176,624
1,395521,3925672197,62,0,101184,3232155405,0.0,840.9751586914062,0.9944286346435547,3.913196563720703,3.1591410678348977e-37,469,0,240,768
1,396265,3978100997,62,0,101184,3232155405,-0.20842395722866058,840.8460693359375,0.9950214624404907,3.913196563720703,3.1591415162504063e-37,470,0,176,768
