key	value	source
altimeter.board	Unknown Altimeter	derived
altimeter.source_folder	root-sprucegoose-11-19-2-output-FCB-post	derived
data.has_parsed_timeseries	true	derived
data.row_count	6534	derived
data.source_file	sprucegoose-11-19-2-output-FCB-post.csv	derived
data.synthetic_time_added	false	derived
data.time_column	timestamp_ms	derived
flight.date	2022-11-19	derived
flight.name	Spruce Goose	derived
