radio_id,radio_name,rssi,lqi,crc,software_version,board_serial_number,time_stamp_ms,callsign,temperature,fcb_altitude,v_speed,fcb_latitude,fcb_longitude,gps_alt,fcb_battery_voltage,ground_speed,course_over_ground,gps_time,gps_sats,fcb_state_number,ble_client,timestamp,run_number,distance,rot_vel_x,rot_vel_y,rot_vel_z,accel_x,accel_y,accel_z,magnetic_field_x,magnetic_field_y,magnetic_field_z,roll,pitch,yaw,orientation_quaternion,orientation_rpy,barometer_pressure,barometer_2_pressure,press_ref,ground_elev,ground_temp,gs_lat,gs_lon,gs_alt,gs_baro,gs_temp,pyro_continuity,pyro_status,flash_usage
0,433 MHz Radio,-59 db,6,Good,0,0,853008,KM6GNL,34.279998779296875,0.10678111761808395,-0.2231963872909546,44.82479654947917,-73.16451009114583,28.700000762939453,11.9818115234375,0.0,0.0,2022-10-15 12:52:01,0,6,0,2022-10-15 12:52:07,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-58 db,6,Good,0,0,853204,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:07,1,,0.0005345020908862352,0.0015118882292881608,-0.0017104160506278276,0.5312066078186035,1.2598210573196411,9.561718940734863,0.3636600077152252,0.2140199989080429,0.57014000415802,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-58 db,5,Good,0,0,853400,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:07,1,,-0.002367098582908511,-0.0012369966134428978,0.0016493321163579822,0.5240281224250793,1.3100703954696655,9.522237777709961,0.3688800036907196,0.22098000347614288,0.5672399997711182,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-58 db,6,Good,0,0,853475,KM6GNL,,,,,,,,,,,,,,2022-10-15 12:52:07,1,,,,,,,,,,,,,,,,0.9961214065551758,0.9967333078384399,0.9964668154716492,0.0,16.0,,,,,,,,
0,433 MHz Radio,-58 db,4,Good,0,0,853610,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:08,1,,-0.003436109283939004,-0.0006261333473958075,0.0002748896658886224,0.5635097026824951,1.2634103298187256,9.558130264282227,0.35989001393318176,0.2192399948835373,0.5681099891662598,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-58 db,5,Good,0,0,853610,KM6GNL,34.27000045776367,-0.0273685771971941,-0.3323109745979309,44.82479654947917,-73.16451009114583,28.399999618530273,11.9818115234375,0.0,0.0,2022-10-15 12:52:01,0,6,0,2022-10-15 12:52:08,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-58 db,3,Good,0,0,853806,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:08,1,,0.004337127786129713,-7.634625944774598e-05,-0.002855782862752676,0.4630111753940582,1.2562319040298462,9.54377269744873,0.35931000113487244,0.21344000101089478,0.5675299763679504,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-58 db,7,Good,0,0,853806,KM6GNL,34.27000045776367,-0.024059506133198738,-0.30729904770851135,44.82479654947917,-73.16451009114583,28.100000381469727,11.9818115234375,0.0,0.0,2022-10-15 12:52:01,0,6,0,2022-10-15 12:52:08,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-58 db,3,Good,0,0,854002,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:08,1,,0.001282811164855957,-0.000992641202174127,4.581776011036709e-05,0.5168496966362,1.2562319040298462,9.53659439086914,0.3604699969291687,0.2166299968957901,0.5660799741744995,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-59 db,8,Good,0,0,854213,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:08,1,,-0.0008552104118280113,0.0017562436405569315,-0.0007177613442763686,0.5204389095306396,1.2921241521835327,9.554540634155273,0.36945998668670654,0.21807999908924103,0.5660799741744995,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-59 db,4,Good,0,0,854213,KM6GNL,34.279998779296875,0.031573355197906494,-0.22280463576316833,44.82479654947917,-73.16451009114583,28.0,11.9490966796875,0.0,0.0,2022-10-15 12:52:01,0,6,0,2022-10-15 12:52:08,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-58 db,5,Good,0,0,854408,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:08,1,,0.003878980176523328,0.002061675302684307,-0.0008704771753400564,0.48813581466674805,1.2598210573196411,9.558130264282227,0.36278998851776123,0.2183700054883957,0.5643399953842163,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-59 db,6,Good,0,0,854408,KM6GNL,34.279998779296875,-0.012686309404671192,-0.2734604477882385,44.82479654947917,-73.16451009114583,28.0,11.9654541015625,0.0,0.0,2022-10-15 12:52:01,0,6,0,2022-10-15 12:52:08,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2022-10-15 12:52:08,1,,,,,,,,,,,,,,,,,,,,,44.824609375,-73.165087890625,37.20000076293945,1.0063261781396498,24.03,,,
0,433 MHz Radio,-61 db,5,Good,0,0,854604,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:08,1,,-0.0008552104118280113,0.0009926644852384925,0.0005039652460254729,0.5060819983482361,1.2634103298187256,9.522237777709961,0.3653999865055084,0.21344000101089478,0.5698500275611877,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-61 db,11,Good,0,0,854604,KM6GNL,34.290000915527344,-0.0704120546579361,-0.3246755301952362,44.82479654947917,-73.16451009114583,28.0,11.9818115234375,0.0,0.0,2022-10-15 12:52:01,0,6,0,2022-10-15 12:52:09,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-60 db,6,Good,0,0,854695,KM6GNL,,,,,,,,,,,,,,2022-10-15 12:52:09,1,,,,,,,,,,,,,,,,0.9959832429885864,0.9968714714050293,0.9964668154716492,0.0,16.0,,,,,,,,
0,433 MHz Radio,-61 db,8,Good,0,0,854800,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:09,1,,-4.58151989732869e-05,-0.00021380583348218352,0.0006872227531857789,0.48813581466674805,1.277767300605774,9.540184020996094,0.3613399863243103,0.21431000530719757,0.5663700103759766,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-61 db,8,Good,0,0,855011,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:09,1,,0.0034666487481445074,0.0032986581791192293,-0.00022907218954060227,0.5455635786056519,1.2382856607437134,9.522237777709961,0.3604699969291687,0.2166299968957901,0.5695599913597107,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-60 db,9,Good,0,0,855011,KM6GNL,34.27000045776367,0.013209080323576927,-0.2136981338262558,44.82479654947917,-73.16451009114583,27.899999618530273,11.9654541015625,0.0,0.0,2022-10-15 12:52:01,0,6,0,2022-10-15 12:52:09,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-61 db,10,Good,0,0,855207,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:09,1,,0.004993807058781385,0.003756805555894971,-0.0011453671613708138,0.5491527915000916,1.26699960231781,9.565308570861816,0.3572799861431122,0.2166299968957901,0.5672399997711182,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-62 db,8,Good,0,0,855207,KM6GNL,34.279998779296875,0.022493023425340652,-0.21079784631729126,44.82479654947917,-73.16451009114583,27.899999618530273,11.9654541015625,0.0,0.0,2022-10-15 12:52:01,0,6,0,2022-10-15 12:52:09,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-61 db,11,Good,0,0,855403,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:09,1,,0.000565048074349761,-0.002046395791694522,0.002367096720263362,0.5132604241371155,1.2921241521835327,9.561718940734863,0.35844001173973083,0.21807999908924103,0.5770999789237976,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-62 db,10,Good,0,0,855493,KM6GNL,,,,,,,,,,,,,,2022-10-15 12:52:09,1,,,,,,,,,,,,,,,,,,,,,,,,,,"[True, True, False, False, False, False]","[False, False, False, False, False, False, False, False]",5
0,433 MHz Radio,-61 db,9,Good,0,0,855614,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:10,1,,-0.00019853102276101708,0.0029932265169918537,-7.635636575287208e-05,0.47018963098526,1.2239288091659546,9.558130264282227,0.368010014295578,0.22446000576019287,0.5753600001335144,1.1193432352423416,-1.3335974601017089,-0.04565353500120598,"[0.62, 0.42, -0.54, 0.36]","[1.1193432352423416, -1.3335974601017089, -0.04565353500120598]",,,,,,,,,,,,,
0,433 MHz Radio,-61 db,7,Good,0,0,855614,KM6GNL,34.27000045776367,0.13966375589370728,-0.12656813859939575,44.82479654947917,-73.16451009114583,27.700000762939453,11.9818115234375,0.0,0.0,2022-10-15 12:52:01,0,6,0,2022-10-15 12:52:10,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-61 db,12,Good,0,0,855809,KM6GNL,,,,,,,,,,,,6,,2022-10-15 12:52:10,1,,0.0003665210970211774,0.001817322219721973,-0.0024739946238696575,0.5024927258491516,1.3136595487594604,9.518648147583008,0.3596000075340271,0.22301000356674194,0.5736200213432312,0.9777937649133716,-1.3046818127757391,0.022838667846029836,"[0.62, 0.41000000000000003, -0.54, 0.36]","[0.9777937649133716, -1.3046818127757391, 0.022838667846029836]",,,,,,,,,,,,,
0,433 MHz Radio,-61 db,8,Good,0,0,855809,KM6GNL,34.27000045776367,0.2078489512205124,-0.08113588392734528,44.82479654947917,-73.164501953125,27.399999618530273,11.9818115234375,0.0,0.0,2022-10-15 12:52:06,0,6,0,2022-10-15 12:52:10,1,0.6436096823030789,,,,,,,,,,,,,,,,,,,,,,,,,,,
