4132466,6356208,-8323344,1326,-126,0,0,0,0,1597,69,-630,8191,8191,8191,8191,108,4285938,16776674,7363176
4132476,6356080,-8323344,1330,-134,0,0,0,0,1571,67,-671,8191,8191,8191,8191,75,4286112,16776683,7363266
4132486,6355184,-8323216,1330,-124,0,0,0,0,1571,67,-671,8191,8191,8191,8191,65,4286117,16776683,7363251
4132496,6356208,-8323216,1327,-120,0,0,0,0,1571,67,-671,8191,8191,8191,8191,97,4286113,16776696,7363580
4132506,6355312,-8323088,1329,-118,0,0,0,0,1571,67,-671,8191,8191,8191,8191,41,4286257,16776672,7363871
4132517,6355824,-8323088,1331,-116,0,0,0,0,1571,67,-671,8191,8191,8191,8191,65,4285903,16776648,7363724
4132527,6354416,-8323088,1334,-114,0,0,0,0,1571,67,-671,8191,8191,8191,8191,47,4281963,16776678,7363517
4132537,6354416,-8323216,1329,-120,0,0,0,0,1571,67,-671,8191,8191,8191,8191,92,4282121,16776664,7363387
4132547,6355696,-8323088,1325,-125,0,0,0,0,1571,67,-671,8191,8191,8191,8191,69,4281814,16776670,7363437
4132557,6354800,-8323216,1330,-127,0,0,0,0,1571,67,-671,8191,8191,8191,8191,82,4281961,16776690,7363394
4132567,6356336,-8323088,1326,-126,0,0,0,0,1571,67,-671,8191,8191,8191,8191,32,4281871,16776699,7362972
4132577,6355952,-8323216,1325,-127,0,0,0,0,1571,67,-671,8191,8191,8191,8191,90,4281697,16776683,7363753
4132587,6355440,-8323088,1331,-120,0,0,0,0,1571,67,-671,8191,8191,8191,8191,57,4281733,16776664,7363496
4132597,6356336,-8323216,1329,-127,0,0,0,0,1571,67,-671,8191,8191,8191,8191,77,4282151,16776687,7363771
4132607,6355056,-8323088,1329,-120,0,0,0,0,1571,67,-671,8191,8191,8191,8191,88,4281829,16776691,7363219
4132618,6356336,-8322960,1330,-123,0,0,0,0,1571,67,-671,8191,8191,8191,8191,65,4281616,16776671,7363244
4132628,6355440,-8323216,1328,-123,0,0,0,0,1571,67,-671,8191,8191,8191,8191,78,4281930,16776690,7363788
4132638,6355184,-8323216,1322,-120,0,0,0,0,1571,67,-671,8191,8191,8191,8191,69,4282147,16776695,7363984
4132648,6355568,-8323088,1326,-118,0,0,0,0,1571,67,-671,8191,8191,8191,8191,52,4281915,16776689,7363704
4132658,6356080,-8323088,1329,-118,0,0,0,0,1571,67,-671,8191,8191,8191,8191,74,4281943,16776678,7363526
4132668,6355952,-8323088,1324,-120,0,0,0,0,1571,67,-671,8191,8191,8191,8191,86,4284138,16776700,7363598
4132678,6356208,-8323088,1330,-127,0,0,0,0,1574,84,-670,8191,8191,8191,8191,62,4284233,16776662,7363709
4132688,6355696,-8322960,1330,-131,0,0,0,0,1574,84,-670,8191,8191,8191,8191,54,4284208,16776661,7363199
4132698,6356720,-8323216,1323,-133,0,0,0,0,1574,84,-670,8191,8191,8191,8191,91,4284179,16776678,7363245
4132708,6355952,-8323088,1325,-133,0,0,0,0,1574,84,-670,8191,8191,8191,8191,107,4284114,16776680,7363492
4132719,6355056,-8323216,1330,-133,0,0,0,0,1574,84,-670,8191,8191,8191,8191,39,4284057,16776664,7363634
4132729,6355440,-8323344,1325,-129,0,0,0,0,1574,84,-670,8191,8191,8191,8191,60,4283871,16776675,7363827
4132739,6356720,-8323216,1327,-120,0,0,0,0,1574,84,-670,8191,8191,8191,8191,52,4283938,16776648,7363646
4132749,6355824,-8323216,1324,-117,0,0,0,0,1574,84,-670,8191,8191,8191,8191,62,4284294,16776675,7363626
4132759,6355824,-8323088,1326,-124,0,0,0,0,1574,84,-670,8191,8191,8191,8191,50,4284098,16776693,7363170
4132769,6357488,-8323088,1329,-134,0,0,0,0,1574,84,-670,8191,8191,8191,8191,65,4284079,16776701,7363631
4132779,6355568,-8323088,1326,-136,0,0,0,0,1574,84,-670,8191,8191,8191,8191,79,4283915,16776683,7363175
4132789,6357360,-8323216,1329,-132,0,0,0,0,1574,84,-670,8191,8191,8191,8191,78,4284203,16776677,7363236
4132799,6355440,-8323088,1326,-130,0,0,0,0,1574,84,-670,8191,8191,8191,8191,68,4284234,16776736,7363509
4132809,6356080,-8323216,1330,-132,0,0,0,0,1574,84,-670,8191,8191,8191,8191,95,4286117,16776663,7363188
4132820,6356208,-8323216,1327,-127,0,0,0,0,1574,84,-670,8191,8191,8191,8191,62,4286020,16776663,7363393
4132830,6355952,-8323088,1333,-127,0,0,0,0,1574,84,-670,8191,8191,8191,8191,59,4286435,16776677,7363716
4132840,6356080,-8323344,1327,-129,0,0,0,0,1574,84,-670,8191,8191,8191,8191,95,4285959,16776658,7363335
4132850,6356336,-8323216,1336,-134,0,0,0,0,1574,84,-670,8191,8191,8191,8191,51,4286241,16776659,7363404
4132860,6355056,-8323216,1330,-130,0,0,0,0,1574,84,-670,8191,8191,8191,8191,43,4286023,16776661,7363639
4132870,6355440,-8323088,1328,-130,0,0,0,0,1574,84,-670,8191,8191,8191,8191,73,4285988,16776683,7362883
4132880,6355440,-8323216,1328,-126,0,0,0,0,1578,74,-612,8191,8191,8191,8191,38,4285923,16776685,7363580
4132890,6356464,-8323216,1325,-122,0,0,0,0,1578,74,-612,8191,8191,8191,8191,26,4285927,16776691,7363767
4132900,6355568,-8323216,1332,-125,0,0,0,0,1578,74,-612,8191,8191,8191,8191,79,4285903,16776683,7363374
4132910,6356720,-8323216,1329,-131,0,0,0,0,1578,74,-612,8191,8191,8191,8191,59,4286030,16776690,7363794
4132921,6355824,-8323216,1331,-133,0,0,0,0,1578,74,-612,8191,8191,8191,8191,70,4286057,16776669,7363644
4132931,6354800,-8323216,1328,-139,0,0,0,0,1578,74,-612,8191,8191,8191,8191,59,4286461,16776689,7363459
4132941,6355952,-8323216,1326,-137,0,0,0,0,1578,74,-612,8191,8191,8191,8191,81,4286086,16776663,7363479
4132951,6355952,-8323216,1325,-125,0,0,0,0,1578,74,-612,8191,8191,8191,8191,72,4286070,16776664,7363639
4132961,6355568,-8323216,1324,-120,0,0,0,0,1578,74,-612,8191,8191,8191,8191,80,4286057,16776706,7363385
4132971,6355568,-8323344,1326,-121,0,0,0,0,1578,74,-612,8191,8191,8191,8191,43,4286256,16776663,7363787
4132981,6356080,-8323216,1328,-119,0,0,0,0,1578,74,-612,8191,8191,8191,8191,76,4286136,16776695,7363812
4132991,6355696,-8323216,1332,-124,0,0,0,0,1578,74,-612,8191,8191,8191,8191,93,4286332,16776685,7363731
4133001,6355056,-8323088,1327,-122,0,0,0,0,1578,74,-612,8191,8191,8191,8191,61,4285955,16776655,7363944
4133011,6357488,-8323216,1330,-126,0,0,0,0,1578,74,-612,8191,8191,8191,8191,102,4286133,16776720,7363525
4133022,6355312,-8322960,1327,-124,0,0,0,0,1578,74,-612,8191,8191,8191,8191,53,4286093,16776684,7363739
4133032,6354416,-8323216,1329,-119,0,0,0,0,1578,74,-612,8191,8191,8191,8191,74,4285845,16776671,7363386
4133042,6356336,-8323088,1330,-116,0,0,0,0,1578,74,-612,8191,8191,8191,8191,49,4286154,16776682,7363733
4133052,6354672,-8323088,1332,-124,0,0,0,0,1578,74,-612,8191,8191,8191,8191,98,4286100,16776678,7363581
4133062,6356080,-8323216,1330,-123,0,0,0,0,1578,74,-612,8191,8191,8191,8191,93,4285963,16776662,7363933
4133072,6355440,-8323216,1324,-122,0,0,0,0,1578,74,-612,8191,8191,8191,8191,66,4285794,16776703,7363315
4133082,6355696,-8323216,1325,-118,0,0,0,0,1584,61,-652,8191,8191,8191,8191,69,4286045,16776662,7363297
4133092,6356208,-8323216,1320,-117,0,0,0,0,1584,61,-652,8191,8191,8191,8191,76,4283869,16776708,7363673
4133102,6354672,-8323344,1324,-113,0,0,0,0,1584,61,-652,8191,8191,8191,8191,75,4283880,16776675,7363560
4133112,6356720,-8323216,1330,-117,0,0,0,0,1584,61,-652,8191,8191,8191,8191,70,4283896,16776684,7363162
4133123,6354288,-8323216,1324,-119,0,0,0,0,1584,61,-652,8191,8191,8191,8191,39,4284279,16776679,7363446
4133133,6355952,-8323216,1325,-119,0,0,0,0,1584,61,-652,8191,8191,8191,8191,83,4283917,16776691,7363855
4133143,6355440,-8323216,1330,-123,0,0,0,0,1584,61,-652,8191,8191,8191,8191,63,4283782,16776652,7363298
4133153,6356592,-8322960,1326,-127,0,0,0,0,1584,61,-652,8191,8191,8191,8191,83,4283909,16776664,7363533
4133163,6354672,-8323088,1329,-118,0,0,0,0,1584,61,-652,8191,8191,8191,8191,40,4284015,16776720,7363556
4133173,6354800,-8323216,1333,-118,0,0,0,0,1584,61,-652,8191,8191,8191,8191,49,4283904,16776654,7363497
4133183,6356080,-8323216,1329,-124,0,0,0,0,1584,61,-652,8191,8191,8191,8191,62,4284082,16776692,7363065
4133193,6355952,-8323088,1326,-125,0,0,0,0,1584,61,-652,8191,8191,8191,8191,64,4283907,16776710,7363601
4133203,6354928,-8323344,1329,-122,0,0,0,0,1584,61,-652,8191,8191,8191,8191,44,4284059,16776693,7363293
4133213,6355824,-8323216,1324,-126,0,0,0,0,1584,61,-652,8191,8191,8191,8191,73,4284230,16776676,7363618
4133224,6354544,-8323216,1325,-128,0,0,0,0,1584,61,-652,8191,8191,8191,8191,105,4284081,16776675,7363319
4133234,6355568,-8323216,1326,-131,0,0,0,0,1584,61,-652,8191,8191,8191,8191,81,4281979,16776684,7363541
4133244,6356080,-8322960,1331,-127,0,0,0,0,1584,61,-652,8191,8191,8191,8191,52,4281341,16776672,7363104
4133254,6356208,-8323344,1323,-123,0,0,0,0,1584,61,-652,8191,8191,8191,8191,71,4281756,16776694,7363227
4133264,6356464,-8323216,1332,-131,0,0,0,0,1584,61,-652,8191,8191,8191,8191,128,4281800,16776745,7363317
4133274,6356208,-8323088,1329,-123,0,0,0,0,1584,61,-652,8191,8191,8191,8191,91,4281565,16776671,7363043
4133284,6355824,-8323344,1325,-135,0,0,0,0,1584,61,-652,8191,8191,8191,8191,65,4281853,16776725,7363753
4133294,6355568,-8323216,1322,-134,0,0,0,0,1573,60,-620,8191,8191,8191,8191,36,4281834,16776664,7363607
4133304,6355184,-8323216,1327,-135,0,0,0,0,1573,60,-620,8191,8191,8191,8191,21,4281760,16776683,7363797
4133314,6355440,-8323088,1326,-133,0,0,0,0,1573,60,-620,8191,8191,8191,8191,75,4281534,16776690,7363279
4133325,6355184,-8323216,1329,-135,0,0,0,0,1573,60,-620,8191,8191,8191,8191,133,4281786,16776766,7363401
4133335,6356464,-8323088,1329,-134,0,0,0,0,1573,60,-620,8191,8191,8191,8191,15,4281938,16776631,7363492
4133345,6354928,-8323216,1330,-133,0,0,0,0,1573,60,-620,8191,8191,8191,8191,97,4281815,16776702,7362760
4133355,6355568,-8322960,1329,-129,0,0,0,0,1573,60,-620,8191,8191,8191,8191,63,4281527,16776696,7363389
4133365,6355056,-8323088,1330,-133,0,0,0,0,1573,60,-620,8191,8191,8191,8191,35,4281703,16776757,7362975
4133375,6355568,-8323088,1328,-132,0,0,0,0,1573,60,-620,8191,8191,8191,8191,73,4281572,16776693,7363144
4133385,6355312,-8323216,1331,-126,0,0,0,0,1573,60,-620,8191,8191,8191,8191,67,4281743,16776623,7363268
4133395,6356208,-8323216,1332,-129,0,0,0,0,1573,60,-620,8191,8191,8191,8191,102,4281634,16776703,7363458
4133405,6355440,-8323216,1325,-133,0,0,0,0,1573,60,-620,8191,8191,8191,8191,122,4282060,16776685,7363588
4133415,6356848,-8323216,1328,-129,0,0,0,0,1573,60,-620,8191,8191,8191,8191,112,4281793,16776710,7362922
4133426,6355568,-8323088,1324,-133,0,0,0,0,1573,60,-620,8191,8191,8191,8191,110,4282029,16776671,7363838
4133436,6356208,-8323216,1327,-136,0,0,0,0,1573,60,-620,8191,8191,8191,8191,76,4281973,16776745,7363515
4133446,6354800,-8323216,1326,-132,0,0,0,0,1573,60,-620,8191,8191,8191,8191,96,4281903,16776616,7363408
4133456,6356208,-8323216,1327,-134,0,0,0,0,1573,60,-620,8191,8191,8191,8191,47,4281698,16776676,7363456
4133466,6355312,-8323216,1326,-128,0,0,0,0,1573,60,-620,8191,8191,8191,8191,140,4281711,16776652,7363370
4133476,6356336,-8323216,1325,-134,0,0,0,0,1573,60,-620,8191,8191,8191,8191,96,4281789,16776689,7363938
4133486,6356080,-8323216,1328,-126,0,0,0,0,1573,60,-620,8191,8191,8191,8191,79,4281913,16776706,7363671
4133496,6354544,-8323088,1329,-127,0,0,0,0,1588,75,-643,8191,8191,8191,8191,42,4281814,16776697,7363809
4133506,6355184,-8323344,1329,-124,0,0,0,0,1588,75,-643,8191,8191,8191,8191,30,4281967,16776691,7363455
4133516,6356208,-8323344,1329,-124,0,0,0,0,1588,75,-643,8191,8191,8191,8191,75,4284136,16776693,7363559
4133527,6355440,-8323088,1329,-129,0,0,0,0,1588,75,-643,8191,8191,8191,8191,92,4284199,16776653,7363792
4133537,6355312,-8323216,1327,-130,0,0,0,0,1588,75,-643,8191,8191,8191,8191,74,4284090,16776735,7364019
4133547,6356080,-8323216,1330,-123,0,0,0,0,1588,75,-643,8191,8191,8191,8191,84,4283831,16776738,7363891
4133557,6354672,-8323216,1334,-124,0,0,0,0,1588,75,-643,8191,8191,8191,8191,68,4284144,16776685,7363937
4133567,6357616,-8323216,1325,-120,0,0,0,0,1588,75,-643,8191,8191,8191,8191,109,4284071,16776676,7363453
4133577,6355312,-8323344,1324,-120,0,0,0,0,1588,75,-643,8191,8191,8191,8191,75,4284262,16776663,7363870
4133587,6355184,-8323088,1330,-119,0,0,0,0,1588,75,-643,8191,8191,8191,8191,74,4283970,16776681,7363740
