2177600,1,281505,88101,4.3,3.95,0.23,-160.36,-0.02,-1.01,-0.05,2.29,1.43,-0.37,631,632
2177664,1,281526,88103,4.11,3.98,0.25,-160.4,-0.02,-1.01,-0.05,2.23,1.62,-0.43,631,632
2177728,1,281546,88109,3.54,3.91,0.21,-160.4,-0.02,-1.01,-0.05,2.32,1.83,-0.49,632,632
2177792,1,281567,88106,3.83,3.9,0.21,-160.39,-0.02,-1.01,-0.04,2.38,1.65,-0.34,632,632
2177856,1,281587,88102,4.21,3.96,0.24,-160.4,-0.02,-1.01,-0.05,2.04,1.52,-0.46,632,632
2177920,1,281608,88106,3.83,3.94,0.23,-160.38,-0.01,-1.01,-0.05,2.35,1.37,-0.49,632,632
2177984,1,281628,88106,3.83,3.93,0.22,-160.36,-0.01,-1.01,-0.05,2.35,1.68,-0.3,631,632
2178048,1,281649,88103,4.11,3.96,0.24,-160.4,-0.02,-1.01,-0.05,2.26,1.86,-0.27,632,632
2178112,1,281669,88105,3.92,3.96,0.24,-160.38,-0.02,-1.01,-0.05,2.38,1.43,-0.27,632,632
2178176,1,281690,88103,4.11,3.99,0.25,-160.36,-0.02,-1.01,-0.05,2.35,1.25,-0.37,632,632
2178240,1,281710,88105,3.92,3.98,0.25,-160.37,-0.03,-1.01,-0.04,2.35,1.46,-0.46,631,632
2178304,1,281731,88107,3.73,3.95,0.23,-160.39,-0.02,-1.01,-0.05,2.32,1.77,-0.37,631,632
2178368,1,281751,88103,4.11,3.98,0.25,-160.41,-0.02,-1.01,-0.04,2.47,1.4,-0.27,631,632
2178432,1,281772,88103,4.11,4.01,0.26,-160.4,-0.01,-1.01,-0.05,2.41,1.37,-0.46,632,632
2178496,1,281792,88101,4.3,4.06,0.29,-160.39,-0.02,-1.01,-0.05,2.44,1.31,-0.46,632,632
2178560,1,281812,88105,3.92,4.04,0.28,-160.41,-0.01,-1.01,-0.05,2.2,1.74,-0.46,632,632
2178624,1,281833,88106,3.83,4.01,0.26,-160.34,-0.02,-1.01,-0.05,2.23,1.83,-0.3,631,632
2178688,1,281853,88102,4.21,4.05,0.28,-160.4,-0.02,-1.01,-0.05,2.32,1.31,-0.34,631,632
2178752,1,281874,88102,4.21,4.08,0.3,-160.35,-0.02,-1.01,-0.05,2.44,1.34,-0.4,631,632
2178816,1,281894,88104,4.02,4.08,0.29,-160.42,-0.02,-1.01,-0.05,2.23,1.34,-0.49,631,632
2178880,1,281915,88100,4.4,4.14,0.32,-160.37,-0.02,-1.01,-0.05,2.47,1.83,-0.58,631,632
2178944,1,281935,88106,3.83,4.09,0.3,-160.37,-0.02,-1.01,-0.04,2.13,1.68,-0.49,631,632
2179008,1,281956,88103,4.11,4.1,0.3,-160.38,-0.02,-1.01,-0.05,2.32,1.52,-0.58,631,632
2179072,1,281976,88105,3.92,4.08,0.29,-160.37,-0.02,-1.01,-0.04,2.23,1.31,-0.49,631,632
2179136,1,281997,88103,4.11,4.09,0.3,-160.43,-0.02,-1.01,-0.06,2.2,1.62,-0.34,632,632
2179200,1,282017,88106,3.83,4.05,0.28,-160.41,-0.02,-1.01,-0.05,2.23,1.68,-0.21,632,632
2179264,1,282038,88103,4.11,4.07,0.29,-160.34,-0.02,-1.01,-0.06,2.16,1.49,-0.27,631,632
2179328,1,282058,88103,4.11,4.08,0.29,-160.41,-0.02,-1.01,-0.05,2.26,1.25,-0.3,631,632
2179392,1,282079,88101,4.3,4.13,0.31,-160.38,-0.02,-1.01,-0.05,2.38,1.52,-0.37,631,632
2179456,1,282099,88105,3.92,4.1,0.3,-160.37,-0.02,-1.01,-0.05,2.35,1.43,-0.49,631,632
2179520,1,282120,88107,3.73,4.04,0.27,-160.39,-0.02,-1.01,-0.05,2.16,1.49,-0.43,631,632
2179584,1,282140,88103,4.11,4.06,0.28,-160.39,-0.02,-1.01,-0.05,2.13,1.37,-0.43,631,632
2179648,1,282161,88102,4.21,4.09,0.3,-160.42,-0.01,-1.01,-0.04,2.32,1.68,-0.27,632,632
2179712,1,282181,88101,4.3,4.13,0.32,-160.36,-0.02,-1.01,-0.05,2.26,1.68,-0.27,632,632
2179776,1,282202,88103,4.11,4.14,0.32,-160.41,-0.02,-1.01,-0.05,2.16,1.49,-0.34,631,632
2179840,1,282222,88108,3.64,4.06,0.28,-160.38,-0.02,-1.01,-0.06,2.32,1.4,-0.4,631,632
2179904,1,282243,88102,4.21,4.09,0.3,-160.39,-0.02,-1.01,-0.05,2.26,1.55,-0.24,631,632
2179968,1,282263,88105,3.92,4.07,0.28,-160.39,-0.02,-1.01,-0.05,2.32,1.49,-0.52,632,632
2180032,1,282284,88107,3.73,4.02,0.26,-160.38,-0.02,-1.01,-0.04,2.23,1.65,-0.49,631,632
2180096,1,282304,88105,3.92,4.01,0.25,-160.41,-0.02,-1.01,-0.05,2.35,1.55,-0.46,632,632
2180160,1,282324,88101,4.3,4.06,0.28,-160.41,-0.01,-1.01,-0.04,2.29,1.49,-0.4,631,632
2180224,1,282345,88104,4.02,4.06,0.28,-160.37,-0.02,-1.01,-0.05,2.23,1.46,-0.37,631,632
2180288,1,282365,88105,3.92,4.04,0.27,-160.41,-0.01,-1.01,-0.04,2.44,1.55,-0.43,631,632
2180352,1,282386,88109,3.54,3.96,0.23,-160.38,-0.02,-1.01,-0.05,2.29,1.43,-0.43,631,632
2180416,1,282406,88106,3.83,3.95,0.22,-160.38,-0.02,-1.01,-0.05,2.26,1.46,-0.3,632,632
2180480,1,282427,88103,4.11,3.98,0.24,-160.4,-0.02,-1.01,-0.05,2.38,1.49,-0.4,631,632
2180544,1,282447,88105,3.92,3.97,0.24,-160.38,-0.02,-1.01,-0.05,2.41,1.59,-0.46,631,632
2180608,1,282468,88104,4.02,3.99,0.24,-160.35,-0.02,-1.01,-0.04,2.41,1.37,-0.43,632,632
2180672,1,282488,88106,3.83,3.96,0.23,-160.37,-0.02,-1.01,-0.05,2.32,1.52,-0.4,631,632
2180736,1,282509,88101,4.3,4.03,0.26,-160.34,-0.01,-1.01,-0.04,2.16,1.25,-0.34,632,632
2180800,1,282529,88105,3.92,4.01,0.26,-160.43,-0.02,-1.01,-0.05,2.2,1.65,-0.3,632,632
2180864,1,282550,88102,4.21,4.05,0.27,-160.4,-0.02,-1.01,-0.05,2.23,1.37,-0.3,632,632
2180928,1,282570,88103,4.11,4.07,0.28,-160.38,-0.02,-1.01,-0.05,2.35,1.62,-0.37,631,632
2180992,1,282591,88103,4.11,4.08,0.29,-160.41,-0.02,-1.01,-0.05,2.29,1.43,-0.3,631,632
2181056,1,282611,88108,3.64,4.01,0.25,-160.41,-0.02,-1.01,-0.05,2.2,1.49,-0.43,631,632
2181120,1,282632,88102,4.21,4.05,0.27,-160.34,-0.02,-1.01,-0.05,2.35,1.37,-0.49,631,632
2181184,1,282652,88105,3.92,4.03,0.26,-160.4,-0.02,-1.01,-0.05,2.35,1.34,-0.49,631,632
2181248,1,282673,88107,3.73,3.99,0.24,-160.37,-0.02,-1.01,-0.04,2.41,1.37,-0.55,631,632
2181312,1,282693,88106,3.83,3.97,0.23,-160.37,-0.02,-1.01,-0.04,2.13,1.71,-0.37,631,632
2181376,1,282714,88103,4.11,4,0.25,-160.41,-0.02,-1.01,-0.05,2.26,1.8,-0.49,631,632
2181440,1,282734,88103,4.11,4.02,0.26,-160.4,-0.02,-1.01,-0.05,2.16,1.34,-0.37,632,632
2181504,1,282755,88105,3.92,4.01,0.25,-160.38,-0.01,-1.01,-0.05,2.35,1.46,-0.4,631,632
