1310656,0,4083,88146,-0.01,0,0.99,-195.09,-0.07,-1.01,-0.18,5.21,15.3,0,635,634
1310720,1,4104,88139,0.67,0.13,1.05,-194.58,-0.03,-1.01,0.06,3.02,2.93,0.61,634,634
1310784,1,4124,88147,-0.1,0.11,1.03,-194.09,-0.08,-1.01,-0.04,1.25,0,-0.37,634,634
1310848,1,4145,88145,0.1,0.13,1.03,-193.6,0,-1.01,-0.02,1.89,1.13,-0.61,634,634
1310912,1,4165,88145,0.1,0.15,1.03,-193.21,-0.05,-1.01,-0.07,2.65,0.95,-0.27,634,634
1310976,1,4186,88147,-0.1,0.13,1.02,-192.83,-0.03,-1.01,-0.03,2.35,0.85,-0.43,634,634
1311040,1,4206,88147,-0.1,0.11,1,-192.44,-0.02,-1.01,-0.04,2.26,0.24,-0.49,634,634
1311104,1,4227,88149,-0.29,0.06,0.97,-192.07,-0.03,-1.01,-0.07,2.74,1.46,-0.49,634,634
1311168,1,4247,88145,0.1,0.09,0.98,-191.8,-0.05,-1.01,-0.08,3.23,1.52,-0.52,634,635
1311232,1,4268,88144,0.19,0.13,0.99,-191.53,-0.02,-1.01,-0.02,3.08,0.27,-0.34,634,634
1311296,1,4288,88150,-0.39,0.06,0.95,-191.24,-0.03,-1.01,-0.03,2.77,1.01,-0.52,634,635
1311360,1,4308,88147,-0.1,0.05,0.94,-191.01,-0.02,-1.01,-0.04,2.93,2.16,-0.43,634,634
1311424,1,4329,88145,0.1,0.08,0.94,-190.77,-0.04,-1.01,-0.02,2.44,-0.12,-0.18,634,634
1311488,1,4349,88144,0.19,0.12,0.96,-190.52,-0.04,-1.01,-0.02,2.23,-1.49,-0.49,634,635
1311552,1,4370,88147,-0.1,0.1,0.94,-190.38,-0.01,-1.01,-0.04,2.01,1.07,-0.3,634,634
1311616,1,4390,88149,-0.29,0.05,0.91,-190.1,-0.03,-1.01,-0.04,1.83,1.4,-0.21,634,634
1311680,1,4411,88153,-0.68,-0.05,0.86,-190.06,-0.02,-1.01,-0.06,2.01,0.64,-0.37,634,635
1311744,1,4431,88154,-0.77,-0.15,0.8,-189.85,-0.04,-1.01,-0.06,2.13,2.35,-0.73,634,634
1311808,1,4452,88147,-0.1,-0.13,0.81,-189.75,-0.03,-1.01,-0.03,2.5,1.55,-0.67,634,634
1311872,1,4472,88147,-0.1,-0.11,0.81,-189.64,-0.03,-1.01,-0.05,2.74,1.65,-0.43,634,634
1311936,1,4493,88150,-0.39,-0.14,0.79,-189.46,-0.02,-1.01,-0.05,2.74,2.29,-0.43,634,634
