timestampMs	pressurePa	tempK	accelX	accelY	accelZ	gyroX	gyroY	gyroZ	imuTemp	battV	altitudeM	velocityMS	accelerationMSS	unfiltAlt	flightState	drogueCont	drogueFired	mainCont	mainFired
195115	100650.812500	303.99	-9.816226	0.407014	0.440533	-0.006385	0.009578	0.002128	302.43	4.03	-0.36	0.63	-0.00	59.268840	0	0	0	0	0
200115	100670.281250	303.99	-9.782708	0.464475	0.373495	-0.015963	0.007449	0.011706	302.51	4.03	-0.96	-0.39	0.00	57.552814	0	0	0	0	0
205115	100673.828125	304.01	-9.816226	0.258573	0.440533	-0.002128	-0.002128	0.019156	302.54	4.02	-1.31	-0.37	0.00	57.240211	0	0	0	0	0
210115	100654.359375	304.01	-9.816226	0.402225	0.430956	-0.029798	0.005321	0.011706	302.51	4.02	0.03	0.92	0.00	58.956192	0	0	0	0	0
215115	100677.390625	304.03	-9.811438	0.545877	0.478840	-0.011706	0.002128	0.019156	302.52	4.03	-1.31	-0.41	0.00	56.926242	0	0	0	0	0
220115	100680.937500	304.04	-9.811438	0.430956	0.483628	0.028734	0.006385	0.009578	302.54	4.02	-1.76	-0.77	0.01	56.613658	0	0	0	0	0
225115	100642.000000	304.04	-9.816226	0.402225	0.320823	-0.009578	0.002128	0.005321	302.57	4.02	0.23	0.91	0.00	60.045688	0	0	0	0	0
230115	100665.015625	304.06	-9.797073	0.459686	0.383072	-0.006385	0.006385	0.009578	302.60	4.03	-0.70	-0.69	0.00	58.016914	0	0	0	0	0
235115	100665.015625	304.06	-9.811438	0.464475	0.383072	-0.003192	0.005321	0.011706	302.52	4.03	-0.33	-0.81	0.00	58.016914	0	0	0	0	0
240115	100668.609375	304.07	-9.806650	0.565031	0.407014	-0.012770	0.003192	0.005321	302.52	4.02	-0.65	-0.03	0.00	57.700168	0	0	0	0	0
245115	100649.140625	304.07	-9.825803	0.474051	0.373495	0.003192	0.005321	0.015963	302.58	4.03	-0.23	-0.01	0.00	59.416217	0	0	0	0	0
250115	100668.609375	304.07	-9.792284	0.521935	0.407014	-0.002128	0.003192	0.010642	302.57	4.03	-1.31	-1.11	0.00	57.700168	0	0	0	0	0
255115	100652.703125	304.09	-9.816226	0.450109	0.359130	-0.008513	0.007449	0.005321	302.49	4.02	-0.02	0.36	0.00	59.102184	0	0	0	0	0
260115	100675.718750	304.11	-9.801861	0.545877	0.416591	-0.013834	0.007449	0.010642	302.60	4.02	-1.05	-0.70	0.00	57.073585	0	0	0	0	0
265115	100656.250000	304.11	-9.816226	0.316034	0.387860	-0.020220	0.009578	-0.001064	302.57	4.03	-0.00	0.12	0.00	58.789539	0	0	0	0	0
270115	100672.171875	304.09	-9.825803	0.651222	0.497993	0.003192	0.004256	0.024477	302.63	4.02	-1.17	-0.22	0.00	57.386184	0	0	0	0	0
275115	100656.250000	304.11	-9.825803	0.531512	0.421379	-0.001064	0.012770	0.002128	302.58	4.02	-0.79	0.10	0.00	58.789539	0	0	0	0	0
280115	100659.796875	304.12	-9.806650	0.378283	0.392649	-0.004256	0.003192	0.011706	302.61	4.02	0.00	0.32	0.00	58.476902	0	0	0	0	0
285115	100659.796875	304.12	-9.821015	0.493205	0.426167	-0.006385	0.004256	0.006385	302.60	4.02	-0.66	0.47	0.00	58.476902	0	0	0	0	0
290115	100659.796875	304.12	-9.801861	0.416591	0.407014	-0.014899	0.005321	0.008513	302.57	4.02	-0.88	-0.15	0.00	58.476902	0	0	0	0	0
295115	100679.281250	304.12	-9.830592	0.445321	0.373495	-0.018091	0.005321	0.010642	302.57	4.02	-1.14	-0.89	0.00	56.759620	0	0	0	0	0
300115	100659.796875	304.12	-9.816226	0.502782	0.359130	-0.008513	0.007449	0.010642	302.57	4.02	-0.18	0.21	0.00	58.476902	0	0	0	0	0
305115	100663.359375	304.14	-9.816226	0.459686	0.416591	0.001064	0.006385	0.018091	302.60	4.03	-0.43	-0.18	0.00	58.162895	0	0	0	0	0
310115	100643.875000	304.14	-9.797073	0.363918	0.407014	-0.004256	0.006385	0.015963	302.58	4.02	-0.18	0.24	-0.00	59.880397	0	0	0	0	0
315115	100643.875000	304.14	-9.811438	0.450109	0.407014	-0.005321	0.007449	0.006385	302.66	4.02	0.07	0.37	0.00	59.880397	0	0	0	0	0
320115	100647.453125	304.16	-9.801861	0.541089	0.363918	-0.007449	0.005321	0.009578	302.58	4.02	-0.23	0.16	-0.00	59.564971	0	0	0	0	0
325115	100666.921875	304.16	-9.821015	0.565031	0.383072	-0.014899	0.006385	0.005321	302.57	4.02	-0.68	-0.06	0.00	57.848899	0	0	0	0	0
330115	100627.968750	304.16	-9.801861	0.430956	0.526724	-0.009578	0.006385	0.011706	302.64	4.02	0.92	1.53	-0.00	61.282695	0	0	0	0	0
335115	100670.500000	304.17	-9.825803	0.584185	0.421379	0.008513	0.006385	0.010642	302.61	4.02	-1.28	0.31	0.00	57.533535	0	0	0	0	0
340115	100670.500000	304.17	-9.797073	0.612915	0.359130	-0.014899	0.008513	0.010642	302.66	4.03	-1.40	-0.10	0.00	57.533535	0	0	0	0	0
345115	100689.968750	304.17	-9.811438	0.392649	0.397437	-0.021284	0.001064	0.010642	302.60	4.02	-2.13	-0.83	0.00	55.817779	0	0	0	0	0
350115	100670.500000	304.17	-9.835380	0.474051	0.349553	-0.011706	0.002128	0.010642	302.63	4.02	1.17	0.20	0.00	57.661922	0	0	0	0	0
355115	100670.500000	304.17	-9.797073	0.416591	0.421379	-0.005321	0.004256	0.014899	302.61	4.03	1.01	-0.15	0.00	57.661922	0	0	0	0	0
360115	100674.046875	304.19	-9.806650	0.402225	0.402225	-0.004256	0.004256	0.018091	302.64	4.02	1.21	-0.17	0.00	57.348625	0	0	0	0	0
365115	100651.031250	304.17	-9.806650	0.402225	0.339976	0.003192	0.006385	0.020220	302.66	4.03	1.53	0.29	0.00	59.381778	0	0	0	0	0
370115	100670.500000	304.17	-9.816226	0.450109	0.402225	-0.003192	0.004256	0.007449	302.64	4.02	1.22	-0.29	0.00	57.661922	0	0	0	0	0
375115	100693.531250	304.19	-9.806650	0.497993	0.387860	0.000000	0.004256	0.015963	302.63	4.02	0.88	-0.46	0.00	55.627708	0	0	0	0	0
