key	value	source
altimeter.board	FCBV2	derived
altimeter.source_folder	root-wyatt-fcbv2-2024-11-03-metadata	derived
data.has_parsed_timeseries	false	derived
data.row_count	0	derived
data.source_file	none	derived
data.synthetic_time_added	true	derived
data.time_column	generated_time_s	derived
flight.date	2024-11-03	derived
flight.name	Wyatt	derived
log.wyatt-fcbv2-2024-11-03-metadata.apogee_timestamp	650257	log
log.wyatt-fcbv2-2024-11-03-metadata.gps_timestamp	1730660182	log
log.wyatt-fcbv2-2024-11-03-metadata.gravity_ref	1	log
log.wyatt-fcbv2-2024-11-03-metadata.gyro_offset_x	-0.015625953674316406	log
log.wyatt-fcbv2-2024-11-03-metadata.gyro_offset_y	0.01171875	log
log.wyatt-fcbv2-2024-11-03-metadata.gyro_offset_z	7.327471962526033e-15	log
log.wyatt-fcbv2-2024-11-03-metadata.launched	1	log
log.wyatt-fcbv2-2024-11-03-metadata.pressure_ref	1.0173698494942018	log
log.wyatt-fcbv2-2024-11-03-metadata.trigger_fire_status	-15	log
