Logger setup
5116	100159.125000	280.47	9.801861	-0.067037	-0.019153	0.007449	0.009578	0.007449	285.07	4.07	-0.50	-0.06	-0.04	94.826759	0	1	0	1	0
10116	100166.546875	280.58	9.753977	-0.411802	-0.306457	-0.106422	0.003192	-0.002128	285.22	4.04	0.28	0.67	-0.02	94.220275	0	1	0	1	0
15116	100154.906250	280.70	9.768342	-0.253785	0.100556	-0.004256	0.007449	0.003192	285.32	4.07	0.35	0.52	-0.04	95.171508	0	1	0	1	0
20116	100177.562500	280.80	9.773131	-0.287304	0.134075	-0.003192	0.010642	0.004256	285.42	4.04	-0.79	-0.64	-0.04	93.320198	0	1	0	1	0
25116	100162.125000	280.90	9.773131	-0.268150	0.114921	-0.007449	0.012770	0.004256	285.61	4.06	-0.31	-0.26	-0.05	94.581611	0	1	0	1	0
30116	100165.750000	281.00	9.792284	-0.244208	0.210689	-0.008513	0.009578	0.005321	285.61	4.06	0.01	-0.00	-0.04	94.285392	0	1	0	1	0
35116	100169.312500	281.10	9.768342	-0.263362	0.062249	-0.007449	0.010642	0.006385	285.86	4.04	0.17	0.02	-0.04	93.994293	0	1	0	1	0
40116	100191.953125	281.20	9.777919	0.292092	-0.100556	-0.183046	-0.007449	-0.005321	285.81	4.06	-0.20	-0.39	-0.03	92.144477	0	1	0	1	0
45116	100172.687500	281.28	9.773131	-0.143652	0.603338	-0.011706	0.006385	0.004256	286.05	4.05	0.18	-0.12	-0.04	93.718521	0	1	0	1	0
50116	100172.500000	281.37	9.715670	-0.239420	-0.210689	-0.024477	0.023412	0.003192	285.86	4.06	0.24	-0.13	-0.05	93.733840	0	1	0	1	0
55116	100156.984375	281.47	9.734824	-0.277727	0.090979	-0.010642	0.010642	0.005321	286.05	4.05	0.43	0.00	-0.05	95.001686	0	1	0	1	0
60116	100156.750000	281.55	9.773131	-0.277727	0.134075	-0.011706	0.007449	0.004256	286.20	4.06	0.60	0.16	-0.04	95.020843	0	1	0	1	0
65116	100156.515625	281.63	9.773131	-0.296881	0.177170	-0.006385	0.013834	0.006385	286.39	4.06	0.88	0.38	-0.05	95.039993	0	1	0	1	0
70116	100156.281250	281.71	9.744400	-0.287304	0.181959	-0.008513	0.008513	0.006385	286.20	4.05	1.17	0.35	-0.05	95.059143	0	1	0	1	0
75116	100152.281250	281.78	9.758766	-0.277727	0.148440	-0.006385	0.010642	0.006385	286.39	4.06	0.79	-0.00	-0.04	95.386032	0	1	0	1	0
80116	100171.109375	281.86	9.744400	-0.325611	0.114921	-0.004256	0.009578	0.004256	286.49	4.04	0.60	-0.25	-0.04	93.847473	0	1	0	1	0
85116	100163.312500	281.91	9.744400	-0.306457	0.167594	-0.006385	0.007449	0.005321	286.69	4.06	0.95	-0.06	-0.04	94.484573	0	1	0	1	0
90116	100163.062500	282.00	9.758766	-0.229843	0.114921	-0.001064	0.014899	0.005321	286.74	4.04	0.78	-0.21	-0.04	94.504997	0	1	0	1	0
95116	100139.921875	282.06	9.758766	-0.268150	0.134075	-0.009578	0.008513	0.005321	286.84	4.06	1.54	0.22	-0.05	96.396118	0	1	0	1	0
100116	100154.984375	282.13	9.768342	-0.325611	0.129286	-0.004256	0.007449	0.005321	286.84	4.05	1.65	0.28	-0.04	95.165130	0	1	0	1	0
105116	100150.937500	282.20	9.763554	-0.248996	0.119710	-0.005321	0.011706	0.003192	286.84	4.04	1.18	-0.27	-0.04	95.495841	0	1	0	1	0
110116	100143.125000	282.25	9.777919	-0.320823	0.158017	-0.012770	0.009578	0.003192	287.03	4.06	1.70	0.21	-0.04	96.134330	0	1	0	1	0
115116	100158.156250	282.31	9.773131	-0.296881	0.110133	-0.005321	0.010642	0.005321	287.03	4.04	0.37	-0.28	-0.05	95.584884	0	1	0	1	0
120116	100154.109375	282.38	9.801861	-0.248996	0.119710	-0.013834	0.009578	0.006385	287.08	4.06	0.52	-0.29	-0.04	95.917961	0	1	0	1	0
125116	100165.390625	282.43	9.777919	-0.335188	0.277727	-0.005321	0.008513	0.006385	287.03	4.04	0.21	-0.49	-0.03	94.989494	0	1	0	1	0
130116	100157.562500	282.48	9.753977	-0.335188	0.114921	-0.006385	0.009578	0.004256	287.23	4.06	0.45	-0.18	-0.05	95.633750	0	1	0	1	0
135116	100153.484375	282.55	9.753977	-0.234631	0.172382	0.011706	0.017027	0.004256	287.13	4.05	1.02	0.07	-0.05	95.969406	0	1	0	1	0
140116	100141.890625	282.58	9.749189	-0.263362	0.158017	-0.006385	0.012770	0.006385	287.28	4.04	1.38	0.34	-0.05	96.923683	0	1	0	1	0
145116	100156.906250	282.65	9.763554	-0.282515	0.129286	-0.007449	0.007449	0.003192	287.28	4.05	0.74	-0.19	-0.04	95.687767	0	1	0	1	0
150116	100126.203125	282.68	9.773131	-0.354341	0.153228	0.000000	0.009578	0.002128	287.47	4.04	1.76	0.71	-0.04	98.215065	0	1	0	1	0
155116	100152.843750	282.71	9.768342	-0.244208	-0.215478	0.012770	0.007449	0.007449	287.37	4.05	1.15	-0.08	-0.03	96.022132	0	1	0	1	0
160116	100148.734375	282.78	9.749189	-0.316034	0.086191	-0.004256	0.011706	0.006385	287.37	4.05	1.06	-0.22	-0.04	96.360366	0	1	0	1	0
165116	100160.000000	282.83	9.773131	-0.225054	0.215478	0.022348	0.013834	0.009578	287.77	4.05	0.89	-0.38	-0.04	95.433143	0	1	0	1	0
170116	100148.390625	282.86	9.753977	-0.196324	0.076614	0.007449	0.017027	0.004256	287.62	4.05	1.16	-0.20	-0.05	96.388656	0	1	0	1	0
