key,value
altimeter_name,SillyGoose
flight_location,St. Albans
flight_date,2026-05-28
flight_name,MBTA
altimeter_note,Board 3
importer_id,sillygoose
imported_at,2026-05-28T16:03:20.767Z
thing 1,asdfasdfadsfasdf
