key	value	source
altimeter.board	FCBV2	derived
altimeter.source_folder	root-fcbv2_wyatt_2_15-output-FCB-post	derived
data.has_parsed_timeseries	true	derived
data.row_count	7684	derived
data.source_file	fcbv2_wyatt_2_15-output-FCB-post.csv	derived
data.synthetic_time_added	false	derived
data.time_column	timestamp_ms	derived
flight.date	2025-02-15	derived
flight.name	Wyatt	derived
