,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,baro_pres_avg,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_temp_avg,baro_height
97126,10269500,0,4,-1356,47,19,81,67,588,472,-1691,-1,-1379,23,72,15,-18,726,1838,753,352,-144,336,24.98,0.994088329632371,25.01,1.003770046878855,3904.7119140625,-7552.45556640625,14.899999618530272,12.859399795532228,0,0.0,0.0,0.0,0.0,16.602163243477346,0.0,0.0,-17.93071652879847,0.0,0.0,0.0,0.0,13,0.998929188255613,39.078531901041664,-75.87425944010417,0.0287138712,-9.7340023368,0.3373879866,-0.0071784678,-9.8991070962,0.1651047594,0.023212805162500003,0.09895985358750001,0.0818556813625,0.0879643143,0.0183258988125,-0.021991078575,0.34104,0.27376,-0.98078,0.42108,1.06604,0.43674,0.0107677017,-9.8165547165,0.251246373,0.05558855973125,0.058642876200000006,0.02993230139375,0.38106,0.6699,-0.27202,10.35584,-4.23648,9.88512,24.995,-53.664175300761414
97127,10269606,0,2,-1362,37,29,98,71,588,472,-1691,-3,-1378,18,80,47,-8,706,1814,736,416,-80,352,24.98,0.9941376757957068,25.0,1.0039180853688623,3904.7119140625,-7552.45556640625,14.899999618530272,12.859399795532228,0,0.0,0.0,0.0,0.0,16.56795518926917,0.0,0.0,-17.916961735885128,0.0,0.0,0.0,0.0,13,0.9990278805822845,39.078531901041664,-75.87425944010417,0.0143569356,-9.777073143600001,0.26560330860000003,-0.0215354034,-9.8919286284,0.1292124204,0.035430071037500004,0.11972920557500001,0.0867425877125,0.09773812700000001,0.0574211496125,-0.0097738127,0.34104,0.27376,-0.98078,0.40948,1.05212,0.42688,-0.0035892338999999997,-9.834500886,0.19740786450000003,0.06658409901875001,0.08857517759375,0.03848438750625,0.37526000000000004,0.66294,-0.27695000000000003,12.23872,-2.3536,10.35584,24.990000000000002,-54.52489916081849
97128,10269711,0,5,-1358,46,-14,48,108,608,489,-1649,2,-1379,25,29,0,19,706,1814,736,416,-128,336,24.99,0.9941278065630396,25.0,1.0039082161361954,3904.7119140625,-7552.45556640625,14.899999618530272,12.859399795532228,0,0.0,0.0,0.0,0.0,16.537379044658977,0.0,0.0,-17.900834240588612,0.0,0.0,0.0,0.0,13,0.9990180113496174,39.078531901041664,-75.87425944010417,0.035892339,-9.7483592724,0.3302095188,0.0143569356,-9.8991070962,0.179461695,-0.017104172225000002,0.0586428762,0.13194647145000002,0.035430071037500004,0.0,0.023212805162500003,0.35264,0.28362,-0.95642,0.40948,1.05212,0.42688,0.025124637300000002,-9.8237331843,0.2548356069,0.00916294940625,0.0293214381,0.07757963830625,0.38106,0.66787,-0.26477000000000006,12.23872,-3.76576,9.88512,24.994999999999997,-54.44132818735588
97129,10269817,0,5,-1356,48,-13,46,93,608,489,-1649,-8,-1377,28,41,-11,2,716,1834,716,304,-176,368,24.99,0.994019245003701,25.0,1.0038588699728597,3904.7119140625,-7552.45556640625,14.899999618530272,12.89484977722168,0,0.0,0.0,0.0,0.0,16.842900533172376,0.0,0.0,-17.707053005606063,0.0,0.0,0.0,0.0,13,0.9989390574882804,39.078531901041664,-75.87425944010417,0.035892339,-9.7340023368,0.3445664544,-0.0574277424,-9.884750160600001,0.20099709840000002,-0.0158824456375,0.056199423025,0.1136205726375,0.0500907900875,-0.0134389924625,0.002443453175,0.35264,0.28362,-0.95642,0.41528,1.06372,0.41528,-0.0107677017,-9.809376248700001,0.2727817764,0.017104172225000002,0.02138021528125,0.05803201290625,0.38395999999999997,0.67367,-0.27057000000000003,8.94368,-5.17792,10.82656,24.994999999999997,-53.75272600297296
97130,10269922,0,1,-1352,66,-5,46,83,626,461,-1665,-10,-1378,43,44,1,-5,716,1834,716,304,-112,384,24.99,0.994019245003701,25.01,1.0039279546015298,3904.7119140625,-7552.45556640625,14.899999618530272,12.859399795532228,0,0.0,0.0,0.0,0.0,16.563703205367148,0.0,0.0,-17.836737194823158,0.0,0.0,0.0,0.0,13,0.9989735998026155,39.078531901041664,-75.87425944010417,0.0071784678,-9.7052884656,0.4737788748,-0.071784678,-9.8919286284,0.3086741154,-0.0061086329375000005,0.056199423025,0.1014033067625,0.05375596985,0.0012217265875,-0.0061086329375000005,0.36308,0.26738,-0.9657,0.41528,1.06372,0.41528,-0.0323031051,-9.798608547,0.3912264951,0.023823668456250002,0.02871057480625,0.047647336912500005,0.38917999999999997,0.66555,-0.27521,8.94368,-3.29504,11.29728,25.0,-54.05399742939552
97131,10270027,0,3,-1353,66,-2,69,105,626,461,-1665,-9,-1372,45,47,23,18,706,1828,746,368,-96,320,24.98,0.9939304219096964,25.0,1.0039773007648656,3904.7119140625,-7552.45556640625,14.899999618530272,12.859399795532228,0,0.0,0.0,0.0,0.0,16.635667528845378,0.0,0.0,-17.77085297463183,0.0,0.0,0.0,0.0,13,0.998953861337281,39.078531901041664,-75.87425944010417,0.0215354034,-9.7124669334,0.4737788748,-0.0646062102,-9.848857821600001,0.323031051,-0.002443453175,0.0842991345375,0.1282812916875,0.0574211496125,0.0280997115125,0.021991078575,0.36308,0.26738,-0.9657,0.40948,1.06024,0.43268,-0.0215354034,-9.7806623775,0.39840496290000005,0.02748884821875,0.056199423025,0.07513618513124999,0.38628,0.66381,-0.26651,10.82656,-2.82432,9.4144,24.990000000000002,-53.87936575458784
97132,10270133,0,6,-1351,64,22,65,77,616,468,-1664,0,-1373,40,58,18,-8,706,1828,746,416,-160,336,24.99,0.9942166296570442,25.0,1.0037503084135209,3904.7119140625,-7552.45556640625,14.899999618530272,12.89484977722168,0,0.0,0.0,0.0,0.0,16.526497573549133,0.0,0.0,-17.81003007863387,0.0,0.0,0.0,0.0,13,0.9989834690352826,39.078531901041664,-75.87425944010417,0.0430708068,-9.6981099978,0.4594219392,0.0,-9.8560362894,0.287138712,0.026877984925,0.0794122281875,0.09407294723750001,0.07086014207500001,0.021991078575,-0.0097738127,0.35728,0.27144,-0.96512,0.40948,1.06024,0.43268,0.0215354034,-9.7770731436,0.3732803256,0.048869063500000004,0.05070165338125,0.04214956726875001,0.38338,0.66584,-0.26622,12.23872,-4.7072,9.88512,24.994999999999997,-54.140072702386746
97133,10270238,0,-2,-1353,47,24,92,69,616,468,-1664,-12,-1378,25,70,40,-19,707,1810,722,336,-112,336,24.99,0.9941771527263756,24.99,1.0038983469035283,3904.7119140625,-7552.45556640625,14.899999618530272,12.859399795532228,0,0.0,0.0,0.0,0.0,16.257294932349957,0.0,0.0,-17.932458453857702,0.0,0.0,0.0,0.0,13,0.999037749814952,39.078531901041664,-75.87425944010417,-0.0143569356,-9.7124669334,0.3373879866,-0.0861416136,-9.8919286284,0.179461695,0.0293214381,0.11239884605,0.0842991345375,0.085520861125,0.048869063500000004,-0.023212805162500003,0.35728,0.27144,-0.96512,0.41006,1.0498,0.41876,-0.0502492746,-9.8021977809,0.2584248408,0.0574211496125,0.080633954775,0.0305431646875,0.38366999999999996,0.66062,-0.27318,9.88512,-3.29504,9.88512,24.99,-54.61346861233926
97134,10270343,0,5,-1355,34,-3,62,96,603,478,-1677,-4,-1370,15,49,14,15,707,1810,722,480,-144,336,24.99,0.9940685911670368,24.98,1.0039180853688623,3904.7119140625,-7552.45556640625,14.899999618530272,12.89484977722168,0,0.0,0.0,0.0,0.0,16.37419401966818,0.0,0.0,-17.839538672675495,0.0,0.0,0.0,0.0,13,0.9989933382679496,39.078531901041664,-75.87425944010417,0.035892339,-9.726823869,0.24406790520000002,-0.0287138712,-9.834500886,0.107677017,-0.0036651797625,0.075747048425,0.1172857524,0.059864602787500006,0.017104172225000002,0.0183258988125,0.34974,0.27724,-0.97266,0.41006,1.0498,0.41876,0.0035892339000000006,-9.7806623775,0.17587246110000002,0.028099711512500004,0.046425610325000005,0.06780582560625,0.3799,0.66352,-0.27695,14.1216,-4.23648,9.88512,24.985,-54.22614696323018
97135,10270449,0,0,-1353,38,-14,52,83,603,478,-1677,-4,-1375,30,34,1,0,688,1835,721,400,-112,320,24.98,0.9941672834937084,24.97,1.00406612385887,3904.7119140625,-7552.45556640625,14.899999618530272,12.859399795532228,0,0.0,0.0,0.0,0.0,16.420306007832966,0.0,0.0,-17.79202257188047,0.0,0.0,0.0,0.0,13,0.9991167036762891,39.078531901041664,-75.87425944010417,0.0,-9.7124669334,0.2727817764,-0.0287138712,-9.870393225,0.215354034,-0.017104172225000002,0.06352978255,0.1014033067625,0.041538703975,0.0012217265875,0.0,0.34974,0.27724,-0.97266,0.39904,1.0643,0.41818,-0.0143569356,-9.791430079200001,0.2440679052,0.012217265875,0.03237575456875,0.05070165338125,0.37439,0.67077,-0.27724,11.768,-3.29504,9.4144,24.975,-55.29946410720501
97136,10270554,0,5,-1356,57,-28,37,105,605,481,-1719,-3,-1377,37,25,-6,20,688,1835,721,352,-112,352,24.97,0.9939698988403652,24.98,1.0040167776955342,3904.7119140625,-7552.45556640625,14.899999618530272,12.89484977722168,0,0.0,0.0,0.0,0.0,16.49252805731818,0.0,0.0,-17.73434829030851,0.0,0.0,0.0,0.0,13,0.9989933382679497,39.078531901041664,-75.87425944010417,0.035892339,-9.7340023368,0.4091726646,-0.0215354034,-9.884750160600001,0.26560330860000003,-0.034208344450000004,0.0452038837375,0.1282812916875,0.030543164687500002,-0.007330359525,0.024434531750000002,0.3509,0.27898,-0.99702,0.39904,1.0643,0.41818,0.007178467800000001,-9.809376248700001,0.3373879866,-0.0018325898812500008,0.018936762106249998,0.07635791171875,0.37497,0.67164,-0.28942,10.35584,-3.29504,10.35584,24.975,-54.22116768188833
97137,10270660,0,3,-1356,74,-5,35,113,605,481,-1719,-9,-1383,50,37,-17,26,713,1823,743,416,-112,288,25.0,0.994078460399704,24.97,1.0038687392055268,3904.7119140625,-7552.45556640625,14.899999618530272,12.859399795532228,0,0.0,0.0,0.0,0.0,16.313668617074594,0.0,0.0,-17.81174746842601,0.0,0.0,0.0,0.0,13,0.9989735998026155,39.078531901041664,-75.87425944010417,0.0215354034,-9.7340023368,0.5312066172000001,-0.0646062102,-9.9278209674,0.35892339,-0.0061086329375000005,0.0427604305625,0.13805510438750002,0.0452038837375,-0.0207693519875,0.031764891275,0.3509,0.27898,-0.99702,0.41354,1.05734,0.43094,-0.0215354034,-9.8309116521,0.4450650036,0.019547625399999997,0.0109955392875,0.08490999783125,0.38222,0.66816,-0.28304,12.23872,-3.29504,8.47296,24.985,-54.05648129594914
97138,10270765,0,7,-1351,38,19,90,85,615,481,-1719,3,-1371,23,79,45,-5,713,1823,743,400,-128,416,24.99,0.9940093757710338,24.97,1.0042339008142116,3904.7119140625,-7552.45556640625,15.100000381469728,12.859399795532228,0,0.0,0.0,0.0,0.0,15.929320909859236,0.0,0.0,-17.99948806908381,0.0,0.0,0.0,0.0,13,0.9991216382926227,39.078531901041664,-75.87425944010417,0.050249274600000005,-9.6981099978,0.2727817764,0.0215354034,-9.8416793538,0.1651047594,0.023212805162500003,0.109955392875,0.1038467599375,0.09651640041250001,0.0549776964375,-0.0061086329375000005,0.3567,0.27898,-0.99702,0.41354,1.05734,0.43094,0.035892339,-9.7698946758,0.21894326790000002,0.059864602787500006,0.08246654465625,0.048869063500000004,0.38512,0.66816,-0.28304,11.768,-3.76576,12.23872,24.979999999999997,-55.3450202590291
