	timestamp_s	timestamp_ms	imu1_accel_x	imu1_accel_y	imu1_accel_z	imu1_gyro_x	imu1_gyro_y	imu1_gyro_z	imu1_mag_x	imu1_mag_y	imu1_mag_z	imu2_accel_x	imu2_accel_y	imu2_accel_z	imu2_gyro_x	imu2_gyro_y	imu2_gyro_z	imu2_mag_x	imu2_mag_y	imu2_mag_z	high_g_accel_x	high_g_accel_y	high_g_accel_z	baro1_temp	baro1_pres	baro1_alt	baro2_temp	baro2_pres	baro2_alt	gps_lat	gps_long	gps_alt	battery_voltage	pyro_cont	heading	vtg	pos_x	pos_y	pos_z	vel_x	vel_y	vel_z	q_x	q_y	q_z	q_w	state	baro_pres_avg	imu1_accel_x_real	imu1_accel_y_real	imu1_accel_z_real	imu2_accel_x_real	imu2_accel_y_real	imu2_accel_z_real	imu1_gyro_x_real	imu1_gyro_y_real	imu1_gyro_z_real	imu2_gyro_x_real	imu2_gyro_y_real	imu2_gyro_z_real	imu1_mag_x_real	imu1_mag_y_real	imu1_mag_z_real	imu2_mag_x_real	imu2_mag_y_real	imu2_mag_z_real	imu_accel_x_avg	imu_accel_y_avg	imu_accel_z_avg	imu_gyro_x_avg	imu_gyro_y_avg	imu_gyro_z_avg	imu_mag_x_avg	imu_mag_y_avg	imu_mag_z_avg	high_g_accel_x_real	high_g_accel_y_real	high_g_accel_z_real	baro_temp_avg
18733	4940821	0	-88	1311	33	-109	185	24	-448	1701	806	-66	1324	4	-1	-11	-48	134	686	2901	-48	272	-32768	55.25	0.9958351838144583	0.0	53.0	1.002408092770787	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9991216382926227	-0.0526420972	0.78424760715	0.01974078645	-0.0394815729	0.7920242806	0.0023928226	-0.0166460767	0.0282525155	0.0036651912	-0.0001527163	-0.0016798793000000001	-0.0073303824	-0.06272	0.23814	0.11284	0.01876	0.09603999999999999	0.40613999999999995	-0.04606183505	0.788135943875	0.011066804525	-0.008399396500000001	0.0132863181	-0.0018325956	-0.02198	0.16709	0.25949	-1.41216	8.00224	-964.03456	54.125
18734	4940863	0	-84	1312	31	-99	191	21	-448	1701	806	-66	1329	-1	3	-9	-46	134	686	2901	64	176	-32768	55.25	0.9955094991364422	0.0	52.99	1.0024377004687886	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9989735998026154	-0.0502492746	0.7848458128	0.01854437515	-0.0394815729	0.7950153088499999	-0.00059820565	-0.0151189137	0.0291688133	0.0032070423	0.0004581489	-0.0013744467	-0.0070249498	-0.06272	0.23814	0.11284	0.01876	0.09603999999999999	0.40613999999999995	-0.044865423749999994	0.789930560825	0.00897308475	-0.0073303824	0.0138971833	-0.0019089537500000002	-0.02198	0.16709	0.25949	1.88288	5.17792	-964.03456	54.120000000000005
18735	4940907	0	-86	1308	31	-107	191	31	-448	1701	806	-65	1323	0	2	-9	-45	134	686	2901	16	208	-32768	55.24	0.9956970145571182	0.0	52.99	1.0024278312361214	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9990624228966198	-0.051445685899999996	0.7824529902	0.01854437515	-0.03888336725	0.79142607495	0.0	-0.0163406441	0.0291688133	0.0047342053	0.0003054326	-0.0013744467	-0.0068722335	-0.06272	0.23814	0.11284	0.01876	0.09603999999999999	0.40613999999999995	-0.045164526575	0.7869395325749999	0.009272187575	-0.00801760575	0.0138971833	-0.0010690141000000001	-0.02198	0.16709	0.25949	0.47072	6.11936	-964.03456	54.115
18736	4940949	0	-88	1307	28	-119	189	26	-448	1701	806	-66	1326	-1	3	-12	-46	134	686	2901	-16	240	-32768	55.24	0.9955391068344436	0.0	52.99	1.0026054774241302	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9990722921292869	-0.0526420972	0.78185478455	0.0167497582	-0.0394815729	0.7932206919	-0.00059820565	-0.0181732397	0.0288633807	0.0039706238	0.0004581489	-0.0018325956	-0.0070249498	-0.06272	0.23814	0.11284	0.01876	0.09603999999999999	0.40613999999999995	-0.04606183505	0.787537738225	0.008075776275	-0.0088575454	0.01351539255	-0.0015271630000000002	-0.02198	0.16709	0.25949	-0.47072	7.0608	-964.03456	54.115
18737	4940993	0	-88	1311	28	-113	193	32	-448	1701	806	-74	1322	2	4	-19	-41	120	694	2887	-80	160	-32768	55.24	0.995746360720454	0.0	52.99	1.0024278312361214	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9990870959782877	-0.0526420972	0.78424760715	0.0167497582	-0.0442672181	0.7908278692999999	0.0011964113	-0.0172569419	0.0294742459	0.0048869216	0.0006108652	-0.0029016097	-0.0062613683	-0.06272	0.23814	0.11284	0.0168	0.09716	0.40418	-0.048454657649999996	0.787537738225	0.008973084749999999	-0.008323038349999999	0.0132863181	-0.0006872233500000002	-0.02296	0.16765	0.25851	-2.3536	4.7072	-964.03456	54.115
18738	4941035	0	-85	1307	32	-106	191	30	-417	1686	873	-65	1328	3	-2	-12	-52	120	694	2887	64	224	-32768	55.24	0.9958055761164568	0.0	52.99	1.0023291389094495	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9990673575129532	-0.05084748025	0.78185478455	0.0191425808	-0.03888336725	0.7944171032	0.0017946169499999999	-0.0161879278	0.0291688133	0.004581489	-0.0003054326	-0.0018325956	-0.0079412476	-0.058379999999999994	0.23603999999999997	0.12222	0.0168	0.09716	0.40418	-0.04486542375	0.788135943875	0.010468598875	-0.0082466802	0.01366810885	-0.0016798792999999997	-0.020789999999999996	0.16659999999999997	0.2632	1.88288	6.59008	-964.03456	54.115
18739	4941077	0	-78	1313	31	-113	187	31	-417	1686	873	-71	1328	3	-2	-13	-48	120	694	2887	-96	304	-32768	55.26	0.9955391068344436	0.0	53.0	1.002526523562793	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9990328151986183	-0.0466600407	0.78544401845	0.01854437515	-0.04247260115	0.7944171032	0.0017946169499999999	-0.0172569419	0.0285579481	0.0047342053	-0.0003054326	-0.0019853119	-0.0073303824	-0.058379999999999994	0.23603999999999997	0.12222	0.0168	0.09716	0.40418	-0.044566320925	0.789930560825	0.01016949605	-0.00878118725	0.0132863181	-0.0012980885500000002	-0.020789999999999996	0.16659999999999997	0.2632	-2.82432	8.94368	-964.03456	54.129999999999995
18740	4941121	0	-85	1312	32	-104	193	20	-417	1686	873	-72	1325	-2	-1	-10	-46	120	694	2887	-16	240	-32768	55.25	0.9955687145324452	0.0	52.99	1.002220577350111	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9988946459412781	-0.05084748025	0.7848458128	0.0191425808	-0.0430708068	0.79262248625	-0.0011964113	-0.0158824952	0.0294742459	0.003054326	-0.0001527163	-0.001527163	-0.0070249498	-0.058379999999999994	0.23603999999999997	0.12222	0.0168	0.09716	0.40418	-0.046959143525	0.788734149525	0.00897308475	-0.00801760575	0.01397354145	-0.0019853119	-0.020789999999999996	0.16659999999999997	0.2632	-0.47072	7.0608	-964.03456	54.120000000000005
18741	4941163	0	-90	1307	33	-116	195	25	-417	1686	873	-69	1325	0	0	-9	-57	120	694	2887	-32	176	-32768	55.24	0.9954700222057736	0.0	52.99	1.0024771773994572	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9989735998026155	-0.0538385085	0.78185478455	0.01974078645	-0.04127618985	0.79262248625	0.0	-0.0177150908	0.0297796785	0.0038179075	0.0	-0.0013744467	-0.0087048291	-0.058379999999999994	0.23603999999999997	0.12222	0.0168	0.09716	0.40418	-0.047557349175	0.7872386354	0.009870393225	-0.0088575454	0.0142026159	-0.0024434608	-0.020789999999999996	0.16659999999999997	0.2632	-0.94144	5.17792	-964.03456	54.115
18742	4941207	0	-87	1311	27	-110	180	20	-424	1690	816	-70	1326	1	4	-15	-56	109	657	2893	-16	336	-32768	55.24	0.9955193683691091	0.0	53.0	1.002526523562793	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.999022945965951	-0.05204389155	0.78424760715	0.01615155255	-0.0418743955	0.7932206919	0.00059820565	-0.016798793	0.027488934	0.003054326	0.0006108652	-0.0022907445	-0.008552112800000001	-0.059359999999999996	0.23659999999999998	0.11424	0.01526	0.09197999999999999	0.40502	-0.046959143525	0.788734149525	0.0083748791	-0.008093963899999999	0.01259909475	-0.0027488934000000007	-0.02205	0.16429	0.25962999999999997	-0.47072	9.88512	-964.03456	54.120000000000005
